Num: b0=0 b1=0 b2=2 b3=6c size=4
  #KEY  [ui32]  108 (bytes 00 00 02 6c)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ACEN  [ui8 ]  0 (bytes 00)
  ACFP  [flag]  (bytes 00)
  ACIC  [ui16]  0 (bytes 00 00)
  ACIN  [flag]  (bytes 00)
  ACLM  [ui16]  160 (bytes 0f a0)
  ACPW  [ui32]  0 (bytes 00 00 00 00)
  ACVM  [flag]  (bytes 01)
  ADC0  [ui16]  143 (bytes 0c 8f)
  ADC1  [ui16]  1 (bytes 00 01)
  ADC2  [ui16]  247 (bytes 01 f7)
  ADC3  [ui16]  2 (bytes 00 02)
  ADC4  [ui16]  83 (bytes 01 53)
  ADC5  [ui16]  0 (bytes 00 00)
  ADC6  [ui16]  0 (bytes 00 00)
  ADC7  [ui16]  6 (bytes 09 06)
  ADC8  [ui16]  0 (bytes 00 00)
  ADC9  [ui16]  0 (bytes 00 00)
  ADCa  [ui16]  0 (bytes 00 00)
  ADCb  [ui16]  0 (bytes 00 00)
  ADCc  [ui16]  0 (bytes 00 00)
  ADCd  [ui16]  0 (bytes 00 00)
  ADCe  [ui16]  2 (bytes 00 02)
  ADCf  [ui16]  0 (bytes 00 00)
  ADCg  [ui16]  0 (bytes 00 00)
  ADCh  [ui16]  0 (bytes 00 00)
  ADCi  [ui16]  0 (bytes 00 00)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  0 (bytes 00 00)
  ADCl  [ui16]  0 (bytes 00 00)
  ADCm  [ui16]  0 (bytes 00 00)
  ADCn  [ui16]  0 (bytes 00 00)
  ADSC  [hex_]  (bytes 10)
  AL!   [ui16]  0 (bytes 00 00)
  ALCI  [ui8 ]  147 (bytes 93)
  ALI0  [{ali]  (bytes 07 00 00 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  (bytes 01)
  ALP0  [{alp]  (bytes 13 33 2d 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALPD  [flag]  (bytes 01)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 41 cb)
  ALSL  [ui16]  61 (bytes 00 3d)
  ALV0  [{alv]  (bytes 01 80 00 de 00 19 00 0f 67 f0)
  ALV1  [{alv]  (bytes 00 00 00 00 00 00 00 00 00 00)
  ALcc  [hex_]  (bytes 00 00 5a 53 00 00 a8 93 00 00 7b 26 00 00 39 1f 00 00 63 8f 00 ff 64 ed)
  ALcs  [ui8 ]  1 (bytes 01)
  ATCT  [ui32]  0 (bytes 00 00 00 00)
  ATPS  [ui8 ]  1 (bytes 01)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  194 (bytes 01 c2)
  B0AC  [si16]  (bytes f9 9c)
  B0AP  [sp87]  (bytes f9 7e)
  B0AV  [ui16]  148 (bytes 20 94)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 51)
  B0CT  [ui16]  86 (bytes 00 56)
  B0FC  [ui16]  1 (bytes 12 01)
  B0LI  [ui16]  0 (bytes 0c 00)
  B0OS  [hex_]  (bytes e4 43)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  216 (bytes 0e d8)
  B0RM  [ui16]  139 (bytes 10 8b)
  B0St  [hex_]  (bytes 00 c0)
  B0TF  [ui16]  255 (bytes ff ff)
  B0TI  [ui16]  232 (bytes 03 e8)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 01)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  0 (bytes 00)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  81 (bytes 10 51)
  BC2V  [ui16]  67 (bytes 10 43)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  81 (bytes 10 51)
  BEMB  [flag]  (bytes 01)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BIMX  [ui16]  210 (bytes 5e d2)
  BIPD  [ui16]  0 (bytes 00 00)
  BITV  [ui16]  0 (bytes 00 00)
  BLPT  [ch8*]  (bytes 01 01 04 1a 0f 84 20 d0 00 00 00 00 00 00 00 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  1 (bytes 01)
