Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  102 0xffffff7f80c00000 0x9e50     0x9e50     com.apple.kpi.bsd (18.0.0) AC7CAD35-5FEA-452F-8F6D-75DC5F66B86B
    2    9 0xffffff7f810bf000 0x3900     0x3900     com.apple.kpi.dsep (18.0.0) 9FAC383D-4DF0-484B-AADE-7ECF23C3C0F8
    3  135 0xffffff7f80c2a000 0x21be0    0x21be0    com.apple.kpi.iokit (18.0.0) 9F236869-4DB8-425E-9439-B544CBCBE1E4
    4  143 0xffffff7f80c0a000 0xd7b0     0xd7b0     com.apple.kpi.libkern (18.0.0) C7355F23-4260-4F63-B2C0-C702BB4BB993
    5  125 0xffffff7f80c18000 0x3f60     0x3f60     com.apple.kpi.mach (18.0.0) 99327C03-0814-4E6B-A314-4790B70309B4
    6   77 0xffffff7f80c1c000 0xd4c0     0xd4c0     com.apple.kpi.private (18.0.0) 2E85B0F3-94F1-4631-AAC2-940000B8ACDC
    7   87 0xffffff7f80c8f000 0x5ea0     0x5ea0     com.apple.kpi.unsupported (18.0.0) 11D83028-AE46-4D69-9371-3E18AEF5D8DB
    8   10 0xffffff7f810c3000 0xb5000    0xb5000    com.apple.kec.corecrypto (1.0) 07B3C84E-52FB-3145-9524-02E5F3C43BAB <7 6 5 4 3 1>
    9    2 0xffffff7f81985000 0x10000    0x10000    com.apple.kec.Libm (1) 517F820E-75A8-3EA3-AB06-72751FF263CE <4>
   10    0 0xffffff7f82cd0000 0xa000     0xa000     com.apple.kec.pthread (1) BC932987-CA60-3EEF-8305-5A755B313D10 <7 6 5 4 3 1>
   11   33 0xffffff7f8123e000 0x9000     0x9000     com.apple.iokit.IOACPIFamily (1.4) 562C9B4E-FF66-390C-A5DD-7F8E1147667D <7 6 4 3>
   12   38 0xffffff7f80c95000 0x35000    0x35000    com.apple.iokit.IOPCIFamily (2.9) 08C17E7A-D02B-32F5-872A-E91E8A30C529 <7 6 5 4 3>
