Num: b0=0 b1=0 b2=2 b3=ffffffbd size=4
  #KEY  [ui32]  189 (bytes 00 00 02 bd)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  AC-A  [flag]  (bytes 00)
  AC-D  [ui8 ]  0 (bytes 00)
  AC-E  [flag]  (bytes 00)
  AC-I  [ui16]  248 (bytes 05 f8)
  AC-N  [ui8 ]  1 (bytes 01)
  AC-R  [ui8 ]  0 (bytes 00)
  AC-U  [flag]  (bytes 00)
  AC-V  [hex_]  (bytes 00 13 18 00)
  AC-W  [si8 ]  (bytes ff)
  AC-h  [ui8 ]  78 (bytes 4e)
  AC-l  [ui8 ]  28 (bytes 1c)
  AC-p  [ui8 ]  21 (bytes 15)
  AC-s  [ui16]  1 (bytes 00 01)
  AC-t  [ui16]  8 (bytes 00 08)
  ACDI  [ui16]  0 (bytes 00 00)
  ACEN  [ui8 ]  0 (bytes 00)
  ACFP  [flag]  (bytes 00)
  ACIC  [ui16]  0 (bytes 00 00)
  ACIN  [flag]  (bytes 00)
  ACLM  [ui16]  160 (bytes 0f a0)
  ACPW  [ui32]  0 (bytes 00 00 00 00)
  ACVM  [flag]  (bytes 01)
  ADC0  [ui16]  0 (bytes 00 00)
  ADC1  [ui16]  0 (bytes 00 00)
  ADC2  [ui16]  82 (bytes 0b 52)
  ADC3  [ui16]  252 (bytes 01 fc)
  ADC4  [ui16]  205 (bytes 01 cd)
  ADC5  [ui16]  176 (bytes 01 b0)
  ADC6  [ui16]  163 (bytes 04 a3)
  ADC7  [ui16]  152 (bytes 03 98)
  ADC8  [ui16]  127 (bytes 02 7f)
  ADC9  [ui16]  215 (bytes 01 d7)
  ADCa  [ui16]  47 (bytes 01 2f)
  ADCb  [ui16]  203 (bytes 00 cb)
  ADCc  [ui16]  20 (bytes 00 14)
  ADCd  [ui16]  25 (bytes 00 19)
  ADCe  [ui16]  55 (bytes 00 37)
  ADCf  [ui16]  53 (bytes 00 35)
  ADCg  [ui16]  67 (bytes 00 43)
  ADCh  [ui16]  78 (bytes 00 4e)
  ADCi  [ui16]  99 (bytes 00 63)
  ADCj  [ui16]  123 (bytes 00 7b)
  ADCk  [ui16]  126 (bytes 00 7e)
  ADCl  [ui16]  131 (bytes 00 83)
  ADCm  [ui16]  124 (bytes 00 7c)
  ADCn  [ui16]  118 (bytes 00 76)
  ADSC  [hex_]  (bytes 33)
  AL!   [ui16]  0 (bytes 00 00)
  ALCI  [ui8 ]  147 (bytes 93)
  ALI0  [{ali]  (bytes 07 00 00 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  1 (bytes 01)
  ALP0  [{alp]  (bytes 13 33 2d 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALPD  [flag]  (bytes 01)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 6a 3d)
  ALSL  [ui16]  166 (bytes 00 a6)
  ALV0  [{alv]  (bytes 01 80 04 e4 01 d7 00 29 b9 9c)
  ALV1  [{alv]  (bytes 00 00 00 00 00 00 00 00 00 00)
  ALcc  [hex_]  (bytes 00 00 71 08 00 00 d1 63 00 00 7c 50 00 00 47 cb 00 00 7c 77 00 ff f7 2d)
  ALcs  [ui8 ]  1 (bytes 01)
  ATCT  [ui32]  0 (bytes 00 00 00 00)
  ATPS  [ui8 ]  1 (bytes 01)
  ATVB  [ui8 ]  3 (bytes 03)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  38 (bytes 02 26)
  B0AC  [si16]  (bytes fc 6a)
  B0AP  [flt ]  (bytes 17 4a dd c0)
  B0AV  [ui16]  109 (bytes 1d 6d)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 11)
  B0CT  [ui16]  65 (bytes 00 41)
  B0FC  [ui16]  151 (bytes 14 97)
  B0LI  [ui16]  0 (bytes 0d 00)
  B0OS  [hex_]  (bytes e4 43)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  45 (bytes 0f 2d)
  B0RM  [ui16]  20 (bytes 08 14)
  B0RS  [ui16]  167 (bytes 00 a7)
  B0RV  [ui16]  252 (bytes 21 fc)
  B0St  [hex_]  (bytes 00 c0)
  B0TF  [ui16]  255 (bytes ff ff)
  B0TI  [ui16]  232 (bytes 03 e8)
