Num: b0=0 b1=0 b2=1 b3=43 size=4
  #KEY  [ui32]  67 (bytes 00 00 01 43)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 07)
  ACCL  [ui8 ]  0 (bytes 00)
  ACEN  [ui8 ]  0 (bytes 00)
  ACFP  [flag]  (bytes 00)
  ACIC  [ui16]  0 (bytes 00 00)
  ACID  [ch8*]  (bytes 00 00 00 00 00 00 00 00)
  ACIN  [flag]  (bytes 00)
  ACLM  [ui8 ]  85 (bytes 55)
  AUPO  [ui8 ]  0 (bytes 00)
  B0AC  [si16]  (bytes fa 09)
  B0AV  [ui16]  25 (bytes 1d 19)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 51)
  B0CT  [ui16]  51 (bytes 00 33)
  B0FC  [ui16]  132 (bytes 11 84)
  B0LI  [ui16]  0 (bytes 0d 00)
  B0RI  [ui16]  160 (bytes 0f a0)
  B0RM  [ui16]  147 (bytes 09 93)
  B0St  [hex_]  (bytes 00 c0)
  B0TF  [ui16]  255 (bytes ff ff)
  BATP  [flag]  (bytes 01)
  BBAD  [flag]  (bytes 00)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  143 (bytes 0e 8f)
  BC2V  [ui16]  139 (bytes 0e 8b)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  143 (bytes 0e 8f)
  BEMB  [flag]  (bytes 01)
  BFCT  [ui16]  0 (bytes 00 00)
  BLPT  [ch8*]  (bytes 01 01 04 1a 0d b6 1f a0 00 00 00 00 00 00 00 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  1 (bytes 01)
  BNum  [ui8 ]  1 (bytes 01)
  BRSC  [ui16]  55 (bytes 00 37)
  BSAC  [hex_]  (bytes 00)
  BSIn  [hex_]  (bytes 40)
  BTIL  [ui16]  128 (bytes 05 80)
  BTTI  [ui8 ]  2 (bytes 02)
  BTVI  [ui8 ]  2 (bytes 02)
  BTVR  [ui8 ]  1 (bytes 01)
  BTVT  [ui8 ]  1 (bytes 01)
  BWLM  [ui8 ]  0 (bytes 00)
  CHBI  [ui16]  0 (bytes 00 00)
  CHBV  [ui16]  0 (bytes 00 00)
  CHGC  [ui16]  38 (bytes 00 26)
  CHGD  [flag]  (bytes 00)
  CHGI  [ui16]  0 (bytes 00 00)
  CHGV  [ui16]  0 (bytes 00 00)
  CHLC  [ui8 ]  3 (bytes 03)
  CLK!  [ui8 ]  0 (bytes 00)
  CLKC  [{clc]  (bytes 00 00 0e 10 00 00 0e 10 19 8c)
  CLKH  [{clh]  (bytes 00 00 70 80 00 01 19 40)
  CLKS  [fp1f]  (bytes 80 00)
  CLKT  [ui32]  109 (bytes 00 01 0e 6d)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  94 (bytes 00 5e)
  CNdc  [ui8 ]  0 (bytes 00)
  CNdg  [ui8 ]  0 (bytes 00)
  CNr0  [sp78]  (bytes 1c 00)
  CNu0  [spn8]  (bytes ff fa cc 7f)
  CNu1  [sp78]  (bytes 00 00)
  CNv0  [spn8]  (bytes ff ff f6 00)
  CNy0  [sp78]  (bytes 0b 47)
  CNy1  [sp78]  (bytes 07 87)
  CRCB  [ui32]  166 (bytes a3 da 51 a6)
  CRCU  [ui32]  222 (bytes 46 34 0d de)
  DPB0  [ui8 ]  (bytes 0f)
  DPB1  [ui8 ]  (bytes 04)
  DPLM  [{lim]  (bytes 00 00 00)
  EPCA  [ui32]  0 (bytes 00 00 70 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  0 (bytes 05 60 07 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 60 80)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  0 (bytes 00 00 60 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  1 (bytes 05 60 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  EVCT  [ui16]  4 (bytes 04 04)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes f6 06 03 00 00 40 d6 c9 71 02 ff 00 01 40 00 00 1e 50 18 03 92 40 00 02 36 8f 00 00 03 00 c8 04)
  F0Ac  [fpe2]  2008 (bytes 1f 61)
  F0ID  [{fds]  (bytes 00 01 0a 00 45 78 68 61 75 73 74 20 20 00 00 00)
