BootArgs: Version=2, Revision=1, at 0xffffff80213b8000
CommandLine: 
Video: baseAddr=0xb0000000, display=1, rowBytes=6144, width=1440, height=900, depth=32
DevTree: addr=0x213c1000, length=0x17b4
Kernel image: kaddr=0x1d500000, ksize=0x3f86000
EFI Runtime: Mode=64, PageStart=0x213c3 (0x213c3000), PageCount=0xc0, SystemTable=0x21417e10
MemoryMap: Size=0x2c70, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 0000000000057fff 0000000000000058 0000000000000000 080000000000000f
reserved   0000000000058000 - 0000000000058fff 0000000000000001 0000000000000000 080000000000000f
available  0000000000059000 - 000000000009ffff 0000000000000047 0000000000000000 080000000000000f
reserved   00000000000a0000 - 00000000000bffff 0000000000000020 0000000000000000 0000000000000000
available  0000000000100000 - 000000001d4fffff 000000000001d400 0000000000000000 000000000000000f
LoaderData 000000001d500000 - 00000000213c2fff 0000000000003ec3 0000000000000000 000000000000000f
RT_data    00000000213c3000 - 0000000021417fff 0000000000000055 ffffff80213c3000 800000000000000f
RT_code    0000000021418000 - 0000000021442fff 000000000000002b ffffff8021418000 800000000000000f
LoaderData 0000000021443000 - 00000000296cdfff 000000000000828b 0000000000000000 000000000000000f
available  00000000296ce000 - 0000000076c82fff 000000000004d5b5 0000000000000000 000000000000000f
LoaderCode 0000000076c83000 - 0000000076d38fff 00000000000000b6 0000000000000000 000000000000000f
BS_data    0000000076d39000 - 0000000076ed0fff 0000000000000198 0000000000000000 000000000000000f
BS_code    0000000076ed1000 - 0000000076f6efff 000000000000009e 0000000000000000 000000000000000f
BS_data    0000000076f6f000 - 0000000076f74fff 0000000000000006 0000000000000000 000000000000000f
available  0000000076f75000 - 0000000076ff4fff 0000000000000080 0000000000000000 000000000000000f
BS_data    0000000076ff5000 - 0000000078411fff 000000000000141d 0000000000000000 000000000000000f
available  0000000078412000 - 0000000078429fff 0000000000000018 0000000000000000 000000000000000f
BS_data    000000007842a000 - 0000000078447fff 000000000000001e 0000000000000000 000000000000000f
available  0000000078448000 - 000000007844bfff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000007844c000 - 0000000078451fff 0000000000000006 0000000000000000 000000000000000f
available  0000000078452000 - 0000000078454fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000078455000 - 0000000078503fff 00000000000000af 0000000000000000 000000000000000f
LoaderCode 0000000078504000 - 0000000078504fff 0000000000000001 0000000000000000 000000000000000f
available  0000000078505000 - 0000000078506fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000078507000 - 0000000078508fff 0000000000000002 0000000000000000 000000000000000f
available  0000000078509000 - 000000007850afff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000007850b000 - 000000007875dfff 0000000000000253 0000000000000000 000000000000000f
BS_code    000000007875e000 - 000000007875efff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007875f000 - 0000000078765fff 0000000000000007 0000000000000000 000000000000000f
BS_code    0000000078766000 - 000000007876afff 0000000000000005 0000000000000000 000000000000000f
BS_data    000000007876b000 - 000000007876ffff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000078770000 - 0000000078771fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000078772000 - 00000000787b0fff 000000000000003f 0000000000000000 000000000000000f
BS_code    00000000787b1000 - 00000000787c2fff 0000000000000012 0000000000000000 000000000000000f
BS_data    00000000787c3000 - 00000000787c8fff 0000000000000006 0000000000000000 000000000000000f
BS_code    00000000787c9000 - 00000000787c9fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000787ca000 - 00000000787d4fff 000000000000000b 0000000000000000 000000000000000f
BS_code    00000000787d5000 - 00000000787dbfff 0000000000000007 0000000000000000 000000000000000f
BS_data    00000000787dc000 - 00000000787defff 0000000000000003 0000000000000000 000000000000000f
BS_code    00000000787df000 - 00000000787e7fff 0000000000000009 0000000000000000 000000000000000f
BS_data    00000000787e8000 - 00000000787ebfff 0000000000000004 0000000000000000 000000000000000f
BS_code    00000000787ec000 - 00000000787edfff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000787ee000 - 00000000787f0fff 0000000000000003 0000000000000000 000000000000000f
BS_code    00000000787f1000 - 00000000787f5fff 0000000000000005 0000000000000000 000000000000000f
BS_data    00000000787f6000 - 0000000078800fff 000000000000000b 0000000000000000 000000000000000f
BS_code    0000000078801000 - 0000000078801fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000078802000 - 0000000078841fff 0000000000000040 0000000000000000 000000000000000f
