BootArgs: Version=2, Revision=1, at 0xffffff800a7b8000
CommandLine: 
Video: baseAddr=0x90000000, display=1, rowBytes=11520, width=2880, height=1800, depth=32
DevTree: addr=0xa7ce000, length=0x1a70
Kernel image: kaddr=0x6900000, ksize=0x1407d000
EFI Runtime: Mode=64, PageStart=0xa7d0 (0xa7d0000), PageCount=0x101ac, SystemTable=0xa940f18
MemoryMap: Size=0xa20, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 000000000009efff 000000000000009f 0000000000000000 000000000002600f
reserved   000000000009f000 - 000000000009ffff 0000000000000001 0000000000000000 000000000002600f
reserved   00000000000a0000 - 00000000000fffff 0000000000000060 0000000000000000 0000000000000000
available  0000000000100000 - 00000000068fffff 0000000000006800 0000000000000000 000000000002600f
LoaderData 0000000006900000 - 000000000a7cffff 0000000000003ed0 0000000000000000 000000000002600f
RT_data    000000000a7d0000 - 000000000a7d0fff 0000000000000001 ffffff800a7d0000 800000000002600f
RT_code    000000000a7d1000 - 000000000a840fff 0000000000000070 ffffff800a7d1000 800000000002600f
RT_data    000000000a841000 - 000000000a940fff 0000000000000100 ffffff800a841000 800000000002600f
LoaderData 000000000a941000 - 0000000022bb9fff 0000000000018279 0000000000000000 000000000002600f
available  0000000022bba000 - 000000005157ffff 000000000002e9c6 0000000000000000 000000000002600f
BS_data    0000000051580000 - 000000005159ffff 0000000000000020 0000000000000000 000000000002600f
available  00000000515a0000 - 00000000604f7fff 000000000000ef58 0000000000000000 000000000002600f
LoaderCode 00000000604f8000 - 00000000605adfff 00000000000000b6 0000000000000000 000000000002600f
reserved   00000000605ae000 - 000000006072dfff 0000000000000180 0000000000000000 000000000002600f
BS_data    000000006072e000 - 0000000061231fff 0000000000000b04 0000000000000000 000000000002600f
ACPI_NVS   0000000061232000 - 0000000061232fff 0000000000000001 0000000000000000 000000000002600f
available  0000000061233000 - 0000000061233fff 0000000000000001 0000000000000000 000000000002600f
BS_data    0000000061234000 - 000000006156ffff 000000000000033c 0000000000000000 000000000002600f
available  0000000061570000 - 000000006157cfff 000000000000000d 0000000000000000 000000000002600f
LoaderCode 000000006157d000 - 000000006157dfff 0000000000000001 0000000000000000 000000000002600f
reserved   000000006157e000 - 000000006157efff 0000000000000001 0000000000000000 000000000002600f
available  000000006157f000 - 000000006b3a9fff 0000000000009e2b 0000000000000000 000000000002600f
BS_data    000000006b3aa000 - 000000006b58bfff 00000000000001e2 0000000000000000 000000000002600f
available  000000006b58c000 - 000000006b76cfff 00000000000001e1 0000000000000000 000000000002600f
BS_data    000000006b76d000 - 000000006b945fff 00000000000001d9 0000000000000000 000000000002600f
available  000000006b946000 - 000000006b9fdfff 00000000000000b8 0000000000000000 000000000002600f
BS_data    000000006b9fe000 - 000000006ba1cfff 000000000000001f 0000000000000000 000000000002600f
available  000000006ba1d000 - 000000006ba22fff 0000000000000006 0000000000000000 000000000002600f
BS_data    000000006ba23000 - 000000006ba26fff 0000000000000004 0000000000000000 000000000002600f
available  000000006ba27000 - 000000006ba27fff 0000000000000001 0000000000000000 000000000002600f
BS_data    000000006ba28000 - 000000006ba28fff 0000000000000001 0000000000000000 000000000002600f
available  000000006ba29000 - 000000006ba2afff 0000000000000002 0000000000000000 000000000002600f
BS_data    000000006ba2b000 - 000000006c0c2fff 0000000000000698 0000000000000000 000000000002600f
available  000000006c0c3000 - 000000006c0c4fff 0000000000000002 0000000000000000 000000000002600f
BS_data    000000006c0c5000 - 000000006c0c6fff 0000000000000002 0000000000000000 000000000002600f
available  000000006c0c7000 - 000000006c0c8fff 0000000000000002 0000000000000000 000000000002600f
BS_data    000000006c0c9000 - 000000007357efff 00000000000074b6 0000000000000000 000000000002600f
available  000000007357f000 - 0000000073704fff 0000000000000186 0000000000000000 000000000002600f
BS_code    0000000073705000 - 0000000073c7efff 000000000000057a 0000000000000000 000000000002600f
available  0000000073c7f000 - 0000000073ceefff 0000000000000070 0000000000000000 000000000002600f
available  0000000073cef000 - 0000000073deefff 0000000000000100 0000000000000000 000000000002600f
reserved   0000000073def000 - 0000000073f4efff 0000000000000160 0000000000000000 000000000002600f
ACPI_NVS   0000000073f4f000 - 0000000073f9efff 0000000000000050 0000000000000000 000000000002600f
ACPI_recl  0000000073f9f000 - 0000000073ffefff 0000000000000060 0000000000000000 000000000002600f
BS_data    0000000073fff000 - 0000000073ffffff 0000000000000001 0000000000000000 000000000002600f
reserved   0000000074000000 - 0000000077ffffff 0000000000004000 0000000000000000 0000000000000000
reserved   0000000078e00000 - 0000000078ffffff 0000000000000200 0000000000000000 0000000000000000
reserved   0000000079000000 - 00000000797fffff 0000000000000800 0000000000000000 0000000000004001
reserved   0000000079800000 - 000000007fffffff 0000000000006800 0000000000000000 0000000000000000
MemMapIO   00000000e0000000 - 00000000efffffff 0000000000010000 ffffff800a941000 8000000000000000
MemMapIO   00000000fe010000 - 00000000fe010fff 0000000000000001 ffffff801a941000 8000000000000000
reserved   00000000fed20000 - 00000000fed7ffff 0000000000000060 0000000000000000 0000000000000000
MemMapIO   00000000ff9fb000 - 00000000ffa29fff 000000000000002f ffffff801a942000 8000000000000000
available  0000000100000000 - 000000027fffffff 0000000000180000 0000000000000000 000000000002600f

