PM ASL data store: /var/log/powermanagement
2021-02-01 21:13:49 +0100 ShutdownCause       	SMC shutdown cause: 1: Normal warm reset                                   	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2021-02-01 21:13:50 +0100 Start               	powerd process is started                                                  	          
2021-02-01 21:13:50 +0100 Assertions          	Summary- [System: No Assertions] Using Batt          
2021-02-01 21:13:58 +0100 Assertions          	Summary- [System: BGTask] Using AC(Charge: 59)          
2021-02-01 21:14:00 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008015 [System: BGTask SRPrevSleep kCPU]          
2021-02-01 21:14:00 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008015 [System: BGTask]          
2021-02-01 21:14:09 +0100 Assertions          	Kernel Idle sleep preventers: IODisplayWrangler          
2021-02-01 21:14:11 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008054 [System: BGTask SRPrevSleep kCPU]          
2021-02-01 21:14:11 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008054 [System: BGTask]          
2021-02-01 21:14:15 +0100 Assertions          	PID 129(loginwindow) Created PreventSystemSleep "com.apple.loginwindow.minibuddysleepassert" 00:00:00  id:0x0x70000805e [System: PrevSleep BGTask IPushSrvc kCPU]          
2021-02-01 21:14:38 +0100 Assertions          	PID 518(Setup Assistant) Created UserIsActive "FLO UserActive and Clamshell Assertion" 00:00:00  id:0x0x9000080fe [System: PrevIdle PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:14:38 +0100 Assertions          	PID 518(Setup Assistant) Created PreventSystemSleep "FLO System Sleep Prevention Assertion" 00:00:00  id:0x0x7000080ff [System: PrevIdle PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:14:50 +0100 Notification        	Next immediate inactivity window start:'2021-02-01 21:30:00 +0100' end:'2021-02-01 22:00:00 +0100'	          
2021-02-01 21:14:50 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000813a [System: PrevIdle PrevSleep DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:14:50 +0100 Notification        	Next largest inactivity window start:'2021-02-01 22:15:00 +0100' end:'2021-02-02 21:15:00 +0100'	          
2021-02-01 21:14:53 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:03  id:0x0xd0000813a [System: PrevIdle PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:14:53 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000081b6 [System: PrevIdle PrevSleep DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:14:54 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000081b6 [System: PrevIdle PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:15:22 +0100 Assertions          	PID 95(apsd) Released ApplePushServiceTask "com.apple.apsd-login" 00:01:07  id:0x0xb0000805d [System: PrevSleep DeclUser BGTask IPushSrvc kCPU kDisp]          
2021-02-01 21:15:58 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd0000821c [System: PrevSleep DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:15:58 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd0000821c [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:17:58 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008223 [System: PrevSleep DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:17:58 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008223 [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:18:16 +0100 Assertions          	PID 371(mds_stores) Released BackgroundTask "com.apple.metadata.mds_stores.power" 00:04:06  id:0x0xb00008025 [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:18:33 +0100 Assertions          	PID 424(UserEventAgent) Released BackgroundTask "com.apple.ap.adprivacyd.reconcile" 00:02:12  id:0x0xb00008222 [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:18:56 +0100 Assertions          	PID 127(WindowServer) Created UserIsActive "com.apple.iohideventsystem.queue.tickle serviceID:100000521 name:NULL product:Magic Mouse 2 eventType:17" 00:00:00  id:0x0x900008228 [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:19:57 +0100 Assertions          	PID 424(UserEventAgent) Released BackgroundTask "com.apple.cloudphotod.sync.discretionary-when-background" 00:01:07  id:0x0xb00008227 [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:19:58 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008240 [System: PrevSleep DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:19:58 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008240 [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:21:58 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd0000824e [System: PrevSleep DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:21:58 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd0000824e [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:23:58 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008254 [System: PrevSleep DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:23:58 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008254 [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:24:15 +0100 Assertions          	PID 129(loginwindow) TimedOut PreventSystemSleep "com.apple.loginwindow.minibuddysleepassert" 00:10:00  id:0x0x70000805e [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:24:15 +0100 Assertions          	Summary- [System: PrevSleep DeclUser BGTask kCPU kDisp] Using AC(Charge: 66)          
