Num: b0=0 b1=0 b2=1 b3=ffffffeb size=4
  #KEY  [ui32]  235 (bytes 00 00 01 eb)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ACCL  [ui8 ]  2 (bytes 02)
  ACEN  [ui8 ]  1 (bytes 01)
  ACFP  [flag]  (bytes 01)
  ACIC  [ui16]  0 (bytes 10 00)
  ACID  [ch8*]  (bytes 85 d3 c6 10 c0 13 aa 7e)
  ACIN  [flag]  (bytes 01)
  ACLM  [ui16]  128 (bytes 11 80)
  ACdb  [flag]  (bytes 00)
  ACdl  [ui16]  202 (bytes 08 ca)
  ACic  [ui8 ]  2 (bytes 02)
  ADC0  [ui16]  61 (bytes 05 3d)
  ADC1  [ui16]  130 (bytes 02 82)
  ADC2  [ui16]  5 (bytes 00 05)
  ADC3  [ui16]  107 (bytes 0e 6b)
  ADC4  [ui16]  181 (bytes 05 b5)
  ADC5  [ui16]  42 (bytes 0a 2a)
  ADC6  [ui16]  235 (bytes 00 eb)
  ADC7  [ui16]  85 (bytes 00 55)
  ADC8  [ui16]  223 (bytes 02 df)
  ADC9  [ui16]  176 (bytes 00 b0)
  ADCa  [ui16]  88 (bytes 01 58)
  ADCb  [ui16]  182 (bytes 00 b6)
  ADCc  [ui16]  2 (bytes 00 02)
  ADCd  [ui16]  172 (bytes 02 ac)
  ADCe  [ui16]  1 (bytes 00 01)
  ADCf  [ui16]  4 (bytes 00 04)
  ADCg  [ui16]  236 (bytes 09 ec)
  ADCh  [ui16]  119 (bytes 04 77)
  ADCi  [ui16]  18 (bytes 00 12)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  100 (bytes 04 64)
  ADCl  [ui16]  45 (bytes 02 2d)
  ADCm  [ui16]  6 (bytes 00 06)
  ADCn  [ui16]  79 (bytes 04 4f)
  AL!   [ui16]  0 (bytes 00 00)
  ALCD  [fp88]  (bytes 09 0a)
  ALI0  [{ali]  (bytes 06 00 06 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALP0  [{alp]  (bytes 13 33 02 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 3b 85)
  ALSL  [ui16]  52 (bytes 00 34)
  ALV0  [{alv]  (bytes 01 01 01 7a 00 30 00 0d 32 58)
  ALV1  [{alv]  (bytes 00 01 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  B0AC  [si16]  (bytes 00 00)
  B0AV  [ui16]  89 (bytes 30 59)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 51)
  B0CT  [ui16]  18 (bytes 00 12)
  B0FC  [ui16]  147 (bytes 20 93)
  B0LI  [ui16]  0 (bytes 17 00)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  0 (bytes 00 00)
  B0RM  [ui16]  183 (bytes 1f b7)
  B0St  [hex_]  (bytes 40 e0)
  B0TF  [ui16]  255 (bytes ff ff)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  14 (bytes 0e)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  30 (bytes 10 1e)
  BC2V  [ui16]  30 (bytes 10 1e)
  BC3V  [ui16]  30 (bytes 10 1e)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  30 (bytes 10 1e)
  BEMB  [flag]  (bytes 01)
  BFCL  [ui8 ]  95 (bytes 5f)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BIMX  [ui16]  252 (bytes 64 fc)
  BIPD  [ui16]  0 (bytes 00 00)
  BITV  [ui16]  0 (bytes 00 00)
  BLPT  [ch8*]  (bytes 01 01 04 1a 18 c9 2f 70 00 00 00 00 00 00 00 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  4 (bytes 04)
  BNum  [ui8 ]  1 (bytes 01)
  BPII  [sp78]  (bytes 00 00)
  BPIT  [sp78]  (bytes 0a 9a)
  BRII  [sp78]  (bytes 00 04)
  BRIT  [sp78]  (bytes 0a 89)
  BRLP  [ui16]  84 (bytes 00 54)
  BROS  [ui16]  150 (bytes 00 96)
