BootArgs: Version=2, Revision=0, at 0xffffff8018837000
CommandLine: 
Video: baseAddr=0x90000000, display=1, rowBytes=11776, width=2880, height=1800, depth=32
DevTree: addr=0x18843000, length=0x138c
Kernel image: kaddr=0x16300000, ksize=0x2603000
EFI Runtime: Mode=64, PageStart=0x18845 (0x18845000), PageCount=0xbb, SystemTable=0x1889ae10
MemoryMap: Size=0x2760, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 0000000000057fff 0000000000000058 0000000000000000 080000000000000f
reserved   0000000000058000 - 0000000000058fff 0000000000000001 0000000000000000 080000000000000f
available  0000000000059000 - 000000000008efff 0000000000000036 0000000000000000 080000000000000f
reserved   000000000008f000 - 000000000008ffff 0000000000000001 0000000000000000 080000000000000f
available  0000000000090000 - 000000000009ffff 0000000000000010 0000000000000000 080000000000000f
reserved   00000000000a0000 - 00000000000bffff 0000000000000020 0000000000000000 0000000000000000
available  0000000000100000 - 00000000162fffff 0000000000016200 0000000000000000 000000000000000f
LoaderData 0000000016300000 - 0000000016312fff 0000000000000013 0000000000000000 000000000000000f
available  0000000016313000 - 00000000163fffff 00000000000000ed 0000000000000000 000000000000000f
LoaderData 0000000016400000 - 00000000169a8fff 00000000000005a9 0000000000000000 000000000000000f
available  00000000169a9000 - 00000000169fffff 0000000000000057 0000000000000000 000000000000000f
LoaderData 0000000016a00000 - 0000000018844fff 0000000000001e45 0000000000000000 000000000000000f
RT_data    0000000018845000 - 000000001889afff 0000000000000056 ffffff8018845000 800000000000000f
RT_code    000000001889b000 - 00000000188c9fff 000000000000002f ffffff801889b000 800000000000000f
LoaderData 00000000188ca000 - 0000000018902fff 0000000000000039 0000000000000000 000000000000000f
available  0000000018903000 - 00000000776dcfff 000000000005edda 0000000000000000 000000000000000f
BS_data    00000000776dd000 - 00000000776ddfff 0000000000000001 0000000000000000 000000000000000f
available  00000000776de000 - 00000000776defff 0000000000000001 0000000000000000 000000000000000f
LoaderCode 00000000776df000 - 000000007775bfff 000000000000007d 0000000000000000 000000000000000f
BS_data    000000007775c000 - 000000007775cfff 0000000000000001 0000000000000000 000000000000000f
available  000000007775d000 - 0000000077775fff 0000000000000019 0000000000000000 000000000000000f
BS_data    0000000077776000 - 00000000777cafff 0000000000000055 0000000000000000 000000000000000f
LoaderCode 00000000777cb000 - 00000000777cbfff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000777cc000 - 00000000777ccfff 0000000000000001 0000000000000000 000000000000000f
available  00000000777cd000 - 00000000777cefff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000777cf000 - 00000000777d0fff 0000000000000002 0000000000000000 000000000000000f
available  00000000777d1000 - 00000000777d2fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000777d3000 - 000000007941dfff 0000000000001c4b 0000000000000000 000000000000000f
BS_code    000000007941e000 - 000000007942dfff 0000000000000010 0000000000000000 000000000000000f
BS_data    000000007942e000 - 0000000079444fff 0000000000000017 0000000000000000 000000000000000f
BS_code    0000000079445000 - 0000000079446fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079447000 - 000000007944cfff 0000000000000006 0000000000000000 000000000000000f
BS_code    000000007944d000 - 000000007944efff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000007944f000 - 000000007944ffff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079450000 - 0000000079457fff 0000000000000008 0000000000000000 000000000000000f
BS_data    0000000079458000 - 0000000079459fff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000007945a000 - 000000007945afff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007945b000 - 000000007945bfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007945c000 - 000000007945cfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007945d000 - 000000007945ffff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000079460000 - 0000000079467fff 0000000000000008 0000000000000000 000000000000000f
BS_data    0000000079468000 - 000000007946ffff 0000000000000008 0000000000000000 000000000000000f
BS_code    0000000079470000 - 0000000079474fff 0000000000000005 0000000000000000 000000000000000f
BS_data    0000000079475000 - 000000007947cfff 0000000000000008 0000000000000000 000000000000000f
BS_code    000000007947d000 - 000000007947dfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007947e000 - 000000007948cfff 000000000000000f 0000000000000000 000000000000000f
BS_code    000000007948d000 - 0000000079490fff 0000000000000004 0000000000000000 000000000000000f
BS_data    0000000079491000 - 0000000079496fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000079497000 - 00000000794a1fff 000000000000000b 0000000000000000 000000000000000f
BS_data    00000000794a2000 - 00000000794a2fff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000794a3000 - 00000000794a3fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000794a4000 - 00000000794a4fff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000794a5000 - 00000000794a5fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000794a6000 - 00000000794aafff 0000000000000005 0000000000000000 000000000000000f
BS_code    00000000794ab000 - 00000000794acfff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000794ad000 - 00000000794f2fff 0000000000000046 0000000000000000 000000000000000f
BS_code    00000000794f3000 - 00000000794fbfff 0000000000000009 0000000000000000 000000000000000f
BS_data    00000000794fc000 - 0000000079501fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000079502000 - 000000007953ffff 000000000000003e 0000000000000000 000000000000000f
BS_data    0000000079540000 - 000000007956bfff 000000000000002c 0000000000000000 000000000000000f
BS_code    000000007956c000 - 000000007957dfff 0000000000000012 0000000000000000 000000000000000f
