BootArgs: Version=2, Revision=0, at 0xffffff8014bc0000
CommandLine: 
Video: baseAddr=0x80020000, display=1, rowBytes=16384, width=2880, height=1800, depth=32
DevTree: addr=0x14bc9000, length=0x1e3c
Kernel image: kaddr=0x11900000, ksize=0x3393000
EFI Runtime: Mode=64, PageStart=0x14bcb (0x14bcb000), PageCount=0xc5, SystemTable=0x14c20e10
MemoryMap: Size=0x2670, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 0000000000057fff 0000000000000058 0000000000000000 080000000000000f
reserved   0000000000058000 - 0000000000058fff 0000000000000001 0000000000000000 080000000000000f
available  0000000000059000 - 000000000008efff 0000000000000036 0000000000000000 080000000000000f
reserved   000000000008f000 - 000000000008ffff 0000000000000001 0000000000000000 080000000000000f
available  0000000000090000 - 000000000009ffff 0000000000000010 0000000000000000 080000000000000f
reserved   00000000000a0000 - 00000000000bffff 0000000000000020 0000000000000000 0000000000000000
available  0000000000100000 - 00000000118fffff 0000000000011800 0000000000000000 000000000000000f
LoaderData 0000000011900000 - 0000000011912fff 0000000000000013 0000000000000000 000000000000000f
available  0000000011913000 - 00000000119fffff 00000000000000ed 0000000000000000 000000000000000f
LoaderData 0000000011a00000 - 0000000014bcafff 00000000000031cb 0000000000000000 000000000000000f
RT_data    0000000014bcb000 - 0000000014c20fff 0000000000000056 ffffff8014bcb000 800000000000000f
RT_code    0000000014c21000 - 0000000014c4ffff 000000000000002f ffffff8014c21000 800000000000000f
LoaderData 0000000014c50000 - 0000000014c92fff 0000000000000043 0000000000000000 000000000000000f
available  0000000014c93000 - 00000000776ccfff 0000000000062a3a 0000000000000000 000000000000000f
LoaderCode 00000000776cd000 - 000000007775cfff 0000000000000090 0000000000000000 000000000000000f
available  000000007775d000 - 00000000777aefff 0000000000000052 0000000000000000 000000000000000f
BS_data    00000000777af000 - 00000000777b0fff 0000000000000002 0000000000000000 000000000000000f
available  00000000777b1000 - 00000000777b2fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000777b3000 - 000000007929dfff 0000000000001aeb 0000000000000000 000000000000000f
LoaderCode 000000007929e000 - 000000007929efff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007929f000 - 00000000792a0fff 0000000000000002 0000000000000000 000000000000000f
available  00000000792a1000 - 00000000792a2fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000792a3000 - 00000000792a4fff 0000000000000002 0000000000000000 000000000000000f
available  00000000792a5000 - 00000000792a6fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000792a7000 - 000000007943ffff 0000000000000199 0000000000000000 000000000000000f
BS_code    0000000079440000 - 000000007944ffff 0000000000000010 0000000000000000 000000000000000f
BS_data    0000000079450000 - 0000000079467fff 0000000000000018 0000000000000000 000000000000000f
BS_code    0000000079468000 - 0000000079469fff 0000000000000002 0000000000000000 000000000000000f
