Num: b0=0 b1=0 b2=2 b3=ffffff95 size=4
  #KEY  [ui32]  149 (bytes 00 00 02 95)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ACCL  [ui8 ]  2 (bytes 02)
  ACEN  [ui8 ]  0 (bytes 00)
  ACFP  [flag]  (bytes 00)
  ACIC  [ui16]  0 (bytes 00 00)
  ACID  [ch8*]  (bytes 00 00 00 00 00 00 00 00)
  ACIN  [flag]  (bytes 00)
  ACLM  [ui16]  128 (bytes 11 80)
  ACdb  [flag]  (bytes 00)
  ACdl  [ui16]  202 (bytes 08 ca)
  ACic  [ui8 ]  2 (bytes 02)
  ADC0  [ui16]  145 (bytes 08 91)
  ADC1  [ui16]  41 (bytes 01 29)
  ADC2  [ui16]  3 (bytes 00 03)
  ADC3  [ui16]  0 (bytes 00 00)
  ADC4  [ui16]  0 (bytes 00 00)
  ADC5  [ui16]  254 (bytes 0b fe)
  ADC6  [ui16]  161 (bytes 01 a1)
  ADC7  [ui16]  205 (bytes 04 cd)
  ADC8  [ui16]  105 (bytes 03 69)
  ADC9  [ui16]  180 (bytes 00 b4)
  ADCa  [ui16]  63 (bytes 01 3f)
  ADCb  [ui16]  179 (bytes 00 b3)
  ADCc  [ui16]  35 (bytes 04 23)
  ADCd  [ui16]  33 (bytes 01 21)
  ADCe  [ui16]  0 (bytes 00 00)
  ADCf  [ui16]  2 (bytes 00 02)
  ADCg  [ui16]  26 (bytes 00 1a)
  ADCh  [ui16]  32 (bytes 00 20)
  ADCi  [ui16]  0 (bytes 00 00)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  5 (bytes 00 05)
  ADCl  [ui16]  8 (bytes 00 08)
  ADCm  [ui16]  5 (bytes 00 05)
  ADCn  [ui16]  0 (bytes 00 00)
  ADSC  [hex_]  (bytes 33)
  AL!   [ui16]  0 (bytes 00 00)
  ALCD  [fp88]  (bytes 04 7e)
  ALI0  [{ali]  (bytes 07 00 06 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  (bytes 01)
  ALP0  [{alp]  (bytes 13 33 02 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 10 00)
  ALSL  [ui16]  10 (bytes 00 0a)
  ALV0  [{alv]  (bytes 01 01 01 14 00 64 00 02 9a f0)
  ALV1  [{alv]  (bytes 00 01 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  B0AC  [si16]  (bytes e9 ba)
  B0AP  [sp87]  (bytes e3 42)
  B0AV  [ui16]  75 (bytes 29 4b)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 51)
  B0CT  [ui16]  36 (bytes 01 24)
  B0FC  [ui16]  59 (bytes 1f 3b)
  B0LI  [ui16]  0 (bytes 17 00)
  B0OS  [hex_]  (bytes e4 43)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  100 (bytes 19 64)
  B0RM  [ui16]  167 (bytes 0a a7)
  B0St  [hex_]  (bytes 00 c0)
  B0TF  [ui16]  255 (bytes ff ff)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 01)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  0 (bytes 00)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  182 (bytes 0d b6)
  BC2V  [ui16]  217 (bytes 0d d9)
  BC3V  [ui16]  188 (bytes 0d bc)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  217 (bytes 0d d9)
  BEMB  [flag]  (bytes 01)
  BFCL  [ui8 ]  95 (bytes 5f)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BIMX  [ui16]  105 (bytes 3e 69)
  BIPD  [ui16]  0 (bytes 00 00)
  BITV  [ui16]  0 (bytes 00 00)
  BLPT  [ch8*]  (bytes 01 01 04 1a 18 ba 30 c8 00 00 00 00 00 00 00 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  1 (bytes 01)
  BNum  [ui8 ]  1 (bytes 01)
  BPII  [sp78]  (bytes 05 70)
  BPIT  [sp78]  (bytes 0c 20)
  BQX1  [ui16]  0 (bytes 22 00)
