Num: b0=0 b1=0 b2=2 b3=ffffff9e size=4
  #KEY  [ui32]  158 (bytes 00 00 02 9e)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ACCL  [ui8 ]  2 (bytes 02)
  ACEN  [ui8 ]  0 (bytes 00)
  ACFP  [flag]  (bytes 00)
  ACIC  [ui16]  0 (bytes 00 00)
  ACID  [ch8*]  (bytes 00 00 00 00 00 00 00 00)
  ACIN  [flag]  (bytes 00)
  ACLM  [ui16]  128 (bytes 0d 80)
  ACPW  [ui32]  0 (bytes 00 00 00 00)
  ACcn  [flag]  (bytes 00)
  ACcs  [ui32]  0 (bytes 00 00 00 00)
  ACct  [ui16]  0 (bytes 00 00)
  ACcv  [flt ]  (bytes 00 00 00 00)
  ACdb  [flag]  (bytes 00)
  ACdl  [ui16]  202 (bytes 08 ca)
  ACic  [ui8 ]  2 (bytes 02)
  ADC0  [ui16]  15 (bytes 02 0f)
  ADC1  [ui16]  1 (bytes 00 01)
  ADC2  [ui16]  184 (bytes 01 b8)
  ADC3  [ui16]  2 (bytes 00 02)
  ADC4  [ui16]  0 (bytes 00 00)
  ADC5  [ui16]  5 (bytes 00 05)
  ADC6  [ui16]  5 (bytes 00 05)
  ADC7  [ui16]  0 (bytes 00 00)
  ADC8  [ui16]  0 (bytes 00 00)
  ADC9  [ui16]  0 (bytes 00 00)
  ADCa  [ui16]  0 (bytes 00 00)
  ADCb  [ui16]  0 (bytes 00 00)
  ADCc  [ui16]  0 (bytes 00 00)
  ADCd  [ui16]  0 (bytes 00 00)
  ADCe  [ui16]  0 (bytes 00 00)
  ADCf  [ui16]  0 (bytes 00 00)
  ADCg  [ui16]  0 (bytes 00 00)
  ADCh  [ui16]  0 (bytes 00 00)
  ADCi  [ui16]  0 (bytes 00 00)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  1 (bytes 09 01)
  ADCl  [ui16]  0 (bytes 00 00)
  ADCm  [ui16]  22 (bytes 01 16)
  ADCn  [ui16]  0 (bytes 00 00)
  ADHc  [flt ]  (bytes 00 00 00 00)
  ADHo  [ui16]  0 (bytes 00 00)
  ADSC  [hex_]  (bytes 30)
  AL!   [ui16]  0 (bytes 00 00)
  ALCD  [fp88]  (bytes 06 35)
  ALCI  [ui8 ]  147 (bytes 93)
  ALI0  [{ali]  (bytes 06 00 06 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  (bytes 01)
  ALP0  [{alp]  (bytes 13 33 02 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 01 ec)
  ALSL  [ui16]  0 (bytes 00 00)
  ALV0  [{alv]  (bytes 01 80 00 08 00 02 00 00 00 00)
  ALV1  [{alv]  (bytes 00 00 00 00 00 00 00 00 00 00)
  ATCT  [ui32]  0 (bytes 00 00 00 00)
  ATPS  [ui8 ]  1 (bytes 01)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  194 (bytes 01 c2)
  B0AC  [si16]  (bytes fe 75)
  B0AP  [sp87]  (bytes fd 9d)
  B0AV  [ui16]  121 (bytes 31 79)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 51)
  B0CT  [ui16]  38 (bytes 00 26)
  B0FC  [ui16]  53 (bytes 19 35)
  B0LI  [ui16]  128 (bytes 11 80)
  B0OS  [hex_]  (bytes e4 43)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  240 (bytes 11 f0)
  B0RM  [ui16]  223 (bytes 17 df)
  B0St  [hex_]  (bytes 00 c0)
  B0TF  [ui16]  255 (bytes ff ff)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 01)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  0 (bytes 00)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  124 (bytes 10 7c)
  BC2V  [ui16]  130 (bytes 10 82)
  BC3V  [ui16]  124 (bytes 10 7c)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  130 (bytes 10 82)
  BEMB  [flag]  (bytes 01)
  BFCL  [ui8 ]  95 (bytes 5f)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
