BootArgs: Version=2, Revision=0, at 0xffffff8007308000
CommandLine: 
Video: baseAddr=0xb0300000, display=1, rowBytes=14336, width=3360, height=2100, depth=32
DevTree: addr=0x7311000, length=0x12a90
Kernel image: kaddr=0x2d00000, ksize=0x482e000
EFI Runtime: Mode=64, PageStart=0x7324 (0x7324000), PageCount=0x208, SystemTable=0x74ddf18
MemoryMap: Size=0xff0, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 0000000000057fff 0000000000000058 0000000000000000 000000000000000f
reserved   0000000000058000 - 0000000000058fff 0000000000000001 0000000000000000 000000000000000f
available  0000000000059000 - 000000000009dfff 0000000000000045 0000000000000000 000000000000000f
reserved   000000000009e000 - 000000000009ffff 0000000000000002 0000000000000000 000000000000000f
reserved   00000000000a0000 - 00000000000fffff 0000000000000060 0000000000000000 0000000000000000
available  0000000000100000 - 0000000002cfffff 0000000000002c00 0000000000000000 000000000000000f
LoaderData 0000000002d00000 - 0000000002d12fff 0000000000000013 0000000000000000 000000000000000f
available  0000000002d13000 - 0000000002dfffff 00000000000000ed 0000000000000000 000000000000000f
LoaderData 0000000002e00000 - 0000000007323fff 0000000000004524 0000000000000000 000000000000000f
RT_data    0000000007324000 - 000000000736dfff 000000000000004a ffffff8007324000 800000000000000f
RT_code    000000000736e000 - 00000000073ddfff 0000000000000070 ffffff800736e000 800000000000000f
RT_data    00000000073de000 - 00000000074ddfff 0000000000000100 ffffff80073de000 800000000000000f
LoaderData 00000000074de000 - 000000000752dfff 0000000000000050 0000000000000000 000000000000000f
available  000000000752e000 - 000000006507ffff 000000000005db52 0000000000000000 000000000000000f
BS_data    0000000065080000 - 000000006509ffff 0000000000000020 0000000000000000 000000000000000f
available  00000000650a0000 - 0000000070829fff 000000000000b78a 0000000000000000 000000000000000f
BS_data    000000007082a000 - 0000000071752fff 0000000000000f29 0000000000000000 000000000000000f
available  0000000071753000 - 000000007249cfff 0000000000000d4a 0000000000000000 000000000000000f
LoaderCode 000000007249d000 - 0000000072529fff 000000000000008d 0000000000000000 000000000000000f
BS_data    000000007252a000 - 000000007252afff 0000000000000001 0000000000000000 000000000000000f
LoaderCode 000000007252b000 - 00000000725b7fff 000000000000008d 0000000000000000 000000000000000f
BS_data    00000000725b8000 - 00000000725b8fff 0000000000000001 0000000000000000 000000000000000f
available  00000000725b9000 - 00000000725c3fff 000000000000000b 0000000000000000 000000000000000f
BS_data    00000000725c4000 - 00000000725d5fff 0000000000000012 0000000000000000 000000000000000f
available  00000000725d6000 - 00000000725e7fff 0000000000000012 0000000000000000 000000000000000f
BS_data    00000000725e8000 - 00000000725f8fff 0000000000000011 0000000000000000 000000000000000f
available  00000000725f9000 - 00000000725fafff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000725fb000 - 000000007263cfff 0000000000000042 0000000000000000 000000000000000f
LoaderCode 000000007263d000 - 000000007263dfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007263e000 - 000000007263efff 0000000000000001 0000000000000000 000000000000000f
available  000000007263f000 - 0000000072640fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000072641000 - 0000000072642fff 0000000000000002 0000000000000000 000000000000000f
available  0000000072643000 - 0000000072644fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000072645000 - 0000000072658fff 0000000000000014 0000000000000000 000000000000000f
available  0000000072659000 - 0000000072659fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007265a000 - 000000007265cfff 0000000000000003 0000000000000000 000000000000000f
available  000000007265d000 - 0000000072660fff 0000000000000004 0000000000000000 000000000000000f
BS_data    0000000072661000 - 0000000072661fff 0000000000000001 0000000000000000 000000000000000f
available  0000000072662000 - 0000000072664fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000072665000 - 0000000072665fff 0000000000000001 0000000000000000 000000000000000f
available  0000000072666000 - 0000000072668fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000072669000 - 0000000072669fff 0000000000000001 0000000000000000 000000000000000f
available  000000007266a000 - 000000007266afff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007266b000 - 000000007266bfff 0000000000000001 0000000000000000 000000000000000f
