Purpose         Start               End                 HW Informant
"(PCI) SSD0/1"  0x0000000000003000  0x00000000000030FF  false 
"(PCI) GFX0/2"  0x0000000000004000  0x00000000000040FF  false 
"(PCI) IGPU/2"  0x0000000000005000  0x000000000000503F  false 
"(PCI) SBUS/1"  0x0000000000005040  0x000000000000505F  false 
"(PCI) I2C0/0"  0x0000000000235000  0x0000000000235FFF  false 
"(PCI) ARPT/0"  0x0000000000238000  0x000000000023FFFF  false 
"(PCI) NHI0/0"  0x00000000002C0000  0x00000000002FFFFF  false 
"(PCI) IMEI/0"  0x000000000030D000  0x000000000030DFFF  false 
"(PCI) SPI0/0"  0x000000000030E000  0x000000000030EFFF  false 
"(PCI) SBUS/0"  0x0000000000310000  0x00000000003100FF  false 
"(PCI) SPI1/0"  0x0000000000325000  0x0000000000325FFF  false 
"(PCI) NHI0/1"  0x0000000000330000  0x0000000000330FFF  false 
"(PCI) NHI0/1"  0x0000000000335000  0x0000000000335FFF  false 
"(PCI) NHI0/0"  0x0000000000340000  0x000000000037FFFF  false 
"(PCI) URT0/0"  0x00000000003AE000  0x00000000003AEFFF  false 
"(PCI) URT1/0"  0x0000000000422000  0x0000000000422FFF  false 
"(PCI) URT2/0"  0x0000000000423000  0x0000000000423FFF  false 
"(PCI) GFX0/3"  0x0000000000640000  0x000000000067FFFF  false 
"(PCI) SSD0/0"  0x000000000083C000  0x000000000083FFFF  false 
"(PCI) PMCR/0"  0x0000000000848000  0x000000000084BFFF  false 
"(PCI) HDEF/0"  0x000000000084C000  0x000000000084FFFF  false 
"(PCI) HDAU/0"  0x0000000000850000  0x0000000000853FFF  false 
"(PCI) GFX0/4"  0x00000000008E0000  0x00000000008FFFFF  false 
"(PCI) XHC1/0"  0x0000000000900000  0x000000000090FFFF  false 
"(PCI) XHC2/0"  0x0000000000910000  0x000000000091FFFF  false 
"(PCI) XHC3/0"  0x0000000000920000  0x000000000092FFFF  false 
"(PCI) HDEF/1"  0x0000000000930000  0x000000000093FFFF  false 
"(PCI) GFX0/1"  0x0000000100400000  0x00000001005FFFFF  false 
"(PCI) ARPT/1"  0x0000000100800000  0x0000000100BFFFFF  false 
"(PCI) IGPU/0"  0x0000000101000000  0x0000000101FFFFFF  false 
"(PCI) GFX0/0"  0x0000000110000000  0x000000011FFFFFFF  false 
"(PCI) IGPU/1"  0x0000000120000000  0x000000012FFFFFFF  false 
