Num: b0=0 b1=0 b2=3 b3=5a size=4
  #KEY  [ui32]  90 (bytes 00 00 03 5a)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  AC-A  [flag]  (bytes 00)
  AC-D  [ui8 ]  0 (bytes 00)
  AC-E  [flag]  (bytes 00)
  AC-I  [ui16]  64 (bytes 11 40)
  AC-N  [ui8 ]  4 (bytes 04)
  AC-R  [ui8 ]  0 (bytes 00)
  AC-U  [flag]  (bytes 00)
  AC-V  [hex_]  (bytes 00 03 94 00)
  AC-W  [si8 ]  (bytes ff)
  AC-h  [ui8 ]  250 (bytes fa)
  AC-l  [ui8 ]  142 (bytes 8e)
  AC-p  [ui8 ]  15 (bytes 0f)
  AC-s  [ui16]  19 (bytes 00 13)
  AC-t  [ui16]  27 (bytes 00 1b)
  ACDI  [ui16]  0 (bytes 00 00)
  ACEN  [ui8 ]  0 (bytes 00)
  ACFP  [flag]  (bytes 00)
  ACIC  [ui16]  0 (bytes 00 00)
  ACIN  [flag]  (bytes 00)
  ACLM  [ui16]  88 (bytes 10 58)
  ACPW  [ui32]  0 (bytes 00 00 00 00)
  ACVM  [flag]  (bytes 01)
  ADC0  [ui16]  106 (bytes 01 6a)
  ADC1  [ui16]  149 (bytes 09 95)
  ADC2  [ui16]  182 (bytes 01 b6)
  ADC3  [ui16]  2 (bytes 00 02)
  ADC4  [ui16]  0 (bytes 00 00)
  ADC5  [ui16]  5 (bytes 00 05)
  ADC6  [ui16]  7 (bytes 00 07)
  ADC7  [ui16]  11 (bytes 00 0b)
  ADC8  [ui16]  0 (bytes 00 00)
  ADC9  [ui16]  12 (bytes 00 0c)
  ADCa  [ui16]  12 (bytes 00 0c)
  ADCb  [ui16]  0 (bytes 00 00)
  ADCc  [ui16]  174 (bytes 00 ae)
  ADCd  [ui16]  13 (bytes 00 0d)
  ADCe  [ui16]  0 (bytes 00 00)
  ADCf  [ui16]  6 (bytes 00 06)
  ADCg  [ui16]  6 (bytes 00 06)
  ADCh  [ui16]  8 (bytes 00 08)
  ADCi  [ui16]  7 (bytes 00 07)
  ADCj  [ui16]  9 (bytes 05 09)
  ADCk  [ui16]  232 (bytes 05 e8)
  ADCl  [ui16]  145 (bytes 01 91)
  ADCm  [ui16]  191 (bytes 00 bf)
  ADCn  [ui16]  8 (bytes 00 08)
  ADSC  [hex_]  (bytes 33)
  ATCT  [ui32]  0 (bytes 00 00 00 00)
  ATPS  [ui8 ]  3 (bytes 03)
  ATVB  [ui8 ]  3 (bytes 03)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  38 (bytes 02 26)
  B0AC  [si16]  (bytes f9 1d)
  B0AP  [flt ]  (bytes 3b e4 9b c1)
  B0AV  [ui16]  45 (bytes 2b 2d)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 11)
  B0CT  [ui16]  79 (bytes 00 4f)
  B0FC  [ui16]  13 (bytes 19 0d)
  B0LI  [ui16]  128 (bytes 15 80)
  B0OS  [hex_]  (bytes e4 43)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  37 (bytes 16 25)
  B0RM  [ui16]  5 (bytes 06 05)
  B0RS  [ui16]  200 (bytes 00 c8)
  B0RV  [ui16]  250 (bytes 32 fa)
  B0St  [hex_]  (bytes 00 c0)
  B0TF  [ui16]  255 (bytes ff ff)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 01)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  32 (bytes 20)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  105 (bytes 0e 69)
  BC2V  [ui16]  95 (bytes 0e 5f)
  BC3V  [ui16]  102 (bytes 0e 66)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  105 (bytes 0e 69)
  BEMB  [flag]  (bytes 01)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BIMX  [ui16]  50 (bytes 37 32)
  BIPD  [ui16]  0 (bytes 00 00)
  BITV  [ui16]  0 (bytes 00 00)
  BLPT  [hex_]  (bytes 01 01 04 1a 13 89 31 38 00 00 00 00 00 00 00 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  1 (bytes 01)
  BNum  [ui8 ]  1 (bytes 01)
  BPII  [sp78]  (bytes 01 b8)
  BPIT  [sp78]  (bytes 0b a4)
