Purpose                 Start               End                 HW Informant
"(PCI) IGPU/2"          0x0000000000003000  0x000000000000303F  false 
"(PCI) SBUS/1"          0x0000000000003040  0x000000000000305F  false 
"(PCI) URT0/0"          0x0000000000231000  0x0000000000231FFF  false 
"(PCI) SPI1/0"          0x0000000000234000  0x0000000000234FFF  false 
"(PCI) SBUS/0"          0x0000000000235000  0x00000000002350FF  false 
"(PCI) NHI0/1"          0x0000000000237000  0x0000000000237FFF  false 
"(PCI) NHI0/0"          0x0000000000280000  0x00000000002BFFFF  false 
"(PCI) IMEI/0"          0x00000000002FF000  0x00000000002FFFFF  false 
"(PCI) PMCR/0"          0x0000000000400000  0x0000000000403FFF  false 
"(PCI) CMRA/0"          0x0000000000420000  0x000000000042FFFF  false 
"(PCI) HDEF/0"          0x0000000000430000  0x0000000000433FFF  false 
"(PCI) ARPT/0"          0x00000000005A0000  0x00000000005A7FFF  false 
"(PCI) HDEF/1"          0x00000000005B0000  0x00000000005BFFFF  false 
"(PCI) XHC2/0"          0x0000000000850000  0x000000000085FFFF  false 
"(PCI) XHC1/0"          0x0000000000A00000  0x0000000000A0FFFF  false 
"(PCI) pci8086,9d62/0"  0x0000000000A12000  0x0000000000A12FFF  false 
"(PCI) pci8086,9d60/0"  0x0000000000A13000  0x0000000000A13FFF  false 
"(PCI) SSD0/0"          0x0000000001EB0000  0x0000000001EB3FFF  false 
"(PCI) CMRA/2"          0x0000000100100000  0x00000001001FFFFF  false 
"(PCI) IGPU/1"          0x0000000100400000  0x00000001103FFFFF  false 
"(PCI) IGPU/0"          0x0000000110400000  0x00000001113FFFFF  false 
"(PCI) ARPT/1"          0x0000000111400000  0x00000001117FFFFF  false 
"(PCI) CMRA/1"          0x0000000111800000  0x00000001217FFFFF  false 
