Num: b0=0 b1=0 b2=2 b3=ffffffed size=4
  #KEY  [ui32]  237 (bytes 00 00 02 ed)
  $Adr  [hex_]  (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  AC-A  [flag]  (bytes 00)
  AC-D  [ui8 ]  0 (bytes 00)
  AC-E  [flag]  (bytes 00)
  AC-I  [ui16]  23 (bytes 15 17)
  AC-N  [ui8 ]  2 (bytes 02)
  AC-R  [ui8 ]  0 (bytes 00)
  AC-U  [flag]  (bytes 00)
  AC-V  [hex_]  (bytes 00 05 46 00)
  AC-W  [si8 ]  (bytes 01)
  AC-h  [ui8 ]  163 (bytes a3)
  AC-l  [ui8 ]  22 (bytes 16)
  AC-p  [ui8 ]  0 (bytes 00)
  AC-s  [ui16]  21 (bytes 00 15)
  AC-t  [ui16]  92 (bytes 00 5c)
  ACDI  [ui16]  88 (bytes 0b 58)
  ACEN  [ui8 ]  1 (bytes 01)
  ACFP  [flag]  (bytes 01)
  ACIC  [ui16]  88 (bytes 0b 58)
  ACIN  [flag]  (bytes 00)
  ACLM  [ui16]  128 (bytes 0b 80)
  ACPW  [ui32]  136 (bytes 00 00 d7 88)
  ACVM  [flag]  (bytes 01)
  ADC0  [ui16]  10 (bytes 0f 0a)
  ADC1  [ui16]  40 (bytes 03 28)
  ADC2  [ui16]  205 (bytes 0a cd)
  ADC3  [ui16]  15 (bytes 00 0f)
  ADC4  [ui16]  0 (bytes 00 00)
  ADC5  [ui16]  213 (bytes 01 d5)
  ADC6  [ui16]  241 (bytes 05 f1)
  ADC7  [ui16]  0 (bytes 00 00)
  ADC8  [ui16]  30 (bytes 00 1e)
  ADC9  [ui16]  0 (bytes 00 00)
  ADCa  [ui16]  0 (bytes 00 00)
  ADCb  [ui16]  0 (bytes 00 00)
  ADCc  [ui16]  18 (bytes 00 12)
  ADCd  [ui16]  96 (bytes 00 60)
  ADCe  [ui16]  0 (bytes 00 00)
  ADCf  [ui16]  45 (bytes 00 2d)
  ADCg  [ui16]  7 (bytes 00 07)
  ADCh  [ui16]  0 (bytes 00 00)
  ADCi  [ui16]  0 (bytes 00 00)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  8 (bytes 00 08)
  ADCl  [ui16]  0 (bytes 00 00)
  ADCm  [ui16]  0 (bytes 00 00)
  ADCn  [ui16]  0 (bytes 00 00)
  ADSC  [hex_]  (bytes 30)
  AL!   [ui16]  0 (bytes 00 00)
  ALCI  [ui8 ]  147 (bytes 93)
  ALI0  [{ali]  (bytes 07 00 00 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  1 (bytes 01)
  ALP0  [{alp]  (bytes 13 33 2d 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 5c ee)
  ALSL  [ui16]  118 (bytes 00 76)
  ALV0  [{alv]  (bytes 01 80 05 74 02 09 00 1d b5 35)
  ALV1  [{alv]  (bytes 00 00 00 00 00 00 00 00 00 00)
  ALcc  [hex_]  (bytes 00 00 48 3f 00 00 87 31 00 00 7a 43 00 00 2e bb 00 00 51 c5 01 00 f5 00)
  ALcs  [ui8 ]  1 (bytes 01)
  ATCT  [ui32]  0 (bytes 00 00 00 00)
  ATPS  [ui8 ]  1 (bytes 01)
  ATVB  [ui8 ]  3 (bytes 03)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  38 (bytes 02 26)
  B0AC  [si16]  (bytes 0f 15)
  B0AP  [flt ]  (bytes 8b cd 40 42)
  B0AV  [ui16]  196 (bytes 30 c4)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 11)
  B0CT  [ui16]  44 (bytes 00 2c)
  B0FC  [ui16]  13 (bytes 12 0d)
  B0LI  [ui16]  248 (bytes 0e f8)
  B0OS  [hex_]  (bytes e4 03)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  224 (bytes 0f e0)
  B0RM  [ui16]  239 (bytes 07 ef)
  B0RS  [ui16]  200 (bytes 00 c8)
  B0RV  [ui16]  250 (bytes 32 fa)
  B0St  [hex_]  (bytes 00 80)
  B0TF  [ui16]  102 (bytes 00 66)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  14 (bytes 0e)
