Num: b0=0 b1=0 b2=3 b3=59 size=4
  #KEY  [ui32]  89 (bytes 00 00 03 59)
  AC-B  [si8 ]  (bytes ff)
  AC-C  [flag]  (bytes 00)
  AC-E  [flag]  (bytes 00)
  AC-F  [ui8 ]  0 (bytes 00)
  AC-I  [ui16]  0 (bytes 00 00)
  AC-M  [hex_]  (bytes 01 01)
  AC-N  [ui8 ]  4 (bytes 04)
  AC-P  [ui8 ]  0 (bytes 00)
  AC-R  [ui8 ]  0 (bytes 00)
  AC-S  [flag]  (bytes 01)
  AC-U  [flag]  (bytes 00)
  AC-W  [si8 ]  (bytes ff)
  AC-X  [hex_]  (bytes 00 00)
  AC-h  [ui8 ]  0 (bytes 00)
  AC-i  [ui16]  0 (bytes 00 00)
  AC-l  [ui8 ]  0 (bytes 00)
  AC-m  [ui16]  0 (bytes 00 00)
  AC-n  [ui16]  0 (bytes 00 00)
  AC-p  [ui8 ]  0 (bytes 00)
  AC-s  [ui16]  0 (bytes 00 00)
  AC-t  [ui16]  0 (bytes 00 00)
  AC-w  [ui32]  0 (bytes 00 00 00 00)
  AC-x  [ui16]  0 (bytes 00 00)
  ACDI  [ui16]  0 (bytes 00 00)
  ACEN  [ui8 ]  1 (bytes 01)
  ACFP  [flag]  (bytes 00)
  ACIC  [ui16]  0 (bytes 00 00)
  ACKG  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 00 00 00 60 df ff bf 3c e0 ff bf 1c df ff bf 1c 00 00 00 00 e0 ff bf 34 e0 ff bf 58 e0 ff bf c4 23 00 00 41 43 4b 47 00 00 00 00 76 00 00 00 68 65 78 5f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ACKL  [hex_]  (bytes 00)
  ACKR  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 00 00 00 60 df ff bf 3c e0 ff bf 1c df ff bf 1e 00 00 00 00 e0 ff bf 34 e0 ff bf 58 e0 ff bf c4 23 00 00 41 43 4b 52 00 00 00 00 6f 00 00 00 68 65 78 5f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ACKS  [hex_]  (bytes 00 00)
  ACLM  [ui16]  88 (bytes 10 58)
  ACPW  [ui32]  0 (bytes 00 00 00 00)
  ACTL  [ui8 ]  0 (bytes 00)
  ACVM  [flag]  (bytes 01)
  ACVS  [ui8 ]  0 (bytes 00)
  ADC0  [ui16]  1 (bytes 00 01)
  ADC1  [ui16]  0 (bytes 00 00)
  ADC2  [ui16]  232 (bytes 0b e8)
  ADC3  [ui16]  117 (bytes 04 75)
  ADC4  [ui16]  58 (bytes 04 3a)
  ADC5  [ui16]  221 (bytes 00 dd)
  ADC6  [ui16]  0 (bytes 00 00)
  ADC7  [ui16]  107 (bytes 00 6b)
  ADC8  [ui16]  5 (bytes 00 05)
  ADC9  [ui16]  204 (bytes 0b cc)
  ADCE  [ui32]  0 (bytes 00 00 00 00)
  ADCa  [ui16]  5 (bytes 00 05)
  ADCb  [ui16]  133 (bytes 08 85)
  ADCc  [ui16]  5 (bytes 00 05)
  ADCd  [ui16]  3 (bytes 00 03)
  ADCe  [ui16]  4 (bytes 00 04)
  ADCf  [ui16]  183 (bytes 01 b7)
  ADCg  [ui16]  4 (bytes 00 04)
  ADCh  [ui16]  8 (bytes 00 08)
  ADCi  [ui16]  4 (bytes 00 04)
  ADCj  [ui16]  60 (bytes 00 3c)
  ADCk  [ui16]  3 (bytes 00 03)
  ADCl  [ui16]  160 (bytes 00 a0)
  ADCm  [ui16]  84 (bytes 00 54)
  ADCn  [ui16]  201 (bytes 00 c9)
  AOPc  [hex_]  (bytes 00 00 00 00 04 c0 80 10 02 00 00 00 00 80 00 00 2f 00 00 00 00 10 00 00 04 c0 80 10 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 00 00 00 60 df ff bf 3c e0 ff bf 1c df ff bf 3e 00 00 00 00)
  AOPe  [ui8 ]  0 (bytes 00)
  AOPs  [ui16]  0 (bytes 21 00)
  AOPt  [ui8 ]  0 (bytes 00)
  AUDC  [ui16]  0 (bytes 00 00)
  AUDS  [ui8 ]  0 (bytes 00)
  AUPO  [ui8 ]  0 (bytes 00)
  B0AC  [si16]  (bytes f4 67)
  B0AG  [hex_]  (bytes 01 11 04 00 f7 ee 5a 00)
  B0AP  [flt ]  (bytes b5 1b 0e 42)
  B0AV  [ui16]  190 (bytes 2e be)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 11)
  B0CT  [ui16]  68 (bytes 00 44)
  B0FC  [ui16]  91 (bytes 1b 5b)
  B0IV  [si16]  (bytes f7 ee)
  B0LI  [ui16]  255 (bytes 7f ff)
  B0MI  [ui16]  0 (bytes 17 00)
  B0OS  [hex_]  (bytes e4 43)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  92 (bytes 18 5c)
  B0RM  [ui16]  131 (bytes 19 83)
  B0RS  [ui16]  220 (bytes 00 dc)
  B0RV  [ui16]  250 (bytes 32 fa)
  B0St  [hex_]  (bytes 00 c0)
  B0TE  [ui16]  0 (bytes 5a 00)
  B0TF  [ui16]  255 (bytes ff ff)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 01)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  64 (bytes 40)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  158 (bytes 0f 9e)
  BC2V  [ui16]  165 (bytes 0f a5)
  BC3V  [ui16]  122 (bytes 0f 7a)
  BCFP  [ui32]  0 (bytes 00 00 00 00)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  165 (bytes 0f a5)
  BCTB  [si16]  (bytes 00 00)
  BCTC  [si16]  (bytes 00 00)
  BCTF  [ui8 ]  0 (bytes 00)
  BCTL  [flt ]  (bytes 00 00 80 3f)
  BCTP  [flt ]  (bytes 00 00 00 00)
  BCTS  [ui8 ]  0 (bytes 00)
  BCTW  [ui8 ]  0 (bytes 00)
  BEMB  [flag]  (bytes 01)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BHCK  [ui8 ]  0 (bytes 00)
  BIMX  [ui16]  7 (bytes 42 07)
  BIPD  [ui16]  0 (bytes 00 00)
  BITV  [ui16]  0 (bytes 00 00)
  BLTP  [hex_]  (bytes 9b 75 04 00 b2 e1 0d 01 c3 af 05 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  1 (bytes 01)
  BNum  [ui8 ]  1 (bytes 01)
  BQCC  [si16]  (bytes 01 0a)
  BQD1  [ui16]  240 (bytes 02 f0)
  BQD2  [ui16]  240 (bytes 02 f0)
  BQD3  [ui16]  248 (bytes 02 f8)
  BQX1  [ui16]  102 (bytes 1d 66)
  BQX2  [ui16]  153 (bytes 1d 99)
  BQX3  [ui16]  52 (bytes 1d 34)
  BROS  [ui16]  150 (bytes 00 96)
  BRSC  [ui16]  94 (bytes 00 5e)
  BRTC  [ui8 ]  24 (bytes 18)
  BRTE  [ui8 ]  0 (bytes 00)
  BRTG  [ui8 ]  0 (bytes 00)
  BRTH  [si8 ]  (bytes 05)
  BRTI  [ui8 ]  0 (bytes 00)
  BRTM  [si8 ]  (bytes ff)
  BRTP  [ui16]  0 (bytes 00 00)
  BSAC  [hex_]  (bytes 20)
  BSIn  [hex_]  (bytes c0)
  BSSA  [ui16]  17 (bytes 01 11)
  BSSC  [ui16]  0 (bytes 04 00)
  BTFU  [flag]  (bytes 00)
  BTIL  [ui16]  0 (bytes 00 00)
  BTTI  [ui8 ]  0 (bytes 00)
  BTVI  [ui8 ]  0 (bytes 00)
  BTVS  [fp1f]  (bytes 00 00)
  BVVL  [ui16]  0 (bytes 00 00)
  BWLM  [ui8 ]  0 (bytes 00)
  CH0H  [ui32]  0 (bytes 00 00 00 00)
  CHBI  [ui16]  0 (bytes 00 00)
  CHBV  [ui16]  56 (bytes 31 38)
  CHCC  [flag]  (bytes 00)
  CHCE  [flag]  (bytes 00)
  CHCR  [flag]  (bytes 00)
  CHGC  [ui16]  10 (bytes 1c 0a)
  CHGD  [flag]  (bytes 00)
  CHGI  [ui16]  0 (bytes 00 00)
  CHGV  [ui16]  56 (bytes 31 38)
  CHII  [ui16]  0 (bytes 00 00)
  CHIM  [flag]  (bytes 01)
  CHIT  [ui16]  0 (bytes 00 00)
  CLKA  [ui32]  255 (bytes ff ff ff ff)
  CLKL  [hex_]  (bytes eb a7 49 bd 67 00)
  CLKM  [hex_]  (bytes eb a7 49 bd 67 00)
  CLKO  [hex_]  (bytes c3 23 b3 da da 2e)
  CLKR  [ui32]  0 (bytes 00 80 00 00)
  CLKT  [ui32]  0 (bytes 00 00 00 00)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  44 (bytes 4f 2c)
  CPL!  [hex_]  (bytes 00)
  CPL1  [flt ]  (bytes 00 00 00 00)
  CPL2  [flt ]  (bytes 00 00 00 00)
  CPPL  [sp87]  (bytes 16 80)
  CPTX  [sp78]  (bytes 64 00)
  D1BD  [ui32]  0 (bytes 00 00 00 00)
  D1BI  [ui16]  0 (bytes 00 00)
  D1CA  [ui16]  0 (bytes 00 00)
  D1CD  [ui16]  0 (bytes 00 00)
  D1CR  [ui16]  0 (bytes 00 00)
  D1Ca  [ui8 ]  0 (bytes 00)
  D1Cb  [ui8 ]  0 (bytes 00)
  D1Cc  [ui16]  0 (bytes 00 00)
  D1Ci  [ui16]  0 (bytes 00 00)
  D1Cm  [ui16]  1 (bytes 00 01)
  D1Cn  [ui16]  0 (bytes 00 00)
  D1Cr  [ui16]  0 (bytes 00 00)
  D1Cs  [ui16]  0 (bytes 00 00)
  D1Cv  [ui16]  0 (bytes 00 00)
  D1Cw  [ui16]  0 (bytes 00 00)
  D1DA  [hex_]  (bytes 00 7e)
  D1DE  [ui8 ]  0 (bytes 00)
  D1DI  [ui8 ]  1 (bytes 01)
  D1DP  [hex_]  (bytes 00 00 00 00 00 00 00 00)
  D1DR  [flag]  (bytes 01)
  D1FC  [ui32]  0 (bytes 00 00 00 00)
  D1FV  [hex_]  (bytes 00 06 96 00)
  D1IC  [ui16]  255 (bytes ff ff)
  D1IR  [ui16]  0 (bytes 00 00)
  D1JA  [ui32]  76 (bytes 00 00 1d 4c)
  D1JB  [ui32]  76 (bytes 00 00 1d 4c)
  D1JD  [{jst]  (bytes 00 00 00 00 00 00 00 00 1d 4c 1d 4c 00 00 00 00 1d 4c 00 00 00)
  D1JR  [si32]  (bytes 4c 1d 00 00)
  D1JS  [si32]  (bytes 4c 1d 00 00)
  D1LR  [ui8 ]  0 (bytes 00)
  D1PI  [si8 ]  (bytes 00)
  D1PT  [ui8 ]  0 (bytes 00)
  D1ST  [ui8 ]  0 (bytes 00)
  D1St  [hex_]  (bytes 00 00)
  D1VC  [ui16]  0 (bytes 00 00)
  D1VD  [flt ]  (bytes 00 00 00 00)
  D1VM  [ui16]  0 (bytes 00 00)
  D1VR  [ui16]  0 (bytes 00 00)
  D1VX  [ui16]  0 (bytes 00 00)
  D1if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D1ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D1ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2BD  [ui8 ]  0 (bytes 00)
  D2BI  [ui16]  0 (bytes 00 00)
  D2CA  [ui16]  0 (bytes 00 00)
  D2CD  [ui16]  0 (bytes 00 00)
  D2CR  [ui16]  0 (bytes 00 00)
  D2Ca  [ui8 ]  0 (bytes 00)
  D2Cb  [ui8 ]  0 (bytes 00)
  D2Cc  [ui16]  0 (bytes 00 00)
  D2Ci  [ui16]  0 (bytes 00 00)
  D2Cm  [ui16]  1 (bytes 00 01)
  D2Cn  [ui16]  0 (bytes 00 00)
  D2Cr  [ui16]  0 (bytes 00 00)
  D2Cs  [ui16]  0 (bytes 00 00)
  D2Cv  [ui16]  0 (bytes 00 00)
  D2Cw  [ui16]  0 (bytes 00 00)
  D2DA  [hex_]  (bytes 00 70)
  D2DE  [ui8 ]  0 (bytes 00)
  D2DI  [ui8 ]  1 (bytes 01)
  D2DP  [hex_]  (bytes 00 00 00 00 00 00 00 00)
  D2DR  [flag]  (bytes 01)
  D2FC  [ui32]  0 (bytes 00 00 00 00)
  D2FV  [hex_]  (bytes 00 06 96 00)
  D2IC  [ui16]  255 (bytes ff ff)
