Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  194 0                  0          0          com.apple.kpi.bsd (20.4.0) 27D97DFA-83A2-303E-AFC8-EB4421190251 <>
    2   11 0                  0          0          com.apple.kpi.dsep (20.4.0) 27D97DFA-83A2-303E-AFC8-EB4421190251 <>
    3  217 0                  0          0          com.apple.kpi.iokit (20.4.0) 27D97DFA-83A2-303E-AFC8-EB4421190251 <>
    4  220 0                  0          0          com.apple.kpi.libkern (20.4.0) 27D97DFA-83A2-303E-AFC8-EB4421190251 <>
    5  205 0                  0          0          com.apple.kpi.mach (20.4.0) 27D97DFA-83A2-303E-AFC8-EB4421190251 <>
    6  121 0                  0          0          com.apple.kpi.private (20.4.0) 27D97DFA-83A2-303E-AFC8-EB4421190251 <>
    7  137 0                  0          0          com.apple.kpi.unsupported (20.4.0) 27D97DFA-83A2-303E-AFC8-EB4421190251 <>
    8    0 0xfffffe00079c8000 0x4000     0x4000     com.apple.kec.InvalidateHmac (1) 7661FBBF-6D5A-3A64-B813-A631454B94DA <7 6 5 4 3>
    9    7 0xfffffe00079d8000 0x8000     0x8000     com.apple.kec.Libm (1) 21111FD6-CC5C-3539-BCEF-B04B71A16B28 <4>
   10   17 0xfffffe0007ab4000 0x1c000    0x1c000    com.apple.kec.corecrypto (11.1) 22CF6B25-16CC-3ABB-9E91-60A51B85427C <7 6 5 4 3 1>
   11    0 0xfffffe0007afc000 0x4000     0x4000     com.apple.kec.pthread (1) 23872466-1504-3D57-9602-DF886F7891CC <7 6 5 4 3 1>
   12    0 0xfffffe0007020000 0x4000     0x4000     com.apple.nke.applicationfirewall (310) 0DEC4062-0C68-3F13-9C9D-BB0B14367C07 <7 6 5 4 3 1>
   13   29 0xfffffe000789c000 0x4000     0x4000     com.apple.iokit.IOReportFamily (47) 43FB44DE-FA3D-32BB-B7F4-D18E78B7F0D0 <5 4 3>
   14    1 0xfffffe00078cc000 0x4000     0x4000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) D322722F-41D2-3841-AC20-7797C58109AF <7 6 5 4 3 1>
   15    9 0xfffffe00078d0000 0x4000     0x4000     com.apple.iokit.IOStorageFamily (2.1) 1E88ED40-6836-376A-888F-D222AB537339 <7 6 5 4 3 1>
   16   93 0xfffffe0007050000 0xc000     0xc000     com.apple.driver.AppleARMPlatform (1.0.2) 9221773E-1054-3BE9-9ABC-2BD080622E0D <15 14 13 7 6 5 4 3 1>
   17    5 0xfffffe00077e8000 0x4000     0x4000     com.apple.iokit.IOCryptoAcceleratorFamily (1.0.1) 8BF14957-43FD-3BAB-A2BF-7986AD0FB585 <7 5 4 3 1>
   18    1 0xfffffe00073a0000 0x8000     0x8000     com.apple.security.AppleImage4 (3.0.0) 621AE4DA-C456-3735-B3BF-05DDBF484D61 <17 16 10 7 6 5 4 3 1>
   19    1 0xfffffe0007660000 0x4000     0x4000     com.apple.kext.CoreTrust (1) A2C16F17-DAEB-3457-AD1B-0CB1BA8B20EB <10 4>
   20   14 0xfffffe0007420000 0x14000    0x14000    com.apple.driver.AppleMobileFileIntegrity (1.0.5) 02ACD8F0-0E81-3A44-B16B-34608967587D <19 10 7 6 5 4 3 2 1>
   21    2 0xfffffe00073f8000 0x4000     0x4000     com.apple.kext.AppleMatch (1.0.0d1) 707388C5-A7E0-3E3B-90AD-47A664A18267 <4 1>
   22    2 0xfffffe00079f8000 0x1c000    0x1c000    com.apple.security.sandbox (300.0) 3C56396A-56BF-320A-95BC-EF0C0A564FC5 <21 20 15 7 6 5 4 3 2 1>
   23    2 0xfffffe00079e8000 0x4000     0x4000     com.apple.security.quarantine (4) FD7470D1-76E7-3D1B-B618-F8BC505F9DAA <22 21 7 6 5 4 3 2 1>
   24    0 0xfffffe0007520000 0x4000     0x4000     com.apple.AppleSystemPolicy (2.0.0) CEB4AE35-7891-37C6-8750-D4272320838C <23 22 20 7 6 5 4 3 2 1>
   25    3 0xfffffe00077ec000 0x4000     0x4000     com.apple.driver.IODARTFamily (1) 2FB6A676-C906-3C31-952B-1EBA8B26CF8A <16 6 5 4 3 1>
   26   15 0xfffffe00078d8000 0x4000     0x4000     com.apple.iokit.IOSurface (290.4) 7B9BD3A3-0A58-3B10-A2B6-AC167321F179 <7 6 5 4 3 1>
   27    5 0xfffffe00073c0000 0x2c000    0x2c000    com.apple.driver.AppleM2ScalerCSCDriver (265.0.0) BD3EA2B8-9F53-3CB2-8790-0569B5BCA907 <26 25 16 7 5 4 3 1>
   28    4 0xfffffe0007328000 0x4000     0x4000     com.apple.driver.AppleFirmwareUpdateKext (1) 0C296FF7-640D-3C76-8EB8-AA0396C33E3E <18 10 7 6 5 4 3 1>
   29    5 0xfffffe00072dc000 0x8000     0x8000     com.apple.driver.AppleEmbeddedAudioLibs (1.17) 5791C242-2C00-3997-8C57-F30CD6DF6F2D <28 16 7 5 4 3 1>
   30    7 0xfffffe0007784000 0x4000     0x4000     com.apple.iokit.IOAudio2Family (1.0) 25EC4683-DE01-34EC-A1CF-268B5E402F17 <5 4 3 1>
   31    2 0xfffffe00077e4000 0x4000     0x4000     com.apple.iokit.IOCECFamily (1) F2B854F4-A681-3266-8460-509C98D84FC2 <4 3>
   32    4 0xfffffe0007824000 0x8000     0x8000     com.apple.iokit.IOHDCPFamily (1.0.0) C5A4C456-9026-3972-8AE8-C6B2C946C625 <5 4 3>
   33   13 0xfffffe0007748000 0x24000    0x24000    com.apple.iokit.IOAVFamily (1.0.0) 520B1D27-13E6-325D-BA25-EAC78D021FF7 <32 31 30 29 16 9 7 6 5 4 3 1>
   34    1 0xfffffe0007024000 0x4000     0x4000     com.apple.AUC (1.0) C8545F9B-A514-37EC-9EFE-33D1D239ECC8 <33 27 26 16 7 6 5 4 3 1>
   35   25 0xfffffe0007844000 0x8000     0x8000     com.apple.iokit.IOHIDFamily (2.0.0) A5EEF2A1-A6C4-3625-9719-DE0B5C0BB47E <13 7 6 5 4 3 2 1>
   36    1 0xfffffe000723c000 0x8000     0x8000     com.apple.driver.AppleBiometricSensor (2) 632A0546-F066-3CCA-9B68-070753D79AA4 <35 16 13 7 5 4 3 1>
   37   22 0xfffffe00078c8000 0x4000     0x4000     com.apple.driver.IOSlaveProcessor (1) 94997A89-2104-30B3-A1CB-E66786C449C4 <4 3>
   38    9 0xfffffe0007028000 0x4000     0x4000     com.apple.driver.AppleA7IOP (1.0.2) 00DE8D85-74E7-37FE-8230-83A00A1A2A37 <37 16 5 4 3 1>
   39   10 0xfffffe00074a4000 0xc000     0xc000     com.apple.driver.AppleSEPManager (1.0.1) 410D4ECB-CD57-3011-A6CE-AC7EF26E5E16 <38 37 16 10 7 6 5 4 3 1>
   40    6 0xfffffe00078b8000 0x4000     0x4000     com.apple.iokit.IOSerialFamily (11) 17B98087-1F94-3406-ABA3-5775DAC0C968 <7 6 5 4 3 1>
   41   14 0xfffffe0007870000 0x4000     0x4000     com.apple.iokit.IONetworkingFamily (3.4) 7ADB95C2-DDA0-3888-ADA2-AEED08AA72F4 <7 6 5 4 3 1>
   42    2 0xfffffe0007894000 0x4000     0x4000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) 8E5FD73F-EE9F-3C0B-A58A-2AC71B58FCD4 <41 4 3 1>
   43    6 0xfffffe00078bc000 0xc000     0xc000     com.apple.iokit.IOSkywalkFamily (1) 1F88E812-BD67-3484-A91E-1C7A7B2445A3 <42 41 7 6 5 4 3 1>
   44    6 0xfffffe0007444000 0x4000     0x4000     com.apple.driver.AppleOnboardSerial (1.0) FCFC7554-95FA-3DC8-BBF3-B72B0FDE36E4 <43 40 7 5 4 3 1>
