Num: b0=0 b1=0 b2=1 b3=ffffffaf size=4
  #KEY  [ui32]  175 (bytes 00 00 01 af)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ACCL  [ui8 ]  3 (bytes 03)
  ACEN  [ui8 ]  0 (bytes 00)
  ACFP  [flag]  (bytes 00)
  ACIC  [ui16]  0 (bytes 00 00)
  ACID  [ch8*]  (bytes 00 00 00 00 00 00 00 00)
  ACIN  [flag]  (bytes 00)
  ACLM  [ui16]  128 (bytes 11 80)
  AL!   [ui16]  0 (bytes 00 00)
  ALI0  [{ali]  (bytes 04 00 0f 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALP0  [{alp]  (bytes 13 33 07 80)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c8 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 01 ec)
  ALSL  [ui16]  0 (bytes 00 00)
  ALV0  [{alv]  (bytes 01 01 00 00 00 02 00 00 00 00)
  ALV1  [{alv]  (bytes 00 01 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  B0AC  [si16]  (bytes fb 36)
  B0AV  [ui16]  12 (bytes 2e 0c)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 51)
  B0CT  [ui16]  6 (bytes 00 06)
  B0FC  [ui16]  149 (bytes 1b 95)
  B0LI  [ui16]  128 (bytes 12 80)
  B0RI  [ui16]  136 (bytes 13 88)
  B0RM  [ui16]  179 (bytes 15 b3)
  B0St  [hex_]  (bytes 00 c0)
  B0TF  [ui16]  255 (bytes ff ff)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 01)
  BBAD  [flag]  (bytes 00)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  83 (bytes 0f 53)
  BC2V  [ui16]  92 (bytes 0f 5c)
  BC3V  [ui16]  93 (bytes 0f 5d)
  BCHA  [ui8 ]  2 (bytes 02)
  BCHB  [ui8 ]  1 (bytes 01)
  BCHF  [ui8 ]  0 (bytes 00)
  BCHG  [ui8 ]  0 (bytes 00)
  BCHL  [ui8 ]  0 (bytes 00)
  BCHO  [ui8 ]  31 (bytes 1f)
  BCHP  [ui8 ]  31 (bytes 1f)
  BCHR  [ui8 ]  58 (bytes 3a)
  BCHT  [ui8 ]  6 (bytes 06)
  BCHX  [ui8 ]  1 (bytes 01)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  93 (bytes 0f 5d)
  BEMB  [flag]  (bytes 01)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BILB  [ui8 ]  31 (bytes 1f)
  BILO  [ui8 ]  1 (bytes 1f 01)
  BIMX  [ui16]  100 (bytes 52 64)
  BIPD  [ui16]  0 (bytes 00 00)
  BITV  [ui16]  0 (bytes 00 00)
  BLPT  [ch8*]  (bytes 01 01 04 1a 14 37 2f 70 00 00 00 00 00 00 00 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  1 (bytes 01)
  BNum  [ui8 ]  1 (bytes 01)
  BPII  [sp78]  (bytes 01 3b)
  BPIT  [sp78]  (bytes 0a 9a)
  BRII  [sp78]  (bytes 00 3f)
  BRIT  [sp78]  (bytes 0a 89)
  BRLP  [ui16]  69 (bytes 00 45)
  BROS  [ui16]  150 (bytes 00 96)
  BRS0  [ui16]  50 (bytes 00 32)
  BRSC  [ui16]  79 (bytes 00 4f)
  BRWK  [ui16]  150 (bytes 00 96)
  BSAC  [hex_]  (bytes 00)
  BSIn  [hex_]  (bytes 40)
  BTIL  [ui16]  0 (bytes 0d 00)
  BTTI  [ui8 ]  3 (bytes 03)
  BTVI  [ui8 ]  2 (bytes 02)
  BTVR  [ui8 ]  1 (bytes 01)
  BTVT  [ui8 ]  1 (bytes 01)
  BWLM  [ui8 ]  0 (bytes 00)
  CHBI  [ui16]  0 (bytes 00 00)
  CHBV  [ui16]  48 (bytes 31 30)
  CHGC  [ui16]  34 (bytes 00 22)
  CHGD  [flag]  (bytes 00)
  CHGI  [ui16]  0 (bytes 00 00)
  CHGV  [ui16]  48 (bytes 31 30)
  CHII  [ui16]  128 (bytes 11 80)
  CHLC  [ui8 ]  3 (bytes 03)
  CLK!  [ui8 ]  0 (bytes 00)
