Num: b0=0 b1=0 b2=1 b3=3d size=4
  #KEY  [ui32]  61 (bytes 00 00 01 3d)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 07)
  ALSC  [{alc]  (bytes 00 c8 00 96 00 dd 00 0f 00 01 01 5e 4e 20 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLK!  [ui8 ]  0 (bytes 00)
  CLKC  [{clc]  (bytes 00 00 0e 10 00 00 0e 10 19 8c)
  CLKH  [{clh]  (bytes 00 00 70 80 00 01 19 40)
  CLKS  [fp1f]  (bytes 19 8c)
  CLKT  [ui32]  105 (bytes 00 01 28 69)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  0 (bytes 00 00)
  CRCB  [ui32]  166 (bytes a3 da 51 a6)
  CRCU  [ui32]  124 (bytes 5a ed 0b 7c)
  DPLM  [{lim]  (bytes 00 00 00 00)
  ECIA  [ui16]  0 (bytes 00 00)
  ECIM  [ui16]  0 (bytes 00 00)
  ECIO  [ui16]  0 (bytes 00 00)
  ECIP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ECIT  [ui8 ]  0 (bytes 00)
  EPCA  [ui32]  0 (bytes 00 00 70 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  0 (bytes 05 f0 07 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 60 80)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  0 (bytes 00 00 60 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  1 (bytes 05 f0 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  EVCT  [ui16]  2 (bytes 02 02)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes f6 06 03 00 00 40 00 07 d1 04 30 a5 06 01 28 56 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  F0Ac  [fpe2]  2112 (bytes 21 01)
  F0ID  [{fds]  (bytes 00 00 0a 00 45 78 68 61 75 73 74 20 20 00 00 00)
  F0Mn  [fpe2]  2225 (bytes 22 c4)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  5500 (bytes 55 f0)
  F0Tg  [fpe2]  2225 (bytes 22 c4)
  FMAx  [fpe2]  3309 (bytes 33 b4)
  FNum  [ui8 ]  1 (bytes 01)
  FPDc  [fp79]  (bytes 2e e0)
  FPhz  [si16]  (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 00 00)
  G3WD  [flag]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HBWK  [flag]  (bytes 00)
  HDBS  [ui8 ]  1 (bytes 01)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 00 00 00)
  IC0C  [sp87]  (bytes 08 44)
  IC0R  [sp4b]  (bytes 0e 97)
  IC0c  [ui16]  128 (bytes 2e 80)
  IC0r  [ui16]  0 (bytes 36 00)
  IC1C  [sp5a]  (bytes 09 ba)
  IC1c  [ui16]  64 (bytes 29 40)
  IC2C  [sp5a]  (bytes 04 57)
  IC2c  [ui16]  0 (bytes 12 00)
  ID0R  [sp5a]  (bytes 0b c8)
  ID0r  [ui16]  128 (bytes 3a 80)
  ID1R  [sp5a]  (bytes 01 27)
  ID1r  [ui16]  64 (bytes 07 40)
  IG0C  [sp69]  (bytes 09 3b)
  IG0R  [sp3c]  (bytes 0a 2a)
  IG0c  [ui16]  0 (bytes 24 00)
  IG0r  [ui16]  192 (bytes 18 c0)
  IM0C  [sp5a]  (bytes 04 25)
  IM0c  [ui16]  192 (bytes 1b c0)
  IN0R  [sp69]  (bytes 01 c0)
  IN0r  [ui16]  192 (bytes 04 c0)
  IN1R  [sp5a]  (bytes 05 d3)
  IN1r  [ui16]  0 (bytes 18 00)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  12 (bytes 00 0c)
  LC2E  [ui16]  12 (bytes 00 0c)
  LCCN  [ui8 ]  0 (bytes 00)
  LCCQ  [ui8 ]  0 (bytes 00)
  LCKA  [ui8 ]  213 (bytes d5)
  LCSA  [ui8 ]  0 (bytes 00)
