BootArgs: Version=2, Revision=0, at 0xffffff800d993000
CommandLine: 
Video: baseAddr=0x90000000, display=1, rowBytes=7680, width=1920, height=1080, depth=32
DevTree: addr=0xd997000, length=0x1460
Kernel image: kaddr=0xad00000, ksize=0x2d6c000
EFI Runtime: Mode=64, PageStart=0xd999 (0xd999000), PageCount=0xd0, SystemTable=0xd9eee10
MemoryMap: Size=0x2c70, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 0000000000057fff 0000000000000058 0000000000000000 080000000000000f
reserved   0000000000058000 - 0000000000058fff 0000000000000001 0000000000000000 080000000000000f
available  0000000000059000 - 000000000008efff 0000000000000036 0000000000000000 080000000000000f
reserved   000000000008f000 - 000000000008ffff 0000000000000001 0000000000000000 080000000000000f
available  0000000000090000 - 000000000009ffff 0000000000000010 0000000000000000 080000000000000f
reserved   00000000000a0000 - 00000000000bffff 0000000000000020 0000000000000000 0000000000000000
available  0000000000100000 - 000000000acfffff 000000000000ac00 0000000000000000 000000000000000f
LoaderData 000000000ad00000 - 000000000ad12fff 0000000000000013 0000000000000000 000000000000000f
available  000000000ad13000 - 000000000adfffff 00000000000000ed 0000000000000000 000000000000000f
LoaderData 000000000ae00000 - 000000000d998fff 0000000000002b99 0000000000000000 000000000000000f
RT_data    000000000d999000 - 000000000d9eefff 0000000000000056 ffffff800d999000 800000000000000f
RT_code    000000000d9ef000 - 000000000da28fff 000000000000003a ffffff800d9ef000 800000000000000f
LoaderData 000000000da29000 - 000000000da6bfff 0000000000000043 0000000000000000 000000000000000f
available  000000000da6c000 - 0000000070a9bfff 0000000000063030 0000000000000000 000000000000000f
BS_data    0000000070a9c000 - 0000000070aa3fff 0000000000000008 0000000000000000 000000000000000f
available  0000000070aa4000 - 0000000070aa4fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000070aa5000 - 0000000070aa8fff 0000000000000004 0000000000000000 000000000000000f
available  0000000070aa9000 - 0000000074681fff 0000000000003bd9 0000000000000000 000000000000000f
BS_data    0000000074682000 - 0000000074684fff 0000000000000003 0000000000000000 000000000000000f
LoaderCode 0000000074685000 - 0000000074714fff 0000000000000090 0000000000000000 000000000000000f
BS_data    0000000074715000 - 0000000074716fff 0000000000000002 0000000000000000 000000000000000f
