Num: b0=0 b1=0 b2=2 b3=6f size=4
  #KEY  [ui32]  111 (bytes 00 00 02 6f)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  AAA1  [hex_]  (bytes 0f)
  AAA2  [hex_]  (bytes aa bb)
  AAA3  [hex_]  (bytes 77 66 55)
  AAA4  [hex_]  (bytes cc dd ee ff)
  AAF2  [hex_]  (bytes dd 11)
  AAF3  [hex_]  (bytes 00 11 22)
  AAF4  [hex_]  (bytes 33 44 88 99)
  ADC0  [ui16]  106 (bytes 08 6a)
  ADC1  [ui16]  42 (bytes 01 2a)
  ADC2  [ui16]  211 (bytes 05 d3)
  ADC3  [ui16]  88 (bytes 02 58)
  ADC4  [ui16]  177 (bytes 08 b1)
  ADC5  [ui16]  217 (bytes 03 d9)
  ADC6  [ui16]  0 (bytes 00 00)
  ADC7  [ui16]  25 (bytes 05 19)
  ADC8  [ui16]  70 (bytes 01 46)
  ADC9  [ui16]  59 (bytes 0c 3b)
  ADCa  [ui16]  149 (bytes 00 95)
  ADCb  [ui16]  143 (bytes 09 8f)
  ADCc  [ui16]  239 (bytes 01 ef)
  ADCd  [ui16]  49 (bytes 03 31)
  ADCe  [ui16]  160 (bytes 00 a0)
  ADCf  [ui16]  4 (bytes 00 04)
  ADCg  [ui16]  248 (bytes 0b f8)
  ADCh  [ui16]  247 (bytes 00 f7)
  ADCi  [ui16]  0 (bytes 00 00)
  ADCj  [ui16]  181 (bytes 01 b5)
  ADCk  [ui16]  0 (bytes 00 00)
  ADCl  [ui16]  2 (bytes 00 02)
  ADCm  [ui16]  0 (bytes 00 00)
  ADCn  [ui16]  0 (bytes 00 00)
  ADSC  [hex_]  (bytes 31)
  ALSC  [{alc]  (bytes 00 c8 00 96 00 dd 00 0f 00 01 01 5e 4e 20 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  194 (bytes 01 c2)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLK!  [ui8 ]  0 (bytes 00)
  CLKC  [{clc]  (bytes 00 00 0e 10 00 00 0e 10 19 8c)
  CLKH  [{clh]  (bytes 00 00 70 80 00 01 19 40)
  CLKS  [fp1f]  (bytes 19 8c)
  CLKT  [ui32]  86 (bytes 00 00 09 56)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  0 (bytes 00 00)
  CPL1  [sp78]  (bytes 00 00)
  CPL2  [sp78]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CRCA  [ui32]  146 (bytes 77 b2 5d 92)
  CRCB  [ui32]  118 (bytes 77 cc 91 76)
  CRCC  [ui32]  52 (bytes 01 79 a0 34)
  CRCF  [ui32]  137 (bytes bb 18 0b 89)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCU  [ui32]  203 (bytes e5 52 a0 cb)
  CRCa  [ui32]  146 (bytes 77 b2 5d 92)
  CRCb  [ui32]  118 (bytes 77 cc 91 76)
  CRCc  [ui32]  52 (bytes 01 79 a0 34)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCu  [ui32]  203 (bytes e5 52 a0 cb)
  DBGP  [ui8 ]  3 (bytes 03)
  DBGT  [ui8 ]  0 (bytes 00)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  1 (bytes 18 05 01 01)
  DID1  [ui32]  52 (bytes 10 dc a8 34)
  DM0C  [hex_]  (bytes 01 02)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  1 (bytes 01)
  DM0R  [ui8 ]  0 (bytes 00)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0W  [ui8 ]  0 (bytes 00)
  DM0b  [ui32]  0 (bytes 00 00 00 00)
  DM0g  [ui32]  14 (bytes 00 00 00 0e)
  DM0h  [ui8 ]  (bytes 00)
  DM0r  [ui8 ]  0 (bytes 00)
  DM0w  [ui8 ]  0 (bytes 00)
  DM1C  [hex_]  (bytes 01 04)
  DM1F  [ui8 ]  0 (bytes 00)
  DM1I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM1M  [ui8 ]  0 (bytes 00)
  DM1P  [ui8 ]  3 (bytes 03)
  DM1R  [ui8 ]  0 (bytes 00)
  DM1S  [ui8 ]  0 (bytes 00)
  DM1W  [ui8 ]  0 (bytes 00)
  DM1b  [ui32]  0 (bytes 00 00 00 00)
