Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  122 0xffffff7f80c00000 0x9e50     0x9e50     com.apple.kpi.bsd (18.5.0) 99F78B01-0923-4BC8-A89A-32B588291E23
    2   10 0xffffff7f81283000 0x3900     0x3900     com.apple.kpi.dsep (18.5.0) F349726D-1D7C-4F3B-8799-245129C4D03C
    3  150 0xffffff7f80c2a000 0x21be0    0x21be0    com.apple.kpi.iokit (18.5.0) 15DF89A5-FEF7-48EF-B1C3-8090E5BBAF91
    4    0 0xffffff7f82e67000 0x34b0     0x34b0     com.apple.kpi.kasan (18.5.0) 46CE5FFD-D352-49D2-BFEE-76F2605A7CEE
    5  156 0xffffff7f80c0a000 0xd800     0xd800     com.apple.kpi.libkern (18.5.0) 5DC791CE-0A86-4CCA-968B-F8BDDD1F4D97
    6  139 0xffffff7f80c18000 0x3f60     0x3f60     com.apple.kpi.mach (18.5.0) F7066957-8392-4D2B-859B-741848F0C75B
    7   83 0xffffff7f80c1c000 0xd480     0xd480     com.apple.kpi.private (18.5.0) F8500ADE-FFC9-41F6-AC6D-A44D304C8BA5
    8   92 0xffffff7f80c8f000 0x5ed0     0x5ed0     com.apple.kpi.unsupported (18.5.0) 7302336C-D807-4423-B6C8-20FB975104AE
    9    2 0xffffff7f80ea1000 0x10000    0x10000    com.apple.kec.Libm (1) 1D021646-6E74-3EFF-99B8-3B3DE32E5B5C <5>
   10   11 0xffffff7f8151d000 0xb9000    0xb9000    com.apple.kec.corecrypto (1.0) 5AB8B6D3-C4F2-3457-A0D5-EB3A341EB22B <8 7 6 5 3 1>
   11    0 0xffffff7f81e66000 0xa000     0xa000     com.apple.kec.pthread (1) F4DEB2F4-E2C2-3037-AC9D-75374CE7F53D <8 7 6 5 3 1>
   12   33 0xffffff7f80fc8000 0x9000     0x9000     com.apple.iokit.IOACPIFamily (1.4) 7706F483-87AE-3F44-BCCA-09C156F4E031 <8 7 5 3>
   13   41 0xffffff7f80c95000 0x36000    0x36000    com.apple.iokit.IOPCIFamily (2.9) 54C3F778-4B95-3093-A51D-D761607C96CB <8 7 6 5 3>
   14   10 0xffffff7f80fd1000 0x1e000    0x1e000    com.apple.driver.AppleSMC (3.1.9) A576E278-38F4-31BB-9C04-CF7ECC45103F <13 12 8 7 6 5 3 1>
   15    2 0xffffff7f81f25000 0x9c000    0x9c000    com.apple.driver.AppleACPIPlatform (6.1) 56A9B673-727C-3C69-914A-5BC8ACED6DC7 <14 13 12 8 7 6 5 3 1>
   16   14 0xffffff7f8131b000 0x30000    0x30000    com.apple.iokit.IONetworkingFamily (3.4) C97E6457-FFDC-3B2D-B552-3AC7C6B76AA7 <8 7 6 5 3 1>
   17    3 0xffffff7f8138e000 0x2d000    0x2d000    com.apple.iokit.IOTimeSyncFamily (740.2) 7992F1F9-4FB2-388B-B37C-9A4BC3DE05AD <16 6 5 3 1>
   18    7 0xffffff7f81a3b000 0x7000     0x7000     com.apple.iokit.IOReportFamily (47) 86DDD149-2800-3D3E-9914-3556918455F1 <6 5 3>
