BootArgs: Version=2, Revision=0, at 0xffffff8005848000
CommandLine: 
Video: baseAddr=0xa0000000, display=1, rowBytes=15360, width=3840, height=2160, depth=32
DevTree: addr=0x5852000, length=0x19d4
Kernel image: kaddr=0x1b00000, ksize=0x13f02000
EFI Runtime: Mode=64, PageStart=0x5854 (0x5854000), PageCount=0x101ad, SystemTable=0x59c4f18
MemoryMap: Size=0x8a0, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 000000000009efff 000000000000009f 0000000000000000 000000000000000f
reserved   000000000009f000 - 000000000009ffff 0000000000000001 0000000000000000 000000000000000f
reserved   00000000000a0000 - 00000000000fffff 0000000000000060 0000000000000000 0000000000000000
available  0000000000100000 - 0000000001afffff 0000000000001a00 0000000000000000 000000000000000f
LoaderData 0000000001b00000 - 0000000001b98fff 0000000000000099 0000000000000000 000000000000000f
available  0000000001b99000 - 0000000001bfffff 0000000000000067 0000000000000000 000000000000000f
LoaderData 0000000001c00000 - 0000000005853fff 0000000000003c54 0000000000000000 000000000000000f
RT_data    0000000005854000 - 0000000005854fff 0000000000000001 ffffff8005854000 800000000000000f
RT_code    0000000005855000 - 00000000058c4fff 0000000000000070 ffffff8005855000 800000000000000f
RT_data    00000000058c5000 - 00000000059c4fff 0000000000000100 ffffff80058c5000 800000000000000f
LoaderData 00000000059c5000 - 0000000015a01fff 000000000001003d 0000000000000000 000000000000000f
available  0000000015a02000 - 000000003fffffff 000000000002a5fe 0000000000000000 000000000000000f
reserved   0000000040000000 - 00000000403fffff 0000000000000400 0000000000000000 000000000000000f
available  0000000040400000 - 000000005300ffff 0000000000012c10 0000000000000000 000000000000000f
BS_data    0000000053010000 - 000000005302ffff 0000000000000020 0000000000000000 000000000000000f
available  0000000053030000 - 000000006be62fff 0000000000018e33 0000000000000000 000000000000000f
BS_data    000000006be63000 - 000000006be67fff 0000000000000005 0000000000000000 000000000000000f
available  000000006be68000 - 000000006d57cfff 0000000000001715 0000000000000000 000000000000000f
BS_data    000000006d57d000 - 000000006d798fff 000000000000021c 0000000000000000 000000000000000f
LoaderCode 000000006d799000 - 000000006d82afff 0000000000000092 0000000000000000 000000000000000f
BS_data    000000006d82b000 - 0000000071bf5fff 00000000000043cb 0000000000000000 000000000000000f
reserved   0000000071bf6000 - 0000000071f77fff 0000000000000382 0000000000000000 000000000000000f
BS_data    0000000071f78000 - 0000000072c6cfff 0000000000000cf5 0000000000000000 000000000000000f
ACPI_NVS   0000000072c6d000 - 0000000072c6dfff 0000000000000001 0000000000000000 000000000000000f
available  0000000072c6e000 - 0000000072c6efff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000072c6f000 - 000000007300cfff 000000000000039e 0000000000000000 000000000000000f
LoaderCode 000000007300d000 - 000000007300dfff 0000000000000001 0000000000000000 000000000000000f
reserved   000000007300e000 - 000000007300efff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007300f000 - 00000000731d3fff 00000000000001c5 0000000000000000 000000000000000f
available  00000000731d4000 - 00000000731d5fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000731d6000 - 00000000731d7fff 0000000000000002 0000000000000000 000000000000000f
available  00000000731d8000 - 00000000731d9fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000731da000 - 000000007850efff 0000000000005335 0000000000000000 000000000000000f
available  000000007850f000 - 000000007898ffff 0000000000000481 0000000000000000 000000000000000f
BS_code    0000000078990000 - 0000000078c0efff 000000000000027f 0000000000000000 000000000000000f
available  0000000078c0f000 - 0000000078c7efff 0000000000000070 0000000000000000 000000000000000f
available  0000000078c7f000 - 0000000078d7efff 0000000000000100 0000000000000000 000000000000000f
reserved   0000000078d7f000 - 0000000078edefff 0000000000000160 0000000000000000 000000000000000f
ACPI_NVS   0000000078edf000 - 0000000078f9efff 00000000000000c0 0000000000000000 000000000000000f
ACPI_recl  0000000078f9f000 - 0000000078ffefff 0000000000000060 0000000000000000 000000000000000f
BS_data    0000000078fff000 - 0000000078ffffff 0000000000000001 0000000000000000 000000000000000f
reserved   0000000079000000 - 000000007fffffff 0000000000007000 0000000000000000 0000000000000000
MemMapIO   00000000e0000000 - 00000000efffffff 0000000000010000 ffffff80059c5000 8000000000000001
MemMapIO   00000000fe010000 - 00000000fe010fff 0000000000000001 ffffff80159c5000 8000000000000001
MemMapIO   00000000ff95b000 - 00000000ff98afff 0000000000000030 ffffff80159c6000 8000000000000001
available  0000000100000000 - 000000087dffffff 000000000077e000 0000000000000000 000000000000000f

