Num: b0=0 b1=0 b2=2 b3=e size=4
  #KEY  [ui32]  14 (bytes 00 00 02 0e)
  AC-F  [ui8 ]  0 (bytes 00)
  AC-I  [ui16]  19 (bytes 00 13)
  AC-N  [ui8 ]  4 (bytes 04)
  AC-P  [ui8 ]  0 (bytes 00)
  AC-R  [ui8 ]  0 (bytes 00)
  AC-S  [flag]  (bytes 01)
  AC-U  [flag]  (bytes 00)
  ADC0  [ui16]  47 (bytes 0e 2f)
  ADC1  [ui16]  247 (bytes 05 f7)
  ADC2  [ui16]  119 (bytes 05 77)
  ADC3  [ui16]  141 (bytes 06 8d)
  ADC4  [ui16]  137 (bytes 0d 89)
  ADC5  [ui16]  77 (bytes 06 4d)
  ADC6  [ui16]  159 (bytes 00 9f)
  ADC7  [ui16]  1 (bytes 03 01)
  ADC8  [ui16]  236 (bytes 00 ec)
  ADC9  [ui16]  66 (bytes 02 42)
  ADCE  [ui32]  0 (bytes 00 00 00 00)
  ADCa  [ui16]  10 (bytes 01 0a)
  ADCb  [ui16]  12 (bytes 04 0c)
  ADCc  [ui16]  26 (bytes 00 1a)
  ADCd  [ui16]  179 (bytes 09 b3)
  ADCe  [ui16]  6 (bytes 00 06)
  ADCf  [ui16]  8 (bytes 00 08)
  ADCg  [ui16]  111 (bytes 03 6f)
  ADCh  [ui16]  177 (bytes 00 b1)
  ADCi  [ui16]  24 (bytes 00 18)
  ADCj  [ui16]  26 (bytes 01 1a)
  ADCk  [ui16]  11 (bytes 00 0b)
  ADCl  [ui16]  77 (bytes 00 4d)
  ADCm  [ui16]  13 (bytes 00 0d)
  ADCn  [ui16]  68 (bytes 00 44)
  AUDC  [ui16]  0 (bytes 00 00)
  AUDS  [ui8 ]  0 (bytes 00)
  AUPO  [ui8 ]  0 (bytes 00)
  BCFP  [ui32]  0 (bytes 00 00 00 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes e2)
  CLK!  [ui8 ]  0 (bytes 00)
  CLKA  [ui32]  255 (bytes ff ff ff ff)
  CLKH  [{clh]  (bytes 00 00 70 80 00 01 19 40)
  CLKL  [hex_]  (bytes 0e b0 28 79 31 00)
  CLKM  [hex_]  (bytes 0e b0 28 79 31 00)
  CLKO  [hex_]  (bytes 20 6b a3 df 32 2e)
  CLKR  [ui32]  0 (bytes 00 80 00 00)
  CLKS  [fp1f]  (bytes 26 66)
  CLKT  [ui32]  184 (bytes 00 01 3d b8)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  145 (bytes d5 91)
  CPL1  [sp87]  (bytes 00 00)
  CPL2  [sp87]  (bytes 00 00)
  CPPL  [sp87]  (bytes 20 80)
  CPTX  [sp78]  (bytes 64 00)
  D1CA  [ui16]  0 (bytes 00 00)
  D1CD  [ui16]  0 (bytes 00 00)
  D1Ca  [ui8 ]  0 (bytes 00)
  D1Cb  [ui8 ]  0 (bytes 00)
  D1Cc  [ui16]  0 (bytes 00 00)
