Num: b0=0 b1=0 b2=1 b3=ffffff8d size=4
  #KEY  [ui32]  141 (bytes 00 00 01 8d)
  $Adr  [ui32]  32 (bytes 00 00 03 20)
  $Num  [ui8 ]  2 (bytes 02)
  +LKS  [flag]  (bytes 07)
  ALRV  [ui16]  0 (bytes 00 00)
  ALSC  [{alc]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [ui8 ]  66 (bytes 42)
  CLK!  [ui8 ]  0 (bytes 00)
  CLKC  [{clc]  (bytes 00 00 0e 10 00 00 0e 10 26 66)
  CLKH  [{clh]  (bytes 00 00 70 80 00 01 19 40)
  CLKS  [fp1f]  (bytes 26 66)
  CLKT  [ui32]  175 (bytes 00 00 0a af)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  0 (bytes 00 00)
  CRCB  [ui32]  84 (bytes f0 25 5a 54)
  CRCU  [ui32]  109 (bytes e6 66 f7 6d)
  DPLM  [{lim]  (bytes 00 00 00)
  EPCA  [ui32]  0 (bytes 00 00 70 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  0 (bytes 02 c0 07 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 60 80)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  0 (bytes 00 00 60 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  1 (bytes 02 c0 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  EVCT  [ui16]  7 (bytes 07 07)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes f6 06 03 00 00 00 07 80 61 38 a1 00 01 40 00 00 73 01 00 00 01 40 00 07 62 38 a0 01 01 40 00 08)
  F0Ac  [fpe2]  799 (bytes 0c 7e)
  F0ID  [{fds]  (bytes 01 01 04 00 50 43 49 20 00 00 00 00 00 00 00 00)
  F0Mn  [fpe2]  800 (bytes 0c 80)
  F0Mt  [ui16]  135 (bytes 06 87)
  F0Mx  [fpe2]  4500 (bytes 46 50)
  F0Tg  [fpe2]  800 (bytes 0c 80)
  F1Ac  [fpe2]  599 (bytes 09 5d)
  F1ID  [{fds]  (bytes 01 01 10 00 50 53 20 00 00 00 00 00 00 00 00 00)
  F1Mn  [fpe2]  600 (bytes 09 60)
  F1Mt  [ui16]  15 (bytes 04 0f)
  F1Mx  [fpe2]  2800 (bytes 2b c0)
  F1Tg  [fpe2]  600 (bytes 09 60)
  F2Ac  [fpe2]  623 (bytes 09 bf)
  F2ID  [{fds]  (bytes 01 02 0a 00 45 58 48 41 55 53 54 20 00 00 00 00)
  F2Mn  [fpe2]  600 (bytes 09 60)
  F2Mt  [ui16]  218 (bytes 02 da)
  F2Mx  [fpe2]  2800 (bytes 2b c0)
  F2Tg  [fpe2]  624 (bytes 09 c0)
  F3Ac  [fpe2]  624 (bytes 09 c0)
  F3ID  [{fds]  (bytes 01 02 01 00 49 4e 54 41 4b 45 20 00 00 00 00 00)
  F3Mn  [fpe2]  600 (bytes 09 60)
  F3Mt  [ui16]  0 (bytes 00 00)
  F3Mx  [fpe2]  2800 (bytes 2b c0)
  F3Tg  [fpe2]  624 (bytes 09 c0)
