BootArgs: Version=2, Revision=0, at 0xffffff802f469000
CommandLine: 
Video: baseAddr=0x80010000, display=1, rowBytes=5120, width=1280, height=1024, depth=32
DevTree: addr=0x2f46e000, length=0x12078
Kernel image: kaddr=0x2cd00000, ksize=0x2821000
EFI Runtime: Mode=64, PageStart=0x2f481 (0x2f481000), PageCount=0x9d, SystemTable=0x2f4c7f18
MemoryMap: Size=0x2220, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 000000000008efff 000000000000008f 0000000000000000 000000000000000f
ACPI_NVS   000000000008f000 - 000000000008ffff 0000000000000001 0000000000000000 000000000000000f
available  0000000000090000 - 000000000009ffff 0000000000000010 0000000000000000 000000000000000f
reserved   00000000000a0000 - 00000000000fffff 0000000000000060 0000000000000000 0000000000000000
available  0000000000100000 - 000000002ccfffff 000000000002cc00 0000000000000000 000000000000000f
LoaderData 000000002cd00000 - 000000002cd12fff 0000000000000013 0000000000000000 000000000000000f
available  000000002cd13000 - 000000002cdfffff 00000000000000ed 0000000000000000 000000000000000f
LoaderData 000000002ce00000 - 000000002d334fff 0000000000000535 0000000000000000 000000000000000f
available  000000002d335000 - 000000002d3fffff 00000000000000cb 0000000000000000 000000000000000f
LoaderData 000000002d400000 - 000000002f480fff 0000000000002081 0000000000000000 000000000000000f
RT_data    000000002f481000 - 000000002f4c7fff 0000000000000047 ffffff802f481000 800000000000000f
RT_code    000000002f4c8000 - 000000002f4e7fff 0000000000000020 ffffff802f4c8000 800000000000000f
RT_data    000000002f4e8000 - 000000002f4e8fff 0000000000000001 ffffff802f4e8000 800000000000000f
LoaderData 000000002f4e9000 - 000000002f520fff 0000000000000038 0000000000000000 000000000000000f
available  000000002f521000 - 00000000748f4fff 00000000000453d4 0000000000000000 000000000000000f
BS_data    00000000748f5000 - 0000000074906fff 0000000000000012 0000000000000000 000000000000000f
available  0000000074907000 - 0000000074caefff 00000000000003a8 0000000000000000 000000000000000f
LoaderCode 0000000074caf000 - 0000000074d2bfff 000000000000007d 0000000000000000 000000000000000f
available  0000000074d2c000 - 0000000074dbefff 0000000000000093 0000000000000000 000000000000000f
BS_data    0000000074dbf000 - 0000000074dcffff 0000000000000011 0000000000000000 000000000000000f
available  0000000074dd0000 - 0000000074ddffff 0000000000000010 0000000000000000 000000000000000f
BS_data    0000000074de0000 - 0000000074e24fff 0000000000000045 0000000000000000 000000000000000f
available  0000000074e25000 - 0000000074e26fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000074e27000 - 0000000074e2efff 0000000000000008 0000000000000000 000000000000000f
available  0000000074e2f000 - 0000000074e30fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000074e31000 - 0000000075a6ffff 0000000000000c3f 0000000000000000 000000000000000f
LoaderCode 0000000075a70000 - 0000000075a70fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000075a71000 - 0000000075a84fff 0000000000000014 0000000000000000 000000000000000f
BS_code    0000000075a85000 - 0000000075a85fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000075a86000 - 0000000075bcffff 000000000000014a 0000000000000000 000000000000000f
BS_code    0000000075bd0000 - 0000000075bedfff 000000000000001e 0000000000000000 000000000000000f
BS_data    0000000075bee000 - 0000000075c6ffff 0000000000000082 0000000000000000 000000000000000f
BS_code    0000000075c70000 - 0000000075c9bfff 000000000000002c 0000000000000000 000000000000000f
BS_data    0000000075c9c000 - 0000000075cbafff 000000000000001f 0000000000000000 000000000000000f
BS_code    0000000075cbb000 - 0000000075cbbfff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000075cbc000 - 0000000075cbcfff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000075cbd000 - 0000000075cc0fff 0000000000000004 0000000000000000 000000000000000f
BS_data    0000000075cc1000 - 0000000075ccefff 000000000000000e 0000000000000000 000000000000000f
BS_code    0000000075ccf000 - 0000000075cd5fff 0000000000000007 0000000000000000 000000000000000f
BS_data    0000000075cd6000 - 0000000075cd8fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000075cd9000 - 0000000075cdbfff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000075cdc000 - 0000000075cdcfff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000075cdd000 - 0000000075cdffff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000075ce0000 - 0000000075ce0fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000075ce1000 - 0000000075cedfff 000000000000000d 0000000000000000 000000000000000f
BS_data    0000000075cee000 - 0000000075ceefff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000075cef000 - 0000000075cf5fff 0000000000000007 0000000000000000 000000000000000f
BS_data    0000000075cf6000 - 0000000075cf6fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000075cf7000 - 0000000075cfdfff 0000000000000007 0000000000000000 000000000000000f
BS_data    0000000075cfe000 - 0000000075d00fff 0000000000000003 0000000000000000 000000000000000f
