Num: b0=0 b1=0 b2=3 b3=2 size=4
  #KEY  [ui32]  2 (bytes 00 00 03 02)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ADC0  [ui16]  104 (bytes 0e 68)
  ADC1  [ui16]  57 (bytes 03 39)
  ADC2  [ui16]  4 (bytes 00 04)
  ADC3  [ui16]  30 (bytes 01 1e)
  ADC4  [ui16]  205 (bytes 00 cd)
  ADC5  [ui16]  129 (bytes 01 81)
  ADC6  [ui16]  149 (bytes 0e 95)
  ADC7  [ui16]  149 (bytes 0e 95)
  ADC8  [ui16]  155 (bytes 0e 9b)
  ADC9  [ui16]  104 (bytes 0d 68)
  ADCa  [ui16]  16 (bytes 05 10)
  ADCb  [ui16]  212 (bytes 03 d4)
  ADCc  [ui16]  124 (bytes 04 7c)
  ADCd  [ui16]  111 (bytes 01 6f)
  ADCe  [ui16]  0 (bytes 00 00)
  ADCf  [ui16]  0 (bytes 00 00)
  ADCg  [ui16]  0 (bytes 00 00)
  ADCh  [ui16]  0 (bytes 00 00)
  ADCi  [ui16]  211 (bytes 03 d3)
  ADCj  [ui16]  187 (bytes 00 bb)
  ADCk  [ui16]  222 (bytes 03 de)
  ADCl  [ui16]  109 (bytes 00 6d)
  ADCm  [ui16]  251 (bytes 0f fb)
  ADCn  [ui16]  69 (bytes 01 45)
  ADHc  [flt ]  (bytes 00 00 20 41)
  ADHo  [ui16]  0 (bytes 00 00)
  ADSC  [hex_]  (bytes 73)
  ALSC  [{alc]  (bytes 00 c8 00 96 00 dd 00 0f 00 01 01 5e 02 f4 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLK!  [ui8 ]  0 (bytes 00)
  CLKC  [{clc]  (bytes 00 00 0e 10 00 00 0e 10 26 52)
  CLKH  [{clh]  (bytes 00 00 70 80 00 01 19 40)
  CLKS  [fp1f]  (bytes 80 00)
  CLKT  [ui32]  181 (bytes 00 00 bb b5)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  0 (bytes 00 00)
  CPL1  [spa5]  (bytes 00 00)
  CPL2  [spa5]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CRCA  [ui32]  142 (bytes 0e f9 98 8e)
  CRCB  [ui32]  60 (bytes 0b 30 48 3c)
  CRCC  [ui32]  241 (bytes 21 e0 78 f1)
  CRCF  [ui32]  14 (bytes 41 e8 5a 0e)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCU  [ui32]  65 (bytes 92 67 57 41)
  CRCa  [ui32]  142 (bytes 0e f9 98 8e)
  CRCb  [ui32]  60 (bytes 0b 30 48 3c)
  CRCc  [ui32]  241 (bytes 21 e0 78 f1)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCu  [ui32]  65 (bytes 92 67 57 41)
  DBGP  [ui8 ]  2 (bytes 02)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  3 (bytes 18 05 00 03)
  DID1  [ui32]  52 (bytes 10 ec a8 34)
  DM0C  [hex_]  (bytes 03 03)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 02 05 01 02 03 03 00 02 04 00 00 0b 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  2 (bytes 02)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0T  [hex_]  (bytes 00 00)
  DM0h  [ui8 ]  (bytes 9d)
  DMP!  [hex_]  (bytes 00)
  DMS!  [hex_]  (bytes 00)
  DPLM  [{lim]  (bytes 00 00 00 00 00)
  DT0A  [sp78]  (bytes 51 00)
  DT0B  [sp78]  (bytes 51 00)
  DT0C  [sp78]  (bytes 00 00)
  DULI  [ui8 ]  0 (bytes 00)
  DULT  [ui8 ]  70 (bytes 46)
  DURR  [ui8 ]  4 (bytes 04)
  DUSR  [ui8 ]  0 (bytes 00)
  DUST  [ui8 ]  0 (bytes 00)
  DUTC  [flag]  (bytes 01)
  DUTI  [ui8 ]  0 (bytes 00)
  DUTT  [ui8 ]  45 (bytes 2d)
  ECIP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ECIT  [ui8 ]  0 (bytes 00)
  EECC  [ui32]  0 (bytes 00 00 00 00)
  EECT  [ui32]  255 (bytes ff ff ff ff)
  ENV0  [ui8 ]  3 (bytes 03)
  EPCA  [ui32]  0 (bytes 00 00 b0 00)
  EPCF  [flag]  (bytes 01)
