BootArgs: Version=2, Revision=0, at 0xffffff80077a0000
CommandLine: chunklist-security-epoch=0 -chunklist-no-rev2-dev
Video: baseAddr=0x9ffe0300000, display=1, rowBytes=15360, width=3840, height=2160, depth=32
DevTree: addr=0x77aa000, length=0x129b0
Kernel image: kaddr=0x3300000, ksize=0x4c0a000
EFI Runtime: Mode=64, PageStart=0x77bd (0x77bd000), PageCount=0x74b, SystemTable=0x7cbcf18
MemoryMap: Size=0xea0, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
reserved   0000000000000000 - 000000000000ffff 0000000000000010 0000000000000000 0000000000002008
available  0000000000010000 - 0000000000095fff 0000000000000086 0000000000000000 000000000002600f
reserved   0000000000096000 - 0000000000097fff 0000000000000002 0000000000000000 000000000002600f
available  0000000000098000 - 000000000009ffff 0000000000000008 0000000000000000 000000000002600f
reserved   00000000000a0000 - 00000000000fffff 0000000000000060 0000000000000000 0000000000000000
available  0000000000100000 - 00000000032fffff 0000000000003200 0000000000000000 000000000002600f
LoaderData 0000000003300000 - 000000000339dfff 000000000000009e 0000000000000000 000000000002600f
available  000000000339e000 - 00000000033fffff 0000000000000062 0000000000000000 000000000002600f
LoaderData 0000000003400000 - 00000000077bcfff 00000000000043bd 0000000000000000 000000000002600f
RT_data    00000000077bd000 - 0000000007cbcfff 0000000000000500 ffffff80077bd000 800000000002600f
RT_code    0000000007cbd000 - 0000000007dbcfff 0000000000000100 ffffff8007cbd000 800000000002600f
LoaderData 0000000007dbd000 - 0000000007f09fff 000000000000014d 0000000000000000 000000000002600f
available  0000000007f0a000 - 00000000480fffff 00000000000401f6 0000000000000000 000000000002600f
BS_data    0000000048100000 - 00000000481fffff 0000000000000100 0000000000000000 000000000002600f
available  0000000048200000 - 000000004cdb3fff 0000000000004bb4 0000000000000000 000000000002600f
BS_data    000000004cdb4000 - 000000004e787fff 00000000000019d4 0000000000000000 000000000002600f
available  000000004e788000 - 000000004e80afff 0000000000000083 0000000000000000 000000000002600f
BS_data    000000004e80b000 - 000000004e81cfff 0000000000000012 0000000000000000 000000000002600f
available  000000004e81d000 - 000000004e82efff 0000000000000012 0000000000000000 000000000002600f
BS_data    000000004e82f000 - 000000004e836fff 0000000000000008 0000000000000000 000000000002600f
available  000000004e837000 - 000000004e837fff 0000000000000001 0000000000000000 000000000002600f
BS_data    000000004e838000 - 000000004eaa6fff 000000000000026f 0000000000000000 000000000002600f
LoaderCode 000000004eaa7000 - 000000004eaa7fff 0000000000000001 0000000000000000 000000000002600f
BS_data    000000004eaa8000 - 000000004eaa8fff 0000000000000001 0000000000000000 000000000002600f
available  000000004eaa9000 - 000000004eaaafff 0000000000000002 0000000000000000 000000000002600f
BS_data    000000004eaab000 - 000000004eaacfff 0000000000000002 0000000000000000 000000000002600f
available  000000004eaad000 - 000000004eaaefff 0000000000000002 0000000000000000 000000000002600f
LoaderCode 000000004eaaf000 - 000000004eb42fff 0000000000000094 0000000000000000 000000000002600f
BS_data    000000004eb43000 - 00000000511e8fff 00000000000026a6 0000000000000000 000000000002600f
BS_code    00000000511e9000 - 00000000511f8fff 0000000000000010 0000000000000000 000000000002600f
BS_data    00000000511f9000 - 00000000511fbfff 0000000000000003 0000000000000000 000000000002600f
BS_code    00000000511fc000 - 0000000051201fff 0000000000000006 0000000000000000 000000000002600f
BS_data    0000000051202000 - 000000005122bfff 000000000000002a 0000000000000000 000000000002600f
BS_code    000000005122c000 - 0000000051233fff 0000000000000008 0000000000000000 000000000002600f
BS_data    0000000051234000 - 0000000058b59fff 0000000000007926 0000000000000000 000000000002600f
BS_code    0000000058b5a000 - 0000000058b64fff 000000000000000b 0000000000000000 000000000002600f
BS_data    0000000058b65000 - 0000000058facfff 0000000000000448 0000000000000000 000000000002600f
BS_code    0000000058fad000 - 0000000058fdefff 0000000000000032 0000000000000000 000000000002600f
BS_data    0000000058fdf000 - 0000000059085fff 00000000000000a7 0000000000000000 000000000002600f
BS_code    0000000059086000 - 0000000059090fff 000000000000000b 0000000000000000 000000000002600f
BS_data    0000000059091000 - 0000000059095fff 0000000000000005 0000000000000000 000000000002600f
BS_code    0000000059096000 - 00000000590a6fff 0000000000000011 0000000000000000 000000000002600f
BS_data    00000000590a7000 - 00000000590abfff 0000000000000005 0000000000000000 000000000002600f
BS_code    00000000590ac000 - 00000000590b0fff 0000000000000005 0000000000000000 000000000002600f
BS_data    00000000590b1000 - 000000005919dfff 00000000000000ed 0000000000000000 000000000002600f
BS_code    000000005919e000 - 00000000591abfff 000000000000000e 0000000000000000 000000000002600f
BS_data    00000000591ac000 - 00000000591b8fff 000000000000000d 0000000000000000 000000000002600f
BS_code    00000000591b9000 - 00000000591d8fff 0000000000000020 0000000000000000 000000000002600f
BS_data    00000000591d9000 - 00000000591e3fff 000000000000000b 0000000000000000 000000000002600f
BS_code    00000000591e4000 - 0000000059218fff 0000000000000035 0000000000000000 000000000002600f
BS_data    0000000059219000 - 000000005921cfff 0000000000000004 0000000000000000 000000000002600f
BS_code    000000005921d000 - 000000005923bfff 000000000000001f 0000000000000000 000000000002600f
BS_data    000000005923c000 - 000000005923dfff 0000000000000002 0000000000000000 000000000002600f
BS_code    000000005923e000 - 0000000059256fff 0000000000000019 0000000000000000 000000000002600f
BS_data    0000000059257000 - 000000005925dfff 0000000000000007 0000000000000000 000000000002600f
BS_code    000000005925e000 - 000000005927dfff 0000000000000020 0000000000000000 000000000002600f
BS_data    000000005927e000 - 0000000059b00fff 0000000000000883 0000000000000000 000000000002600f
BS_code    0000000059b01000 - 0000000059b27fff 0000000000000027 0000000000000000 000000000002600f
BS_data    0000000059b28000 - 0000000059b2bfff 0000000000000004 0000000000000000 000000000002600f
BS_code    0000000059b2c000 - 0000000059b30fff 0000000000000005 0000000000000000 000000000002600f
BS_data    0000000059b31000 - 0000000059b35fff 0000000000000005 0000000000000000 000000000002600f
BS_code    0000000059b36000 - 0000000059b3bfff 0000000000000006 0000000000000000 000000000002600f
BS_data    0000000059b3c000 - 0000000059d5cfff 0000000000000221 0000000000000000 000000000002600f
reserved   0000000059d5d000 - 0000000059d5dfff 0000000000000001 0000000000000000 000000000002600f
BS_data    0000000059d5e000 - 000000005c1fefff 00000000000024a1 0000000000000000 000000000002600f
available  000000005c1ff000 - 000000005c202fff 0000000000000004 0000000000000000 000000000002600f
BS_code    000000005c203000 - 000000005c6fefff 00000000000004fc 0000000000000000 000000000002600f
available  000000005c6ff000 - 000000005cbfefff 0000000000000500 0000000000000000 000000000002600f
available  000000005cbff000 - 000000005ccfefff 0000000000000100 0000000000000000 000000000002600f
reserved   000000005ccff000 - 000000005d5fefff 0000000000000900 0000000000000000 000000000002600f
ACPI_NVS   000000005d5ff000 - 000000005defefff 0000000000000900 0000000000000000 000000000002600f
ACPI_recl  000000005deff000 - 000000005dffefff 0000000000000100 0000000000000000 000000000002600f
BS_data    000000005dfff000 - 000000005dffffff 0000000000000001 0000000000000000 000000000002600f
reserved   000000005e000000 - 000000005fffffff 0000000000002000 0000000000000000 0000000000000000
MemMapIO   0000000060000000 - 00000000600fffff 0000000000000100 ffffff8007dbd000 8000000000000001
MemMapIO   00000000fe000000 - 00000000fe010fff 0000000000000011 ffffff8007ebd000 8000000000000001
MemMapIO   00000000ff139000 - 00000000ff167fff 000000000000002f ffffff8007ece000 8000000000000001
available  0000000100000000 - 000000089fffffff 00000000007a0000 0000000000000000 000000000002600f

