Purpose                 Start               End                 HW Informant
"(PCI) SBUS/1"          0x0000000000002000  0x000000000000201F  false 
"(PCI) SATA/4"          0x0000000000002020  0x000000000000203F  false 
"(PCI) SATA/2"          0x0000000000002040  0x0000000000002047  false 
"(PCI) pci8086,a1bd/0"  0x0000000000002048  0x000000000000204F  false 
"(PCI) SATA/3"          0x0000000000002050  0x0000000000002053  false 
"(PCI) GFX0/2"          0x0000000000005000  0x00000000000050FF  false 
"(PCI) NHI0/0"          0x0000000000280000  0x00000000002BFFFF  false 
"(PCI) NHI0/0"          0x0000000000300000  0x000000000033FFFF  false 
"(PCI) XGBE/1"          0x0000000001642000  0x0000000001642FFF  false 
"(PCI) pci8086,2036/0"  0x0000000001670000  0x0000000001670FFF  false 
"(PCI) pci8086,a1b1/0"  0x00000000016D9000  0x00000000016D9FFF  false 
"(PCI) SBUS/0"          0x000000000189A000  0x000000000189A0FF  false 
"(PCI) IMEI/0"          0x000000000189B000  0x000000000189BFFF  false 
"(PCI) GFX0/4"          0x00000000018C0000  0x00000000018DFFFF  false 
"(PCI) XHC5/0"          0x00000000018F0000  0x00000000018FFFFF  false 
"(PCI) ANS2/2"          0x0000000001BE0000  0x0000000001BEFFFF  false 
"(PCI) pci8086,2036/0"  0x0000000001C33000  0x0000000001C33FFF  false 
"(PCI) CB0G/0"          0x0000000001C38000  0x0000000001C3BFFF  false 
"(PCI) pci8086,a1bd/1"  0x0000000001C4A000  0x0000000001C4AFFF  false 
"(PCI) GFX0/3"          0x0000000001CC0000  0x0000000001CFFFFF  false 
"(PCI) CB0D/0"          0x0000000001D24000  0x0000000001D27FFF  false 
"(PCI) ADIO/2"          0x0000000001D30000  0x0000000001D3FFFF  false 
"(PCI) XGBE/0"          0x0000000001D40000  0x0000000001D4FFFF  false 
"(PCI) XHC4/0"          0x0000000001D60000  0x0000000001D6FFFF  false 
"(PCI) US00/0"          0x0000000001D80000  0x0000000001DBFFFF  false 
"(PCI) IOBC/2"          0x0000000001E20000  0x0000000001E2FFFF  false 
"(PCI) CB0C/0"          0x0000000001E30000  0x0000000001E33FFF  false 
"(PCI) CB0E/0"          0x0000000001E4C000  0x0000000001E4FFFF  false 
"(PCI) pci8086,2026/0"  0x0000000001E98000  0x0000000001E98FFF  false 
"(PCI) CB0H/0"          0x0000000001E9C000  0x0000000001E9FFFF  false 
"(PCI) CB0F/0"          0x00000000021C4000  0x00000000021C7FFF  false 
"(PCI) SATA/0"          0x00000000021CA000  0x00000000021CBFFF  false 
"(PCI) XHC1/0"          0x00000000022B0000  0x00000000022BFFFF  false 
"(PCI) SEPM/2"          0x0000000002480000  0x000000000248FFFF  false 
"(PCI) ARPT/0"          0x00000000024A0000  0x00000000024A7FFF  false 
"(PCI) XGBE/1"          0x00000000024CC000  0x00000000024CCFFF  false 
"(PCI) SATA/1"          0x00000000024CF000  0x00000000024CF0FF  false 
"(PCI) PMCR/0"          0x0000000002510000  0x0000000002513FFF  false 
"(PCI) pci8086,2036/0"  0x0000000002743000  0x0000000002743FFF  false 
"(PCI) HDAU/0"          0x0000000002744000  0x0000000002747FFF  false 
"(PCI) CB0A/0"          0x0000000002BA0000  0x0000000002BA3FFF  false 
"(PCI) NHI0/1"          0x0000000002BA7000  0x0000000002BA7FFF  false 
"(PCI) XGBE/0"          0x0000000002E40000  0x0000000002E4FFFF  false 
"(PCI) CB0B/0"          0x00000000032A0000  0x00000000032A3FFF  false 
"(PCI) NHI0/1"          0x00000000032A5000  0x00000000032A5FFF  false 
"(PCI) pci8086,2036/0"  0x00000000032A7000  0x00000000032A7FFF  false 
"(PCI) US00/0"          0x0000000003400000  0x000000000343FFFF  false 
"(PCI) GFX0/0"          0x0000000100400000  0x00000001103FFFFF  false 
"(PCI) ARPT/1"          0x0000000111000000  0x00000001113FFFFF  false 
"(PCI) XGBE/2"          0x0000000111400000  0x00000001117FFFFF  false 
"(PCI) XGBE/2"          0x0000000111800000  0x0000000111BFFFFF  false 
"(PCI) SATA/5"          0x0000000112700000  0x000000011277FFFF  false 
"(PCI) ANS2/1"          0x0000000112780000  0x00000001127FFFFF  false 
"(PCI) IOBC/1"          0x0000000116600000  0x000000011667FFFF  false 
"(PCI) GFX0/1"          0x0000000116A00000  0x0000000116BFFFFF  false 
"(PCI) ADIO/0"          0x0000000117000000  0x00000001173FFFFF  false 
"(PCI) IOBC/0"          0x000000011C800000  0x000000011CBFFFFF  false 
"(PCI) SEPM/1"          0x000000011EE00000  0x000000011EE7FFFF  false 
"(PCI) ADIO/1"          0x000000011EE80000  0x000000011EEFFFFF  false 
"(PCI) SEPM/0"          0x000000011F000000  0x000000011F3FFFFF  false 
"(PCI) ANS2/0"          0x0000000120000000  0x00000001203FFFFF  false 
