PM ASL data store: /var/log/powermanagement
2020-01-14 12:40:50 +0100 ShutdownCause       	SMC shutdown cause: 0: Battery disconnected                                	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2020-01-14 12:40:50 +0100 Start               	powerd process is started                                                  	          
2020-01-14 12:40:50 +0100 Assertions          	Summary- [System: No Assertions] Using AC          
2020-01-14 12:40:50 +0100 Assertions          	PID 123(CSCSupportd) Created UserIsActive "com.apple.CSCSupport.disablesleep" 00:00:00  id:0x0x900008000 [System: DeclUser kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 171(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008003 [System: PrevDisp DeclUser BGTask kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 94(powerd) Created InternalPreventDisplaySleep "com.apple.powermanagement.delayDisplayOff" 00:00:00  id:0x0x1000008004 [System: PrevDisp DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 171(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008003 [System: DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 177(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008005 [System: PrevDisp DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 177(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008005 [System: DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 181(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008006 [System: PrevDisp DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 181(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008006 [System: DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 185(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008007 [System: PrevDisp DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 185(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008007 [System: DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 189(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008008 [System: PrevDisp DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:50 +0100 Assertions          	PID 189(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008008 [System: DeclUser BGTask IntPrevDisp kDisp]          
2020-01-14 12:40:56 +0100 Assertions          	Kernel Idle sleep preventers: IODisplayWrangler          
2020-01-14 12:42:21 +0100 Assertions          	PID 115(apsd) Released ApplePushServiceTask "com.apple.apsd-login" 00:01:20  id:0x0xb0000805c [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 12:44:07 +0100 Assertions          	PID 136(hidd) Created UserIsActive "com.apple.iohideventsystem.queue.tickle serviceID:100000854 name:NULL product:Magic Mouse 2 eventType:17" 00:00:00  id:0x0x9000080b7 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 12:44:15 +0100 Assertions          	PID 562(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x5000080b9 [System: PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:44:15 +0100 Assertions          	PID 562(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x5000080b9 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 12:44:16 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context111.preventuseridledisplaysleep" 00:03:06  id:0x0x500008070 [System: DeclUser IntPrevDisp kDisp]          
