Num: b0=0 b1=0 b2=1 b3=14 size=4
  #KEY  [ui32]  20 (bytes 00 00 01 14)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 07)
  ALSC  [{alc]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLKT  [ui32]  99 (bytes 00 00 b4 63)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  122 (bytes 00 7a)
  CRCB  [ui32]  166 (bytes a3 da 51 a6)
  CRCU  [ui32]  218 (bytes 10 c9 44 da)
  DPLM  [{lim]  (bytes 00 00 00)
  EPCA  [ui32]  0 (bytes 00 00 70 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  0 (bytes 04 f0 07 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 60 80)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  0 (bytes 00 00 60 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  1 (bytes 04 f0 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  EVCT  [ui16]  3 (bytes 03 03)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes f6 06 01 00 00 00 ad 5f 73 00 00 00 02 00 ad 5f 1e 40 10 04 98 80 ad 5f 00 00 00 00 00 00 00 00)
  F0Ac  [fpe2]  997 (bytes 0f 97)
  F0ID  [{fds]  (bytes 01 01 0e 00 4f 44 44 20 00 00 00 00 00 00 00 00)
  F0Mn  [fpe2]  1000 (bytes 0f a0)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  4350 (bytes 43 f8)
  F0Tg  [fpe2]  1000 (bytes 0f a0)
  F1Ac  [fpe2]  1201 (bytes 12 c6)
  F1ID  [{fds]  (bytes 01 02 0d 00 48 44 44 20 00 00 00 00 00 00 00 00)
  F1Mn  [fpe2]  1100 (bytes 11 30)
  F1Mt  [ui16]  0 (bytes 00 00)
  F1Mx  [fpe2]  6300 (bytes 62 70)
  F1Tg  [fpe2]  1100 (bytes 11 30)
  F2Ac  [fpe2]  1199 (bytes 12 bf)
  F2ID  [{fds]  (bytes 01 04 09 00 43 50 55 20 00 00 00 00 00 00 00 00)
  F2Mn  [fpe2]  1200 (bytes 12 c0)
  F2Mt  [ui16]  0 (bytes 00 00)
  F2Mx  [fpe2]  2600 (bytes 28 a0)
  F2Tg  [fpe2]  1200 (bytes 12 c0)
  FMAx  [fpe2]  1484 (bytes 17 32)
  FNum  [ui8 ]  3 (bytes 03)
  FPhz  [si16]  (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  G3WD  [flag]  (bytes 00)
  GCID  [ui32]  2 (bytes 94 88 10 02)
  GPU!  [ui8 ]  0 (bytes 00)
  GTHQ  [hex_]  (bytes 00)
  GTHR  [ui8 ]  1 (bytes 01)
  HBWK  [flag]  (bytes 00)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 01 00 01)
  IC0C  [sp78]  (bytes 06 0a)
  IC0c  [ui16]  128 (bytes 25 80)
  IC5R  [sp4b]  (bytes 00 00)
  IC8V  [sp1e]  (bytes 19 ec)
  ICVR  [sp69]  (bytes 10 62)
  IDSR  [sp69]  (bytes 12 76)
  IDTR  [sp69]  (bytes 12 94)
  IG0R  [sp4b]  (bytes 07 68)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  6 (bytes 00 06)
  LC2E  [ui16]  6 (bytes 00 06)
  LCCN  [ui8 ]  0 (bytes 00)
  LCCQ  [ui8 ]  0 (bytes 00)
  LCKA  [ui8 ]  65 (bytes 41)
  LCSA  [ui8 ]  0 (bytes 00)
  LCTN  [ui8 ]  2 (bytes 02)
  LCTQ  [ui8 ]  7 (bytes 07)
  LDI2  [ui8 ]  1 (bytes 01)
  LDSP  [flag]  (bytes 00)
  LS!   [ui8 ]  0 (bytes 00)
  LSCF  [{lsc]  (bytes 00 00 01 90 80 00 00 02 00 46)
  LSDD  [{lsd]  (bytes 00 02 00 03 00 03 00 19)
  LSDU  [{lsd]  (bytes 00 03 00 02 00 14 00 03)
  LSFD  [{lsf]  (bytes 00 00 00 04 00 8c)
  LSFU  [{lsf]  (bytes 00 00 00 04 00 8c)
  LSLB  [{pwm]  (bytes ff ff)
  LSLF  [{pwm]  (bytes 00 00)
