Num: b0=0 b1=0 b2=1 b3=4c size=4
  #KEY  [ui32]  76 (bytes 00 00 01 4c)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 07)
  AL!   [ui16]  0 (bytes 00 00)
  ALA0  [{ala]  (bytes ca 1e ff d6 02 d9)
  ALA1  [{ala]  (bytes 30 a4 02 1f 03 15)
  ALA2  [{ala]  (bytes 0c ea 02 d4 03 96)
  ALA3  [{ala]  (bytes 03 89 03 61 03 dc)
  ALA4  [{ala]  (bytes 00 ee 03 bc 04 00)
  ALA5  [{ala]  (bytes 04 fc ff f3 04 00)
  ALAT  [{alt]  (bytes 00 2b 03 08)
  ALI0  [{ali]  (bytes 06 01 02 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALP0  [{alp]  (bytes 13 33 0d 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 80 00)
  ALSL  [ui16]  226 (bytes 01 e2)
  ALT0  [ui16]  0 (bytes 00 00)
  ALT1  [ui16]  0 (bytes 00 00)
  ALTH  [{alr]  (bytes 00 32 00 70 02 52 00 14 00 41)
  ALV0  [{alv]  (bytes 01 01 1a c5 06 e2 00 78 be 24)
  ALV1  [{alv]  (bytes 00 01 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLKT  [ui32]  136 (bytes 00 00 c8 88)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  30 (bytes 00 1e)
  CRCB  [ui32]  166 (bytes a3 da 51 a6)
  CRCU  [ui32]  243 (bytes 2b f3 ce f3)
  DPLM  [{lim]  (bytes 00 00 00 00)
  ECIP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ECIT  [ui8 ]  0 (bytes 00)
  EPCA  [ui32]  0 (bytes 00 00 70 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  0 (bytes 04 30 07 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 60 80)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  0 (bytes 00 00 60 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  1 (bytes 04 30 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  EVCT  [ui16]  4 (bytes 04 04)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes f6 06 01 00 00 00 5c c1 64 10 98 03 7e 00 5c c1 1e 40 10 04 98 80 5c c1 f8 04 00 00 03 00 5c c6)
  F0Ac  [fpe2]  1400 (bytes 15 e3)
  F0ID  [{fds]  (bytes 01 01 0e 00 4f 44 44 20 00 00 00 00 00 00 00 00)
  F0Mn  [fpe2]  1400 (bytes 15 e0)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  4350 (bytes 43 f8)
  F0Tg  [fpe2]  1400 (bytes 15 e0)
  F1Ac  [fpe2]  1099 (bytes 11 2c)
  F1ID  [{fds]  (bytes 01 02 0d 00 48 44 44 20 00 00 00 00 00 00 00 00)
  F1Mn  [fpe2]  1100 (bytes 11 30)
  F1Mt  [ui16]  0 (bytes 00 00)
  F1Mx  [fpe2]  6300 (bytes 62 70)
  F1Tg  [fpe2]  1100 (bytes 11 30)
  F2Ac  [fpe2]  1200 (bytes 12 c0)
  F2ID  [{fds]  (bytes 01 04 09 00 43 50 55 20 00 00 00 00 00 00 00 00)
  F2Mn  [fpe2]  1200 (bytes 12 c0)
  F2Mt  [ui16]  0 (bytes 00 00)
  F2Mx  [fpe2]  2600 (bytes 28 a0)
  F2Tg  [fpe2]  1200 (bytes 12 c0)
  FMAx  [fpe2]  1437 (bytes 16 77)
  FNum  [ui8 ]  3 (bytes 03)
  FPDc  [fp79]  (bytes 14 50)
  FPhz  [si16]  (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 00 00)
  G3WD  [flag]  (bytes 00)
  GCID  [hex_]  (bytes 67 41 10 02)
  GPU!  [ui8 ]  0 (bytes 00)
  GTHQ  [hex_]  (bytes 00)
  GTHR  [ui8 ]  1 (bytes 01)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
