BootArgs: Version=2, Revision=0, at 0xffffff80085a6000
CommandLine: 
Video: baseAddr=0x90010000, display=1, rowBytes=7680, width=1920, height=1080, depth=32
DevTree: addr=0x85ab000, length=0x11e88
Kernel image: kaddr=0x6d00000, ksize=0x1948000
EFI Runtime: Mode=64, PageStart=0x85bd (0x85bd000), PageCount=0x88, SystemTable=0x85eef18
MemoryMap: Size=0x22e0, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 000000000008efff 000000000000008f 0000000000000000 080000000000000f
reserved   000000000008f000 - 000000000008ffff 0000000000000001 0000000000000000 080000000000000f
available  0000000000090000 - 000000000009ffff 0000000000000010 0000000000000000 080000000000000f
reserved   00000000000a0000 - 00000000000bffff 0000000000000020 0000000000000000 0000000000000000
available  0000000000100000 - 0000000006cfffff 0000000000006c00 0000000000000000 000000000000000f
LoaderData 0000000006d00000 - 0000000006d12fff 0000000000000013 0000000000000000 000000000000000f
available  0000000006d13000 - 0000000006dfffff 00000000000000ed 0000000000000000 000000000000000f
LoaderData 0000000006e00000 - 000000000733dfff 000000000000053e 0000000000000000 000000000000000f
available  000000000733e000 - 00000000073fffff 00000000000000c2 0000000000000000 000000000000000f
LoaderData 0000000007400000 - 00000000085bcfff 00000000000011bd 0000000000000000 000000000000000f
RT_data    00000000085bd000 - 00000000085eefff 0000000000000032 ffffff80085bd000 800000000000000f
RT_code    00000000085ef000 - 0000000008615fff 0000000000000027 ffffff80085ef000 800000000000000f
RT_data    0000000008616000 - 0000000008616fff 0000000000000001 ffffff8008616000 800000000000000f
LoaderData 0000000008617000 - 0000000008647fff 0000000000000031 0000000000000000 000000000000000f
available  0000000008648000 - 000000001fffffff 00000000000179b8 0000000000000000 000000000000000f
reserved   0000000020000000 - 00000000201fffff 0000000000000200 0000000000000000 000000000000000f
available  0000000020200000 - 000000003fffffff 000000000001fe00 0000000000000000 000000000000000f
reserved   0000000040000000 - 00000000401fffff 0000000000000200 0000000000000000 000000000000000f
available  0000000040200000 - 000000008b91ffff 000000000004b720 0000000000000000 000000000000000f
LoaderCode 000000008b920000 - 000000008b99bfff 000000000000007c 0000000000000000 000000000000000f
available  000000008b99c000 - 000000008ba25fff 000000000000008a 0000000000000000 000000000000000f
BS_data    000000008ba26000 - 000000008ba37fff 0000000000000012 0000000000000000 000000000000000f
available  000000008ba38000 - 000000008ba49fff 0000000000000012 0000000000000000 000000000000000f
BS_data    000000008ba4a000 - 000000008ba8afff 0000000000000041 0000000000000000 000000000000000f
available  000000008ba8b000 - 000000008ba8cfff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008ba8d000 - 000000008cb58fff 00000000000010cc 0000000000000000 000000000000000f
LoaderCode 000000008cb59000 - 000000008cb59fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008cb5a000 - 000000008d3ecfff 0000000000000893 0000000000000000 000000000000000f
available  000000008d3ed000 - 000000008d3eefff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008d3ef000 - 000000008d48cfff 000000000000009e 0000000000000000 000000000000000f
BS_code    000000008d48d000 - 000000008d48dfff 0000000000000001 0000000000000000 000000000000000f
