Num: b0=0 b1=0 b2=1 b3=ffffffef size=4
  #KEY  [ui32]  239 (bytes 00 00 01 ef)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ADC0  [ui16]  133 (bytes 0e 85)
  ADC1  [ui16]  128 (bytes 03 80)
  ADC2  [ui16]  50 (bytes 04 32)
  ADC3  [ui16]  27 (bytes 00 1b)
  ADC4  [ui16]  67 (bytes 07 43)
  ADC5  [ui16]  17 (bytes 02 11)
  ADC6  [ui16]  69 (bytes 07 45)
  ADC7  [ui16]  133 (bytes 02 85)
  ADC8  [ui16]  143 (bytes 01 8f)
  ADC9  [ui16]  178 (bytes 00 b2)
  ADCa  [ui16]  249 (bytes 04 f9)
  ADCb  [ui16]  76 (bytes 03 4c)
  ADCc  [ui16]  5 (bytes 00 05)
  ADCd  [ui16]  0 (bytes 00 00)
  ADCe  [ui16]  169 (bytes 0e a9)
  ADCf  [ui16]  143 (bytes 00 8f)
  ADCg  [ui16]  18 (bytes 05 12)
  ADCh  [ui16]  187 (bytes 02 bb)
  ADCi  [ui16]  6 (bytes 00 06)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  241 (bytes 0f f1)
  ADCl  [ui16]  1 (bytes 00 01)
  ADCm  [ui16]  214 (bytes 00 d6)
  ADCn  [ui16]  152 (bytes 00 98)
  AL!   [ui16]  0 (bytes 00 00)
  ALI0  [{ali]  (bytes 07 01 02 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALP0  [{alp]  (bytes 13 33 0a 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 25 3f)
  ALSL  [ui16]  27 (bytes 00 1b)
  ALV0  [{alv]  (bytes 01 01 00 36 00 06 00 06 f9 a0)
  ALV1  [{alv]  (bytes 00 01 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLKT  [ui32]  86 (bytes 00 01 31 56)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  61 (bytes 00 3d)
  CRCA  [ui32]  57 (bytes 04 1c 8c 39)
  CRCB  [ui32]  162 (bytes 3b 44 d9 a2)
  CRCC  [ui32]  241 (bytes 2c 5c 83 f1)
  CRCF  [ui32]  196 (bytes 60 27 4c c4)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  103 (bytes 58 b4 84 67)
  CRCU  [ui32]  50 (bytes 6f 3c e0 32)
  CRCa  [ui32]  57 (bytes 04 1c 8c 39)
  CRCb  [ui32]  162 (bytes 3b 44 d9 a2)
  CRCc  [ui32]  241 (bytes 2c 5c 83 f1)
  CRCr  [ui32]  103 (bytes 58 b4 84 67)
  CRCu  [ui32]  50 (bytes 6f 3c e0 32)
  DID0  [ui32]  3 (bytes 18 05 00 03)
  DID1  [ui32]  52 (bytes 10 ec a8 34)
  DM0C  [hex_]  (bytes 01 04)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  3 (bytes 03)
  DM0S  [ui8 ]  0 (bytes 00)
  DM0T  [hex_]  (bytes 80 80)
  DM0b  [ui32]  0 (bytes 00 00 00 00)
  DM0g  [ui32]  0 (bytes 00 00 00 00)
  DM0h  [ui8 ]  (bytes 00)
  DM1C  [hex_]  (bytes 01 04)
  DM1F  [ui8 ]  0 (bytes 00)
  DM1I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM1M  [ui8 ]  0 (bytes 00)
  DM1P  [ui8 ]  3 (bytes 03)
  DM1S  [ui8 ]  0 (bytes 00)
  DM1T  [hex_]  (bytes 80 80)
  DM1b  [ui32]  0 (bytes 00 00 00 00)
  DM1g  [ui32]  0 (bytes 00 00 00 00)
  DM1h  [ui8 ]  (bytes 00)
  DMP!  [hex_]  (bytes 00)
  DMS!  [hex_]  (bytes 00)
  DPLM  [{lim]  (bytes 00 00 00 00 00)
  DT0A  [sp78]  (bytes 00 00)
  DT0B  [sp78]  (bytes 00 00)
  DT0C  [sp78]  (bytes 00 00)
  DT1A  [sp78]  (bytes 00 00)
  DT1B  [sp78]  (bytes 00 00)
  DT1C  [sp78]  (bytes 00 00)
