BootArgs: Version=2, Revision=0, at 0xffffff800a062000
CommandLine: 
Video: baseAddr=0x90020000, display=1, rowBytes=16384, width=2560, height=1440, depth=32
DevTree: addr=0xa067000, length=0x1a6c
Kernel image: kaddr=0x7500000, ksize=0x2c26000
EFI Runtime: Mode=64, PageStart=0xa069 (0xa069000), PageCount=0xba, SystemTable=0xa0bee10
MemoryMap: Size=0x2550, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 0000000000057fff 0000000000000058 0000000000000000 080000000000000f
reserved   0000000000058000 - 0000000000058fff 0000000000000001 0000000000000000 080000000000000f
available  0000000000059000 - 000000000008efff 0000000000000036 0000000000000000 080000000000000f
reserved   000000000008f000 - 000000000008ffff 0000000000000001 0000000000000000 080000000000000f
available  0000000000090000 - 000000000009ffff 0000000000000010 0000000000000000 080000000000000f
reserved   00000000000a0000 - 00000000000bffff 0000000000000020 0000000000000000 0000000000000000
available  0000000000100000 - 00000000074fffff 0000000000007400 0000000000000000 000000000000000f
LoaderData 0000000007500000 - 0000000007512fff 0000000000000013 0000000000000000 000000000000000f
available  0000000007513000 - 00000000075fffff 00000000000000ed 0000000000000000 000000000000000f
LoaderData 0000000007600000 - 0000000007ba8fff 00000000000005a9 0000000000000000 000000000000000f
available  0000000007ba9000 - 0000000007bfffff 0000000000000057 0000000000000000 000000000000000f
LoaderData 0000000007c00000 - 000000000a068fff 0000000000002469 0000000000000000 000000000000000f
RT_data    000000000a069000 - 000000000a0befff 0000000000000056 ffffff800a069000 800000000000000f
RT_code    000000000a0bf000 - 000000000a0ecfff 000000000000002e ffffff800a0bf000 800000000000000f
LoaderData 000000000a0ed000 - 000000000a125fff 0000000000000039 0000000000000000 000000000000000f
available  000000000a126000 - 0000000089655fff 000000000007f530 0000000000000000 000000000000000f
LoaderCode 0000000089656000 - 00000000896d2fff 000000000000007d 0000000000000000 000000000000000f
available  00000000896d3000 - 00000000896edfff 000000000000001b 0000000000000000 000000000000000f
BS_data    00000000896ee000 - 00000000896effff 0000000000000002 0000000000000000 000000000000000f
available  00000000896f0000 - 00000000896f1fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000896f2000 - 0000000089742fff 0000000000000051 0000000000000000 000000000000000f
LoaderCode 0000000089743000 - 0000000089743fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089744000 - 0000000089745fff 0000000000000002 0000000000000000 000000000000000f
available  0000000089746000 - 0000000089747fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000089748000 - 0000000089749fff 0000000000000002 0000000000000000 000000000000000f
available  000000008974a000 - 000000008974bfff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008974c000 - 000000008b400fff 0000000000001cb5 0000000000000000 000000000000000f
BS_code    000000008b401000 - 000000008b411fff 0000000000000011 0000000000000000 000000000000000f
BS_data    000000008b412000 - 000000008b428fff 0000000000000017 0000000000000000 000000000000000f
BS_code    000000008b429000 - 000000008b42afff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008b42b000 - 000000008b42cfff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008b42d000 - 000000008b42efff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008b42f000 - 000000008b435fff 0000000000000007 0000000000000000 000000000000000f
BS_code    000000008b436000 - 000000008b437fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008b438000 - 000000008b43afff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008b43b000 - 000000008b442fff 0000000000000008 0000000000000000 000000000000000f
BS_data    000000008b443000 - 000000008b444fff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008b445000 - 000000008b445fff 0000000000000001 0000000000000000 000000000000000f
