Num: b0=0 b1=0 b2=2 b3=2e size=4
  #KEY  [ui32]  46 (bytes 00 00 02 2e)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ADC0  [ui16]  121 (bytes 0e 79)
  ADC1  [ui16]  180 (bytes 03 b4)
  ADC2  [ui16]  133 (bytes 0e 85)
  ADC3  [ui16]  80 (bytes 00 50)
  ADC4  [ui16]  65 (bytes 07 41)
  ADC5  [ui16]  205 (bytes 00 cd)
  ADC6  [ui16]  71 (bytes 07 47)
  ADC7  [ui16]  103 (bytes 01 67)
  ADC8  [ui16]  117 (bytes 0e 75)
  ADC9  [ui16]  149 (bytes 00 95)
  ADCa  [ui16]  143 (bytes 08 8f)
  ADCb  [ui16]  50 (bytes 03 32)
  ADCc  [ui16]  19 (bytes 04 13)
  ADCd  [ui16]  28 (bytes 00 1c)
  ADCe  [ui16]  198 (bytes 0e c6)
  ADCf  [ui16]  58 (bytes 02 3a)
  ADCg  [ui16]  0 (bytes 00 00)
  ADCh  [ui16]  29 (bytes 05 1d)
  ADCi  [ui16]  244 (bytes 00 f4)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  2 (bytes 00 02)
  ADCl  [ui16]  255 (bytes 0f ff)
  ADCm  [ui16]  0 (bytes 00 00)
  ADCn  [ui16]  0 (bytes 00 00)
  ADSC  [hex_]  (bytes 33)
  AL!   [ui16]  0 (bytes 00 00)
  ALI0  [{ali]  (bytes 07 01 02 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  (bytes 01)
  ALP0  [{alp]  (bytes 13 33 0a 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 31 cb)
  ALSL  [ui16]  40 (bytes 00 28)
  ALV0  [{alv]  (bytes 01 01 01 55 00 8c 00 0a 23 50)
  ALV1  [{alv]  (bytes 00 01 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLKT  [ui32]  72 (bytes 00 00 14 48)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  255 (bytes ff ff)
  CPL1  [sp96]  (bytes 00 00)
  CPL2  [sp96]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CRCA  [ui32]  96 (bytes 7a 0f 09 60)
  CRCB  [ui32]  74 (bytes 41 a8 ce 4a)
  CRCC  [ui32]  8 (bytes 78 14 8c 08)
  CRCF  [ui32]  110 (bytes ac 2b e8 6e)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCU  [ui32]  185 (bytes be de dc b9)
  CRCa  [ui32]  96 (bytes 7a 0f 09 60)
  CRCb  [ui32]  74 (bytes 41 a8 ce 4a)
  CRCc  [ui32]  8 (bytes 78 14 8c 08)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCu  [ui32]  185 (bytes be de dc b9)
  DBGP  [ui8 ]  2 (bytes 02)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  3 (bytes 18 05 00 03)
  DID1  [ui32]  52 (bytes 10 ec a8 34)
  DM0C  [hex_]  (bytes 01 02)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  1 (bytes 01)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0T  [hex_]  (bytes 80 80)
  DM0b  [ui32]  0 (bytes 00 00 00 00)
  DM0g  [ui32]  22 (bytes 00 00 00 16)
  DM0h  [ui8 ]  (bytes 00)
  DM1C  [hex_]  (bytes 01 04)
  DM1F  [ui8 ]  0 (bytes 00)
  DM1I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM1M  [ui8 ]  0 (bytes 00)
  DM1P  [ui8 ]  3 (bytes 03)
  DM1S  [ui8 ]  0 (bytes 00)
  DM1T  [hex_]  (bytes 80 80)
  DM1b  [ui32]  0 (bytes 00 00 00 00)
  DM1g  [ui32]  0 (bytes 00 00 00 00)
  DM1h  [ui8 ]  (bytes 00)
  DMP!  [hex_]  (bytes 00)
  DMS!  [hex_]  (bytes 00)
  DPLM  [{lim]  (bytes 00 00 00 00 00)
  DT0A  [sp78]  (bytes 00 00)
