Num: b0=0 b1=0 b2=2 b3=ffffffaa size=4
  #KEY  [ui32]  170 (bytes 00 00 02 aa)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ADC0  [ui16]  133 (bytes 0e 85)
  ADC1  [ui16]  156 (bytes 05 9c)
  ADC2  [ui16]  130 (bytes 0e 82)
  ADC3  [ui16]  28 (bytes 01 1c)
  ADC4  [ui16]  70 (bytes 07 46)
  ADC5  [ui16]  111 (bytes 00 6f)
  ADC6  [ui16]  73 (bytes 07 49)
  ADC7  [ui16]  225 (bytes 00 e1)
  ADC8  [ui16]  112 (bytes 0e 70)
  ADC9  [ui16]  128 (bytes 01 80)
  ADCa  [ui16]  101 (bytes 08 65)
  ADCb  [ui16]  153 (bytes 03 99)
  ADCc  [ui16]  48 (bytes 05 30)
  ADCd  [ui16]  175 (bytes 00 af)
  ADCe  [ui16]  235 (bytes 0e eb)
  ADCf  [ui16]  100 (bytes 02 64)
  ADCg  [ui16]  0 (bytes 00 00)
  ADCh  [ui16]  235 (bytes 00 eb)
  ADCi  [ui16]  27 (bytes 05 1b)
  ADCj  [ui16]  76 (bytes 01 4c)
  ADCk  [ui16]  255 (bytes 0f ff)
  ADCl  [ui16]  227 (bytes 00 e3)
  ADCm  [ui16]  7 (bytes 05 07)
  ADCn  [ui16]  55 (bytes 06 37)
  ADHc  [flt ]  (bytes 00 00 20 41)
  ADHo  [ui16]  0 (bytes 00 00)
  ADSC  [hex_]  (bytes 73)
  AL!   [ui16]  0 (bytes 00 00)
  ALI0  [{ali]  (bytes 07 01 02 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  (bytes 01)
  ALP0  [{alp]  (bytes 13 33 0a 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 80 00)
  ALSL  [ui16]  216 (bytes 02 d8)
  ALV0  [{alv]  (bytes 01 10 06 75 01 20 00 b6 0e e0)
  ALV1  [{alv]  (bytes 00 00 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  194 (bytes 01 c2)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLKT  [ui32]  165 (bytes 00 00 c4 a5)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  255 (bytes ff ff)
  CPL1  [sp96]  (bytes 00 00)
  CPL2  [sp96]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CRCA  [ui32]  45 (bytes 3b 7b b8 2d)
  CRCB  [ui32]  178 (bytes 66 4f 09 b2)
  CRCC  [ui32]  241 (bytes 5d f1 80 f1)
  CRCF  [ui32]  181 (bytes b0 fd 03 b5)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCU  [ui32]  7 (bytes 76 fa 19 07)
  CRCa  [ui32]  45 (bytes 3b 7b b8 2d)
  CRCb  [ui32]  178 (bytes 66 4f 09 b2)
  CRCc  [ui32]  241 (bytes 5d f1 80 f1)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCu  [ui32]  7 (bytes 76 fa 19 07)
  DBGP  [ui8 ]  2 (bytes 02)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  1 (bytes 18 05 01 01)
  DID1  [ui32]  52 (bytes 10 dc a8 34)
  DM0C  [hex_]  (bytes 01 02)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  1 (bytes 01)
  DM0R  [ui8 ]  0 (bytes 00)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0W  [ui8 ]  0 (bytes 00)
  DM0b  [ui32]  0 (bytes 00 00 00 00)
  DM0g  [ui32]  22 (bytes 00 00 00 16)
  DM0h  [ui8 ]  (bytes 00)
  DM0r  [ui8 ]  0 (bytes 00)
  DM0w  [ui8 ]  0 (bytes 00)
  DM1C  [hex_]  (bytes 03 03)
  DM1F  [ui8 ]  0 (bytes 00)
  DM1I  [{hdi]  (bytes 02 04 01 02 00 57 00 39 00 80 00 08 00 00)
  DM1M  [ui8 ]  0 (bytes 00)
  DM1P  [ui8 ]  2 (bytes 02)
  DM1R  [ui8 ]  0 (bytes 00)
  DM1S  [ui8 ]  2 (bytes 02)
