Num: b0=0 b1=0 b2=2 b3=4f size=4
  #KEY  [ui32]  79 (bytes 00 00 02 4f)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ADC0  [ui16]  150 (bytes 0e 96)
  ADC1  [ui16]  121 (bytes 03 79)
  ADC2  [ui16]  0 (bytes 00 00)
  ADC3  [ui16]  0 (bytes 00 00)
  ADC4  [ui16]  220 (bytes 02 dc)
  ADC5  [ui16]  56 (bytes 02 38)
  ADC6  [ui16]  205 (bytes 05 cd)
  ADC7  [ui16]  3 (bytes 02 03)
  ADC8  [ui16]  0 (bytes 00 00)
  ADC9  [ui16]  0 (bytes 00 00)
  ADCa  [ui16]  187 (bytes 08 bb)
  ADCb  [ui16]  37 (bytes 01 25)
  ADCc  [ui16]  0 (bytes 00 00)
  ADCd  [ui16]  0 (bytes 00 00)
  ADCe  [ui16]  0 (bytes 01 00)
  ADCf  [ui16]  197 (bytes 00 c5)
  ADCg  [ui16]  0 (bytes 00 00)
  ADCh  [ui16]  209 (bytes 00 d1)
  ADCi  [ui16]  0 (bytes 00 00)
  ADCj  [ui16]  228 (bytes 00 e4)
  ADCk  [ui16]  0 (bytes 00 00)
  ADCl  [ui16]  0 (bytes 00 00)
  ADCm  [ui16]  0 (bytes 00 00)
  ADCn  [ui16]  0 (bytes 00 00)
  ADSC  [hex_]  (bytes 31)
  AL!   [ui16]  0 (bytes 00 00)
  ALCI  [ui8 ]  147 (bytes 93)
  ALI0  [{ali]  (bytes 07 01 02 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  1 (bytes 01)
  ALP0  [{alp]  (bytes 13 33 0a 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 7e b8)
  ALSL  [ui16]  74 (bytes 01 4a)
  ALV0  [{alv]  (bytes 01 10 02 60 00 36 00 52 9a 68)
  ALV1  [{alv]  (bytes 00 00 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  194 (bytes 01 c2)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLKT  [ui32]  35 (bytes 00 00 4e 23)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  255 (bytes ff ff)
  CPIC  [spc3]  (bytes 01 00)
  CPIR  [spc3]  (bytes 01 08)
  CPIX  [spc3]  (bytes 00 00)
  CPL1  [sp96]  (bytes 00 00)
  CPL2  [sp96]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CPPL  [sp96]  (bytes 03 c0)
  CPTX  [sp78]  (bytes 69 00)
  CRCA  [ui32]  192 (bytes 3d 95 b5 c0)
  CRCB  [ui32]  25 (bytes b8 b1 d2 19)
  CRCC  [ui32]  141 (bytes 32 8c b1 8d)
  CRCF  [ui32]  193 (bytes f5 a4 e4 c1)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCS  [ui32]  81 (bytes 5b 15 1e 51)
  CRCU  [ui32]  94 (bytes e4 d7 e2 5e)
  CRCa  [ui32]  192 (bytes 3d 95 b5 c0)
  CRCb  [ui32]  25 (bytes b8 b1 d2 19)
  CRCc  [ui32]  141 (bytes 32 8c b1 8d)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCs  [ui32]  81 (bytes 5b 15 1e 51)
  CRCu  [ui32]  94 (bytes e4 d7 e2 5e)
  DBGE  [ui8 ]  0 (bytes 00)
  DBGP  [ui8 ]  4 (bytes 04)
  DBGT  [ui8 ]  0 (bytes 00)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  1 (bytes 18 05 01 01)
  DID1  [ui32]  52 (bytes 10 dc a8 34)
  DM0C  [hex_]  (bytes 01 01)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  1 (bytes 01)
  DM0R  [ui8 ]  0 (bytes 00)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0W  [ui8 ]  0 (bytes 00)
  DM0b  [ui32]  0 (bytes 00 00 00 00)
  DM0g  [ui32]  12 (bytes 00 00 00 0c)
  DM0h  [ui8 ]  0 (bytes 00)
  DM0r  [ui8 ]  0 (bytes 00)
  DM0w  [ui8 ]  0 (bytes 00)
