Num: b0=0 b1=0 b2=2 b3=61 size=4
  #KEY  [ui32]  97 (bytes 00 00 02 61)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ADC0  [ui16]  168 (bytes 0e a8)
  ADC1  [ui16]  35 (bytes 03 23)
  ADC2  [ui16]  255 (bytes 0f ff)
  ADC3  [ui16]  87 (bytes 00 57)
  ADC4  [ui16]  0 (bytes 00 00)
  ADC5  [ui16]  0 (bytes 00 00)
  ADC6  [ui16]  208 (bytes 05 d0)
  ADC7  [ui16]  64 (bytes 01 40)
  ADC8  [ui16]  218 (bytes 0e da)
  ADC9  [ui16]  81 (bytes 01 51)
  ADCa  [ui16]  164 (bytes 08 a4)
  ADCb  [ui16]  242 (bytes 02 f2)
  ADCc  [ui16]  0 (bytes 00 00)
  ADCd  [ui16]  0 (bytes 00 00)
  ADCe  [ui16]  0 (bytes 00 00)
  ADCf  [ui16]  0 (bytes 00 00)
  ADCg  [ui16]  0 (bytes 00 00)
  ADCh  [ui16]  0 (bytes 00 00)
  ADCi  [ui16]  0 (bytes 00 00)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  0 (bytes 00 00)
  ADCl  [ui16]  1 (bytes 00 01)
  ADCm  [ui16]  0 (bytes 00 00)
  ADCn  [ui16]  0 (bytes 00 00)
  ADHc  [flt ]  (bytes 00 00 20 41)
  ADHo  [ui16]  63 (bytes 00 3f)
  ADSC  [hex_]  (bytes 70)
  AL!   [ui16]  0 (bytes 00 00)
  ALCI  [ui8 ]  147 (bytes 93)
  ALI0  [{ali]  (bytes 07 01 02 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  1 (bytes 01)
  ALP0  [{alp]  (bytes 13 33 0a 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 80 00)
  ALSL  [ui16]  73 (bytes 0a 49)
  ALV0  [{alv]  (bytes 01 10 18 4e 04 98 02 92 4d f0)
  ALV1  [{alv]  (bytes 00 00 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  194 (bytes 01 c2)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLKT  [ui32]  77 (bytes 00 00 d3 4d)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  0 (bytes 00 00)
  CPEC  [flt ]  (bytes 00 00 00 00)
  CPED  [flt ]  (bytes 00 00 00 00)
  CPIC  [spc3]  (bytes 02 f8)
  CPIR  [spc3]  (bytes 02 f8)
  CPIX  [spc3]  (bytes 00 00)
  CPL1  [sp96]  (bytes 00 00)
  CPL2  [sp96]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CPPL  [sp96]  (bytes 10 40)
  CPTX  [sp78]  (bytes 69 00)
  CRCA  [ui32]  103 (bytes 95 08 0d 67)
  CRCB  [ui32]  43 (bytes c0 7c df 2b)
  CRCC  [ui32]  146 (bytes d4 ca a5 92)
  CRCF  [ui32]  112 (bytes ee 13 4b 70)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCS  [ui32]  117 (bytes ba e9 1d 75)
  CRCU  [ui32]  112 (bytes fd 95 ef 70)
  CRCa  [ui32]  103 (bytes 95 08 0d 67)
  CRCb  [ui32]  43 (bytes c0 7c df 2b)
  CRCc  [ui32]  146 (bytes d4 ca a5 92)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCs  [ui32]  117 (bytes ba e9 1d 75)
  CRCu  [ui32]  112 (bytes fd 95 ef 70)
  DBGE  [ui8 ]  0 (bytes 00)
  DBGP  [ui8 ]  4 (bytes 04)
  DBGT  [ui8 ]  0 (bytes 00)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  1 (bytes 18 05 01 01)
  DID1  [ui32]  52 (bytes 10 dc a8 34)
  DM0C  [hex_]  (bytes 01 01)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  1 (bytes 01)
  DM0R  [ui8 ]  0 (bytes 00)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0W  [ui8 ]  0 (bytes 00)
  DM0b  [ui32]  0 (bytes 00 00 00 00)
