Num: b0=0 b1=0 b2=2 b3=ffffffd3 size=4
  #KEY  [ui32]  211 (bytes 00 00 02 d3)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ADC0  [ui16]  134 (bytes 0e 86)
  ADC1  [ui16]  93 (bytes 03 5d)
  ADC2  [ui16]  114 (bytes 0e 72)
  ADC3  [ui16]  93 (bytes 01 5d)
  ADC4  [ui16]  138 (bytes 05 8a)
  ADC5  [ui16]  67 (bytes 03 43)
  ADC6  [ui16]  4 (bytes 00 04)
  ADC7  [ui16]  9 (bytes 00 09)
  ADC8  [ui16]  216 (bytes 00 d8)
  ADC9  [ui16]  158 (bytes 00 9e)
  ADCa  [ui16]  223 (bytes 01 df)
  ADCb  [ui16]  164 (bytes 00 a4)
  ADCc  [ui16]  29 (bytes 04 1d)
  ADCd  [ui16]  42 (bytes 00 2a)
  ADCe  [ui16]  34 (bytes 04 22)
  ADCf  [ui16]  131 (bytes 00 83)
  ADCg  [ui16]  51 (bytes 01 33)
  ADCh  [ui16]  57 (bytes 00 39)
  ADCi  [ui16]  241 (bytes 00 f1)
  ADCj  [ui16]  202 (bytes 01 ca)
  ADCk  [ui16]  255 (bytes 0f ff)
  ADCl  [ui16]  24 (bytes 00 18)
  ADCm  [ui16]  141 (bytes 06 8d)
  ADCn  [ui16]  10 (bytes 01 0a)
  ADHc  [flt ]  (bytes 00 00 20 41)
  ADHo  [ui16]  111 (bytes 0a 6f)
  ADSC  [hex_]  (bytes 73)
  AL!   [ui16]  0 (bytes 00 00)
  ALCI  [ui8 ]  147 (bytes 93)
  ALI0  [{ali]  (bytes 07 01 02 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  1 (bytes 01)
  ALP0  [{alp]  (bytes 13 33 0a 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 80 00)
  ALSL  [ui16]  235 (bytes 01 eb)
  ALV0  [{alv]  (bytes 01 10 04 62 00 c7 00 7a ee 28)
  ALV1  [{alv]  (bytes 00 00 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  194 (bytes 01 c2)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLKT  [ui32]  185 (bytes 00 01 0b b9)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  255 (bytes ff ff)
  CPL1  [sp96]  (bytes 00 00)
  CPL2  [sp96]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CPL4  [sp96]  (bytes 00 00)
  CPPL  [sp96]  (bytes 10 40)
  CPTX  [sp78]  (bytes 64 00)
  CRCA  [ui32]  140 (bytes 75 eb a2 8c)
  CRCB  [ui32]  48 (bytes 00 c7 e9 30)
  CRCC  [ui32]  7 (bytes 68 fa 81 07)
  CRCF  [ui32]  134 (bytes 5d 10 d1 86)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCS  [ui32]  248 (bytes a2 97 1e f8)
  CRCU  [ui32]  117 (bytes d6 88 f9 75)
  CRCa  [ui32]  140 (bytes 75 eb a2 8c)
  CRCb  [ui32]  48 (bytes 00 c7 e9 30)
  CRCc  [ui32]  7 (bytes 68 fa 81 07)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCs  [ui32]  248 (bytes a2 97 1e f8)
  CRCu  [ui32]  117 (bytes d6 88 f9 75)
  DBGE  [ui8 ]  0 (bytes 00)
  DBGP  [ui8 ]  4 (bytes 04)
  DBGT  [ui8 ]  0 (bytes 00)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  1 (bytes 18 05 01 01)
  DID1  [ui32]  52 (bytes 10 dc a8 34)
  DM0C  [hex_]  (bytes 01 02)
  DM0E  [flag]  (bytes 00)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  1 (bytes 01)
  DM0R  [ui8 ]  0 (bytes 00)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0W  [ui8 ]  0 (bytes 00)
  DM0b  [ui32]  0 (bytes 00 00 00 00)
  DM0g  [ui32]  22 (bytes 00 00 00 16)
  DM0h  [ui8 ]  0 (bytes 00)
