Purpose         Start               End                 HW Informant
"(PCI) GFX0/2"  0x0000000000003000  0x00000000000030FF  false 
"(PCI) IGPU/2"  0x0000000000004000  0x000000000000403F  false 
"(PCI) SBUS/1"  0x0000000000004040  0x000000000000405F  false 
"(PCI) SATA/4"  0x0000000000004060  0x000000000000407F  false 
"(PCI) SATA/2"  0x0000000000004080  0x0000000000004087  false 
"(PCI) SATA/3"  0x0000000000004088  0x000000000000408B  false 
"(PCI) NHI0/0"  0x0000000000400000  0x000000000043FFFF  false 
"(PCI) SATA/1"  0x00000000004F0000  0x00000000004F00FF  false 
"(PCI) PMCR/0"  0x0000000000518000  0x000000000051BFFF  false 
"(PCI) HDEF/0"  0x0000000000880000  0x0000000000883FFF  false 
"(PCI) GIGE/1"  0x0000000000890000  0x000000000089FFFF  false 
"(PCI) XHC1/0"  0x0000000000980000  0x000000000098FFFF  false 
"(PCI) GFX0/3"  0x0000000000B40000  0x0000000000B7FFFF  false 
"(PCI) SDXC/0"  0x0000000000ED0000  0x0000000000EDFFFF  false 
"(PCI) SSD0/0"  0x0000000001130000  0x0000000001133FFF  false 
"(PCI) HDAU/0"  0x0000000001144000  0x0000000001147FFF  false 
"(PCI) ARPT/0"  0x0000000001148000  0x000000000114FFFF  false 
"(PCI) NHI0/1"  0x000000000143A000  0x000000000143AFFF  false 
"(PCI) SATA/5"  0x000000000143B800  0x000000000143BFFF  false 
"(PCI) IMEI/0"  0x00000000014F5000  0x00000000014F5FFF  false 
"(PCI) SATA/0"  0x00000000014F6000  0x00000000014F7FFF  false 
"(PCI) GFX0/4"  0x00000000015E0000  0x00000000015FFFFF  false 
"(PCI) XHC2/0"  0x0000000001E40000  0x0000000001E4FFFF  false 
"(PCI) HDEF/1"  0x0000000001E60000  0x0000000001E6FFFF  false 
"(PCI) SBUS/0"  0x0000000001F38000  0x0000000001F380FF  false 
"(PCI) GIGE/0"  0x0000000001FA0000  0x0000000001FAFFFF  false 
"(PCI) GFX0/0"  0x0000000100400000  0x00000001103FFFFF  false 
"(PCI) IGPU/0"  0x0000000116400000  0x00000001173FFFFF  false 
"(PCI) GFX0/1"  0x0000000117400000  0x00000001175FFFFF  false 
"(PCI) ARPT/1"  0x0000000117800000  0x0000000117BFFFFF  false 
"(PCI) IGPU/1"  0x0000000119800000  0x00000001297FFFFF  false 
