Num: b0=0 b1=0 b2=3 b3=1 size=4
  #KEY  [ui32]  1 (bytes 00 00 03 01)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  AC-A  [flag]  (bytes 00)
  AC-D  [ui8 ]  0 (bytes 00)
  AC-I  [ui16]  15 (bytes 00 0f)
  AC-N  [ui8 ]  2 (bytes 02)
  AC-R  [ui8 ]  0 (bytes 00)
  AC-U  [flag]  (bytes 00)
  AC-V  [hex_]  (bytes 00 05 46 00)
  ADC0  [ui16]  181 (bytes 0d b5)
  ADC1  [ui16]  202 (bytes 02 ca)
  ADC2  [ui16]  159 (bytes 00 9f)
  ADC3  [ui16]  3 (bytes 02 03)
  ADC4  [ui16]  31 (bytes 06 1f)
  ADC5  [ui16]  239 (bytes 03 ef)
  ADC6  [ui16]  5 (bytes 00 05)
  ADC7  [ui16]  17 (bytes 00 11)
  ADC8  [ui16]  111 (bytes 01 6f)
  ADC9  [ui16]  94 (bytes 01 5e)
  ADCa  [ui16]  74 (bytes 02 4a)
  ADCb  [ui16]  251 (bytes 00 fb)
  ADCc  [ui16]  151 (bytes 04 97)
  ADCd  [ui16]  199 (bytes 00 c7)
  ADCe  [ui16]  181 (bytes 04 b5)
  ADCf  [ui16]  73 (bytes 01 49)
  ADCg  [ui16]  233 (bytes 00 e9)
  ADCh  [ui16]  129 (bytes 00 81)
  ADCi  [ui16]  245 (bytes 00 f5)
  ADCj  [ui16]  33 (bytes 02 21)
  ADCk  [ui16]  99 (bytes 01 63)
  ADCl  [ui16]  162 (bytes 00 a2)
  ADCm  [ui16]  105 (bytes 06 69)
  ADCn  [ui16]  116 (bytes 01 74)
  ADHc  [flt ]  (bytes 00 00 20 41)
  ADHo  [ui16]  36 (bytes 00 24)
  ADSC  [hex_]  (bytes 73)
  AL!   [ui16]  0 (bytes 00 00)
  ALCI  [ui8 ]  147 (bytes 93)
  ALI0  [{ali]  (bytes 07 01 02 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  1 (bytes 01)
  ALP0  [{alp]  (bytes 13 33 0a 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 4e d9)
  ALSL  [ui16]  84 (bytes 00 54)
  ALV0  [{alv]  (bytes 01 10 00 ae 00 18 00 15 13 50)
  ALV1  [{alv]  (bytes 00 00 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  AUWT  [ui16]  38 (bytes 02 26)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  C2HD  [hex_]  (bytes 00 00 00 00)
  C2HP  [hex_]  (bytes 00 00)
  C2TD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  C2TM  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  C2TP  [hex_]  (bytes 00)
  CLKT  [ui32]  94 (bytes 00 00 85 5e)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  255 (bytes ff ff)
  CPL1  [sp96]  (bytes 00 00)
  CPL2  [sp96]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CPL4  [sp96]  (bytes 00 00)
  CPPL  [sp96]  (bytes 10 40)
  CPTX  [sp78]  (bytes 64 00)
  CRCA  [ui32]  23 (bytes 6d 9b 96 17)
  CRCB  [ui32]  42 (bytes fe 6a e8 2a)
  CRCC  [ui32]  85 (bytes 9d 4d 28 55)
  CRCF  [ui32]  203 (bytes 09 0a 69 cb)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCS  [ui32]  242 (bytes f3 5e 1e f2)
  CRCU  [ui32]  111 (bytes 9b e6 f8 6f)
  CRCa  [ui32]  23 (bytes 6d 9b 96 17)
  CRCb  [ui32]  42 (bytes fe 6a e8 2a)
  CRCc  [ui32]  85 (bytes 9d 4d 28 55)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCs  [ui32]  242 (bytes f3 5e 1e f2)
  CRCu  [ui32]  111 (bytes 9b e6 f8 6f)
  D1CA  [ui16]  0 (bytes 00 00)
  D1CD  [ui16]  0 (bytes 00 00)
