Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  127 0xffffff7f80c00000 0x9e50     0x9e50     com.apple.kpi.bsd (18.5.0) C20BDA52-0B8B-4FFB-9620-A5EFECECDEA5
    2   10 0xffffff7f810c0000 0x3900     0x3900     com.apple.kpi.dsep (18.5.0) 3ED2C052-D6E7-41DA-BAF7-15E5A2A871D1
    3  159 0xffffff7f80c2a000 0x21be0    0x21be0    com.apple.kpi.iokit (18.5.0) 16B086ED-2156-4F2E-A17E-BC6765183BC1
    4    0 0xffffff7f83998000 0x34b0     0x34b0     com.apple.kpi.kasan (18.5.0) 57486B86-DBEF-4674-942A-39CF3AE2C7EB
    5  166 0xffffff7f80c0a000 0xd800     0xd800     com.apple.kpi.libkern (18.5.0) 19B868D9-313D-4C23-BD5F-E78BF7FE8F15
    6  148 0xffffff7f80c18000 0x3f60     0x3f60     com.apple.kpi.mach (18.5.0) BD083628-BF0B-4131-BF2F-D5A4EBE61F7E
    7   84 0xffffff7f80c1c000 0xd480     0xd480     com.apple.kpi.private (18.5.0) DF2C253A-7CA0-4307-96AB-8F1FB777CC9B
    8   92 0xffffff7f80c8f000 0x5ed0     0x5ed0     com.apple.kpi.unsupported (18.5.0) 2428F7CE-2F46-4D26-8140-3EBCF6911D88
    9   11 0xffffff7f810c4000 0xb9000    0xb9000    com.apple.kec.corecrypto (1.0) 07025C14-14B2-3DD2-818C-AC11A5AB9BD8 <8 7 6 5 3 1>
   10    2 0xffffff7f81c41000 0x10000    0x10000    com.apple.kec.Libm (1) 555E8D52-EF9F-39C1-8199-EAF2BC10926B <5>
   11    0 0xffffff7f82357000 0xa000     0xa000     com.apple.kec.pthread (1) DE3F4E50-C719-3C7D-B4F3-AE9C0FDB2C97 <8 7 6 5 3 1>
   12   37 0xffffff7f81282000 0x9000     0x9000     com.apple.iokit.IOACPIFamily (1.4) 3D873DDA-8201-3402-B176-ADA3D6BC5572 <8 7 5 3>
   13   49 0xffffff7f80c95000 0x36000    0x36000    com.apple.iokit.IOPCIFamily (2.9) 6EC56853-DB65-393D-B7F0-D1B15D77E97B <8 7 6 5 3>
   14   12 0xffffff7f8128b000 0x1e000    0x1e000    com.apple.driver.AppleSMC (3.1.9) EA40681F-C45F-30F4-B308-B20D12A24493 <13 12 8 7 6 5 3 1>
   15    2 0xffffff7f82427000 0x9c000    0x9c000    com.apple.driver.AppleACPIPlatform (6.1) AB69644B-CE2E-3C6C-8FC4-E1BC05F6F705 <14 13 12 8 7 6 5 3 1>
   16   12 0xffffff7f80fb2000 0x30000    0x30000    com.apple.iokit.IONetworkingFamily (3.4) 583D2E80-6377-380E-908E-F8FE86094A30 <8 7 6 5 3 1>
   17    3 0xffffff7f80fe9000 0x2d000    0x2d000    com.apple.iokit.IOTimeSyncFamily (740.2) 50F205AA-4D1B-39A4-8073-555A4C1BE512 <16 6 5 3 1>
   18    8 0xffffff7f81b10000 0x7000     0x7000     com.apple.iokit.IOReportFamily (47) D205319F-3975-3DC4-BA02-2301E2014032 <6 5 3>
   19    5 0xffffff7f81c51000 0x7000     0x7000     com.apple.driver.IOSlaveProcessor (1) 3744EC29-5C96-333E-9E25-66C9E3A0AA93 <5 3>
   20    3 0xffffff7f83709000 0x18000    0x18000    com.apple.driver.AppleSEPManager (1.0.1) 2F9BE471-1A95-334A-8160-DA8414C94B9F <19 13 9 8 7 6 5 3 1>
   21    1 0xffffff7f812ab000 0x8000     0x8000     com.apple.driver.AppleBusPowerController (1.0) 107DDBB3-0085-3C54-A8FF-51907A2C894A <14 12 7 6 5 3>
   22    6 0xffffff7f812b3000 0x8000     0x8000     com.apple.driver.usb.AppleUSBCommon (1.0) 816FC5B6-B572-3016-B3CA-17B73A887DFA <6 5 3 1>
   23   13 0xffffff7f812bb000 0x7a000    0x7a000    com.apple.iokit.IOUSBHostFamily (1.2) B4E774D4-BBF8-3D22-B5EB-4A0108FF12A4 <22 21 8 7 6 5 3 1>
   24    3 0xffffff7f81ef0000 0x1d000    0x1d000    com.apple.driver.KernelRelayHost (1) 843576C7-4579-3387-84C2-025512946996 <23 6 5 3>
   25    1 0xffffff7f83740000 0x41000    0x41000    com.apple.driver.AppleCredentialManager (1.0) EE83D148-5E30-3B27-95A2-068945487C65 <24 20 19 9 8 7 6 5 3 1>
   26    2 0xffffff7f8117d000 0xa000     0xa000     com.apple.kext.CoreTrust (1) 97F4193C-CCEB-3EFF-9008-369F1278D50B <9 5>
   27   12 0xffffff7f80f7e000 0x28000    0x28000    com.apple.iokit.IOStorageFamily (2.1) 65A9AFC3-7992-311F-9417-688DDDAC01E8 <8 7 6 5 3 1>
   28    3 0xffffff7f80c4c000 0x2b000    0x2b000    com.apple.iokit.IOSCSIArchitectureModelFamily (408.250.3) 65275152-09D3-39D9-8BC2-1BA3F58E933C <7 6 5 3 1>
   29    1 0xffffff7f8237e000 0x19000    0x19000    com.apple.iokit.IOSCSIBlockCommandsDevice (408.250.3) 5ECDEE62-5A91-3FA6-98CD-6299CD198EF6 <28 27 7 6 5 3 1>
   30    1 0xffffff7f8239b000 0x2d000    0x2d000    com.apple.iokit.IOUSBMassStorageDriver (145.200.2) D5B254A2-7F59-314F-84F7-16973E249A44 <28 27 23 7 6 5 3 1>
   31    8 0xffffff7f81187000 0x1c000    0x1c000    com.apple.driver.AppleMobileFileIntegrity (1.0.5) 0C4B58C9-A611-3499-AC28-D9437B6436B6 <26 9 8 7 6 5 3 2 1>
   32    1 0xffffff7f823cf000 0x15000    0x15000    com.apple.driver.AppleUSBTDM (456.250.6) 023D03A6-C22A-340F-A002-8B551D1687EA <31 30 29 28 27 23 8 7 6 5 3 1>
   33    0 0xffffff7f83781000 0x6b000    0x6b000    com.apple.driver.AppleKeyStore (2) 08ED1960-F8A8-309A-A5D9-E2F55A96A491 <32 31 26 25 24 20 19 9 8 7 6 5 3 1>
   34    2 0xffffff7f81756000 0xc000     0xc000     com.apple.driver.AppleEffaceableStorage (1.0) CE921ADE-1039-3C3F-9059-03637125AF87 <8 6 5 3 1>
   35    0 0xffffff7f83857000 0xc000     0xc000     com.apple.driver.AppleFDEKeyStore (28.30) 125A1B24-B407-3455-AE28-778C11EC76FB <34 9 8 7 6 5 3 1>
