Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  111 0xffffff7f80c2c000 0x78d0     0x78d0     com.apple.kpi.bsd (17.3.0) 4CEED5D6-E516-45C3-8F7A-AEB60EC8AE26
    2    8 0xffffff7f80c34000 0x14b4     0x14b4     com.apple.kpi.dsep (17.3.0) C60B2DE5-55B0-43F8-8F6B-E2911961A398
    3  136 0xffffff7f80c02000 0x1e918    0x1e918    com.apple.kpi.iokit (17.3.0) B3B57746-682D-4E58-975F-C79B212FCCF7
    4  141 0xffffff7f80c21000 0xad8c     0xad8c     com.apple.kpi.libkern (17.3.0) 45AEB0E5-B6C3-4C33-9741-EEC229077534
    5  124 0xffffff7f80c00000 0x1a84     0x1a84     com.apple.kpi.mach (17.3.0) D64983E3-7F5C-49E0-99F9-82D11CD42EE0
    6   75 0xffffff7f80c3a000 0xa694     0xa694     com.apple.kpi.private (17.3.0) FD270B3D-DED6-4867-8913-710D68E6FEF4
    7   86 0xffffff7f80c36000 0x39a4     0x39a4     com.apple.kpi.unsupported (17.3.0) FF181B92-E95F-45E1-9931-885750C8D141
    8    8 0xffffff7f80d9f000 0xb0000    0xb0000    com.apple.kec.corecrypto (1.0) C9198714-2D94-3DC8-942F-5E13D4214454 <7 6 5 4 3 1>
    9    0 0xffffff7f828a4000 0xf000     0xf000     com.apple.kec.pthread (1) 71C5BFFF-88C9-3420-8F52-029FAFF0866D <7 6 5 4 1>
   10    1 0xffffff7f83fab000 0x10000    0x10000    com.apple.kec.Libm (1) 45DD5F54-77FD-356C-94EB-41114B65027E <4>
   11   32 0xffffff7f80cdd000 0x9000     0x9000     com.apple.iokit.IOACPIFamily (1.4) 8794C760-FDD9-3664-ADED-4A9BBEC6E517 <7 6 4 3>
   12   40 0xffffff7f80ce6000 0x35000    0x35000    com.apple.iokit.IOPCIFamily (2.9) 5FDD9BD2-2824-32FE-846C-103A487FC2E2 <7 6 5 4 3>
